Eid,Abstract
2-s2.0-85039915342,"The case-study company faces the limited space situation. Thus, the company decides to uninstall their temporary warehouses and re-locate products in two permanent warehouses. The objective of this research is to design the layouts of the two permanent warehouses so that the spaces can be efficiently used and the total picking distance is low. The past data, Invoices and Stock Data, are used for developing layouts designing processes. This research involves the collecting of Product Size Data to calculate the required space for the products. There are two phases in layout designing process. The first phase is the product categories grouping. This phase categorizes product categories into two groups for the two warehouses. The second phase is the layouts designing. In this phase, the layouts of the two warehouses and the locations of the products are designed. According to the company requirements and policies, the Adapted Class-Based Turnover Assignment is adopted in order to design the layouts for the two warehouses. Layouts of the warehouses are designed, analyzed, and evaluated. The best layouts give the best trade-off between quantitative results, i.e., the total picking distance and the remaining space, and qualitative results, i.e., the usability and the product suitability. The designed layouts are applied in the case-study company. This research develops a systematic and practical layout designing method which is flexible and can be adopted in other warehouses. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039898441,"This paper presents an efficient and accurate numerical technique, based on a scaled boundary finite element method (SBFEM) that is capable of solving two-dimensional, second-order, linear, multi-field boundary value problems. Basic governing equations are established in a general, unified context allowing the treatment of various classes of linear problems such as steady-state heat conduction problems, steady-state flow in porous media, linear elasticity, linear piezoelectricity, and linear piezomagnetic and piezoelectromagnetic problems. A scaled boundary finite element approximation is also formulated within a general framework integrating the influence of the distributed body source, general boundary conditions, contributions of the general side-face data, and the flexibility of scaled boundary approximations. Standard procedures for numerical integration, search of eigenvalues and eigenvectors, determination of particular solutions, and solving a system of linear algebraic equations are adopted. After fully tested with available benchmark solutions, the proposed SBFEM is applied to solve various classes of linear problems under different scenarios to demonstrate its vast capability, computational efficiency and robustness. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039910610,"A number system that is well-designed can affect the computational time and the hardware implementation. An interesting number system called Round-to-Nearest coding (RN-coding) was proposed to reduce a time consuming in a rounding process. Rounding to the nearest in RN-coding can be done using only truncation at any positions in a sequence of digits (representation). This concept can save a lot of time in a parallel or pipeline computation manner. However, an RN-coding does not support an on-line arithmetic computation. In this paper, we propose a rational digit number system which is composed of rational signed-digits in the digit set. This new system preserves a round-to-nearest property and is suitable for an on-line arithmetic computation. Performing on-line elementary arithmetic operations in our system can be done by an on-line digit set conversion algorithm. We show that our new algorithm, which is an improvement of an on-line addition algorithm in our previous work, can be demonstrated by an on-line finite automaton with a finite on-line delay κ. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039907641,"This paper proposes an alternative method for pulse oximetry processing based on time-frequency analysis. Instead of using the fast Fourier transform (FFT), the continuous wavelet transform (CWT) together with the median calculation was proposed for finding the frequency components of the normalized first derivative red and infrared photoplethysmographic signals (PPG). In order to estimate the arterial oxygen saturation (%SpO2), the ratio of each red CWT modulus to each corresponding infrared CWT modulus was computed at each frequency, and then converted to the oxygen saturation by using the saturation equation obtained from calibration. All of the oxygen saturation data were plotted on a histogram. The greatest oxygen saturation with the most occurrences was considered to represent the %SpO2. The experiments were held to evaluate the performance of the proposed processing method compared with the conventional pulse oximetry (CPO) processing. The red and infrared PPGs were acquired from left and right index fingers simultaneously by using the PPG measurement system constructed in the laboratory. During measurement, the left index finger was stationary, while the right index finger was performed the finger bend to induce the motion artifact (MA) in transient and periodic manners. All detected PPGs were processed by the proposed method and the CPO processing. The %SpO2 obtained from different processing methods and positions were compared. Experimental results showed that the proposed method was more resistant to the MA than the conventional method. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039897067,"Large transportation projects such as highways are expensive, complex, and dynamic in nature. Acquiring large investment capitals for these projects is always a major challenge for every nation. To solve this problem, Vietnamese government has called for the participation of private entities in the form of public-private partnership (PPP). Attracting private investors is a vital and challenging step for implementing PPP transportation projects in Vietnam. This paper examines the similarities and differences of risk perceptions of the public and private sectors for the investment of PPP transportation projects in Vietnam. Questionnaire surveys are used to collect data for assessing the likelihoods of occurrence and impacts of risk factors from 123 experienced professionals from both public and private entities. We found that the two most critical risk factors (CRFs) are land acquisition and compensation, and delay in project approvals and permits. The results from an independent sample t-test indicate the different risk perceptions of the public and private sectors for eight CRFs: (1) corruption, (2) change of project scope, (3) lack of transparency in bidding, (4) inflation, (5) payment issues, (6) inadequate feasibility study, (7) inappropriate allocation of responsibility and risk, and (8) fluctuation of interest rate. These eight CRFs are categorized into three major groups: the tendering process, commercial problems, and payment issues. These results can be used for establishing appropriate public policies to promote private investments in PPP transportation projects. Meanwhile, private investors would also have a better understanding of PPP transportation project development in Vietnam. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039709530,"We present high spatial resolution (FWHM ∼0.″14) observations of the CO(8-7) line in GDS-14876, a compact star-forming galaxy at z =2.3 with a total stellar mass of log(M ∗/M o) =10.9. The spatially resolved velocity map of the inner r ≲ 1 kpc reveals a continuous velocity gradient consistent with the kinematics of a rotating disk with v rot(r = 1 kpc) =163 ±5 km s-1 and v rot/σ ∼2.5. The gas-to-stellar ratios estimated from CO(8-7) and the dust continuum emission span a broad range, and , but are nonetheless consistent given the uncertainties in the conversion factors. The dynamical modeling yields a dynamical mass of , which is lower, but still consistent with the baryonic mass, , if the smallest CO-based gas fraction is assumed. Despite a low, overall gas fraction, the small physical extent of the dense, star-forming gas probed by CO(8-7), ∼3× smaller than the stellar size, implies a strong relative concentration that increases the gas fraction up to in the central 1 kpc. Such a gas-rich center, coupled with a high star formation rate (SFR) ∼500 M o yr-1, suggests that GDS-14876 is quickly assembling a dense stellar component (bulge) in a strong nuclear starburst. Assuming its gas reservoir is depleted without replenishment, GDS-14876 will quickly (t depl ∼ 27 Myr) become a compact quiescent galaxy that could retain some fraction of the observed rotational support. © 2017. The American Astronomical Society. All rights reserved.."
2-s2.0-85038429957,"The Old World, cyclostome braconid wasp genus Cedria Wilkinson is recorded from Thailand for the first time based on a new species, Cedria wichasei Quicke, Belokobylskij & Butcher, sp. nov., which is described, illustrated, and a key provided to enable its separation from the closely-related species, C. galinae Belokobylskij and C. africana Belokobylskij which share strong peri-occular carina and at least rather rugose frons. Similarities to Apocedria van Achterberg & Chen, from China, are discussed. © 2017 Magnolia Press."
2-s2.0-85032489556,"Aims Vitamin D has anti-inflammatory, anti-fibrotic effect, and may block the intrarenal renin-angiotensin system. Adequate vitamin D levels in conjunction with the use of Angiotensin-converting Enzyme Inhibitors/Angiotensin Receptor Blockers may help to slow down chronic kidney disease progression. Main methods To study a possible beneficial effect of vitamin D supplementation in chronic kidney disease patients using angiotensin-converting enzyme inhibitors/angiotensin receptor blockers on chronic kidney disease progression we performed a clinical study involving vitamin D supplementation in patients with deficiency of this vitamin. This study was conducted in two chronic kidney disease clinics in the city of Londrina, Brazil, from October 2010 to December 2012. It was involved stage 3 and 4 chronic kidney disease (estimated glomerular filtration rate between 60 and 15 mL/min/1.73 m2) patients with and without vitamin D deficiency. The patients ingested six-month cholecalciferol 50,000 IU oral supplementation to chronic kidney disease patients with vitamin D deficiency. We hypothesize changes in estimated glomerular filtration rate over study period. Significance Our data demonstrate reservation of estimated glomerular filtration with cholecalciferol supplementation to chronic kidney disease patients taking angiotensin-converting enzyme inhibitors/angiotensin receptor blockers. The combination treatment of angiotensin converting enzyme inhibitors/angiotensin receptor blockers with cholecalciferol prevents the decline in estimated glomerular filtration in patients with chronic kidney disease following treatment with angiotensin-converting enzyme inhibitors/angiotensin receptor blockers and may represent a valid approach to reduce renal disease progression in chronic kidney disease patients with vitamin D deficiency. This result needs confirmation in prospective controlled clinical trials. © 2017"
2-s2.0-85032271239,"A combination of fluorophore and nucleobase through a π-conjugated rigid linker integrates the base pairing and the fluorescence change into a single event. Such base discriminating fluorophore can change its fluorescence as a direct response to the base pairing event and therefore have advantages over tethered labels or base surrogates lacking the hydrogen-bonding ability. 8-(Pyrene-1-yl)ethynyl-adenine (APyE) has been extensively used as fluorescence labels in DNA and LNA, but it showed little discrimination between different nucleobases. Herein we investigated the synthesis, base pairing ability and optical properties of APyE in pyrrolidinyl peptide nucleic acid – a DNA mimic that shows much stronger affinity and specificity towards DNA than natural oligonucleotides. The APyE in PNA pairs specifically with thymine in the DNA strand, and resulted in 1.5–5.2-fold enhanced and blue-shifted fluorescence emission. Fluorescence quenching was observed in the presence of mismatched base or abasic site directly opposite to the APyE. The behavior of APyE in acpcPNA is distinctively different from DNA whereby a fluorescence was increased selectively upon duplex formation with complementary DNA and therefore emphasizing the unique advantages of using PNA as alternative oligonucleotide probes. Applications as color-shifting probe for detection of trinucleotide repeats in DNA were demonstrated, and the performance of the probe was further improved by combination with reduced graphene oxide as an external nanoquencher. © 2017 Elsevier Ltd"
2-s2.0-85029811763,"In this work, the spherical shape of carboxymethyl cellulose (CMC) tiny particles with high purity was successfully produced. Carboxymethyl cellulose from bleached bagasse pulp (CMCB) was synthesized at various alkaline concentrations from 20%(w/v) to 60%(w/v) and then the spray drying process was utilized as a simultaneous shape forming and purification step to obtain CMC microspheres without remnants of cellulose fibers. The alkalization of the bleached bagasse cellulose for carboxymethylation had no significant effect on the degree of substitution (DS), which was approximately 0.80. Increasing alkaline concentration influenced the properties of the CMC microsphere; e.g. increasing%NaCl and resulted to degrade cellulose fiber as observed by the gradual decreasing of%yield, %CMC, density, crystallinity and particle size. The morphology of CMCB microspheres revealed more crack marks on the surface and their granule sizes were smaller (0.10–0.15 μm) when adding 40–60% (w/v) NaOH concentrations. The CMCB spray dried microspheres were cast to CMC films and their physical, mechanical and barrier properties were further investigated to determine the proper alkaline concentration for mercerization step. The CMCB film of microphere using 40%(w/v) NaOH showed the highest tensile strength (53.7 MPa) as well elongation at a break of 3.09%. Increasing alkaline concentration coupled with the use of the spray drying process resulted in decreasing film viscosity but increasing CMCB film's water solubility, tensile strength and elongation (up to 40%, w/v of NaOH concentration), water vapor and oxygen gas transmission rates (WVTR and OTR). The WVTR and OTR of CMCB film were reported to be in the range of 14.25–16.76 g/m2 day and 1.94–5.50 × 10−4 cm3/m2 day Pa, respectively. This led to a development of a high CMCB film value. © 2017 Elsevier B.V."
2-s2.0-85033555515,"The binding capability of pyrrolidinyl peptide nucleic acids (PNAs) to DNA have been studied experimentally, also the high affinity and sequence specificity were reported. However, to date a detailed understanding of these properties is unclear due to a lack of crystallographic data. In this work, molecular dynamics (MD) simulations of pyrrolidinyl PNA with different stereochemistry, (2′R,4′R)- and (2′R,4′S)-prolyl-(1S,2S)-2-aminocyclopentanecarboxylic acid (namely acpcPNA and epi-acpcPNA, respectively), binding to DNA were performed. MD simulations of three different forms (A-, B- and P-forms) were conducted to investigate the probable duplex conformation, which revealed that the MD structures were close to B-type duplex. It was found that acpcPNA and epi-acpcPNA backbones play a minor role in the hydrogen bond geometry of base pair, however, these greatly influence the interactions between PNA and DNA strands, leading to the differences in duplex stability. The calculated binding free energy revealed the higher thermodynamic stability of acpcPNA-DNA compared to epi-acpcPNA-DNA system, which is in good agreement with published experimental data. This work offers new insights into the conformational and energetic properties of pyrrolidinyl PNA-DNA duplexes at a molecular level. © 2017 Elsevier B.V."
2-s2.0-85021181600,"The enormous demand for medical diagnostics has encouraged the fabrication of high- performance sensing platforms for the detection of glucose. Nonenzymatic glucose sensors are coming ever closer to being used in practical applications. Bimetallic catalysts have been shown to be superior to single metal catalysts in that they have greater activity and selectivity. Here, we demonstrate the preparation, characterization, and electrocatalytic characteristics of a new bimetallic Pt/Au nanocatalyst. This nanocatalyst can easily be synthesized by electrodeposition by sequentially depositing Au and Pt on the surface of a boron-doped diamond (BDD) electrode. We characterized the nanocatalyst by scanning electron microscopy (SEM), X-ray diffraction (XRD), and voltammetry. The morphology and composition of the nanocatalyst can be easily controlled by adjusting the electrodeposition process and the molar ratio between the Pt and Au precursors. The electrocatalytic characteristics of a Pt/Au/BDD electrode for the nonenzymatic oxidation of glucose were systematically investigated by cyclic voltammetry. The electrode exhibits higher catalytic activity for glucose oxidation than Pt/BDD and Au/BDD electrodes. The best catalytic activity and stability was obtained with a Pt:Au molar ratio of 50:50. Moreover, the presence of Au can significantly enhance the long-term stability and poisoning tolerance during the electro-oxidation of glucose. Measurements of glucose using the Pt/Au/BDD electrode were linear in the range from 0.01 to 7.5 mM, with a detection limit of 0.0077 mM glucose. The proposed electrode performs selective electrochemical analysis of glucose in the presence of common interfering species (e.g., acetaminophen, uric and ascorbic acids), avoiding the generation of overlapping signals from such species. © 2017 Elsevier B.V."
2-s2.0-85041048740,"Background: Previous studies in patients with limb-girdle muscular dystrophy type 2A (LGMD2A) have suggested that calpain-3 (CAPN3) mutations result in aberrant regeneration in muscle. Methods: To gain insight into pathogenesis of aberrant muscle regeneration in LGMD2A, we used a paradigm of cardiotoxin (CTX)-induced cycles of muscle necrosis and regeneration in the CAPN3-KO mice to simulate the early features of the dystrophic process in LGMD2A. The temporal evolution of the regeneration process was followed by assessing the oxidative state, size, and the number of metabolic fiber types at 4 and 12 weeks after last CTX injection. Muscles isolated at these time points were further investigated for the key regulators of the pathways involved in various cellular processes such as protein synthesis, cellular energy status, metabolism, and cell stress to include Akt/mTORC1 signaling, mitochondrial biogenesis, and AMPK signaling. TGF-β and microRNA (miR-1, miR-206, miR-133a) regulation were also assessed. Additional studies included in vitro assays for quantifying fusion index of myoblasts from CAPN3-KO mice and development of an in vivo gene therapy paradigm for restoration of impaired regeneration using the adeno-associated virus vector carrying CAPN3 gene in the muscle. Results: At 4 and 12 weeks after last CTX injection, we found impaired regeneration in CAPN3-KO muscle characterized by excessive numbers of small lobulated fibers belonging to oxidative metabolic type (slow twitch) and increased connective tissue. TGF-β transcription levels in the regenerating CAPN3-KO muscles were significantly increased along with microRNA dysregulation compared to wild type (WT), and the attenuated radial growth of muscle fibers was accompanied by perturbed Akt/mTORC1 signaling, uncoupled from protein synthesis, through activation of AMPK pathway, thought to be triggered by energy shortage in the CAPN3-KO muscle. This was associated with failure to increase mitochondria content, PGC-1α, and ATP5D transcripts in the regenerating CAPN3-KO muscles compared to WT. In vitro studies showed defective myotube fusion in CAPN3-KO myoblast cultures. Replacement of CAPN3 by gene therapy in vivo increased the fiber size and decreased the number of small oxidative fibers. Conclusion: Our findings provide insights into understanding of the impaired radial growth phase of regeneration in calpainopathy. © 2017 The Author(s)."
2-s2.0-85038434704,"The direct amination reaction of heterocyclic thiols has been developed in the presence of the nonhazardous photocatalyst Rose Bengal under irradiation of visible light. The reaction provides a straightforward approach to pharmaceutically and synthetically useful 2-aminobenzoxazole and 4-aminoquinazoline derivatives from the corresponding heterocyclic thiols with amines in good to excellent yields. Our photochemical reaction can be successfully adapted into a continuous flow reactor which is applicable for large-scale chemical industry. The key benefits of this reaction include the use of metal-free, low-cost Rose Bengal catalyst and practical operation (ambient temperature, open flask, and undried solvents). © 2017 American Chemical Society."
2-s2.0-85028376438,"In this study, α-amylase immobilized onto CaO-Fe3O4 using xylan aldehyde as a linking molecule was characterized for its hydrolysis of glycogen from Synechocystis sp. PCC 6803. CaO blended with Fe3O4 can improve the binding efficiency and specific activity. The oxidised birchwood xylan was a linking molecule for enzyme and metal nanoparticles. The analysis of the immobilized enzyme by FTIR, SEM−EDS and XRD confirms the linkage between the enzyme and nanoparticle (CaO-Fe3O4) with the assistance of xylan aldehyde. Incorporation of CaO and xylan aldehyde along with the magnetic Fe3O4 improved the overall binding efficiency and residual activity of the enzyme. The metal nanoparticle linked α-amylase showed a significant increase in the hydrolysis of glycogen. Moreover, the immobilized enzyme was highly stable under various temperatures and pHs and could be reused with an estimated half life of 138.6 h based on 7 cycles experiments. Under optimized conditions, the glucose yield observed was 89% of theoretical maximum. Overall results indicate that the improved enzyme performance is ascribed to the combined action of metal nanoparticle and enzyme. © 2017 Elsevier Ltd"
2-s2.0-85040170019,"We explore the quasistationary profile of a massive charged scalar field in a class of charged black holes in de Rham-Gabadadze-Tolley (dRGT) massive gravity. We discuss how the linear term in the metric, which is a unique character of the dRGT massive gravity, affects the structure of the spacetime. Numerical calculations of the quasinormal modes are performed for a charged scalar field in the dRGT black hole background. For an asymptotically de Sitter (dS) black hole, an improved asymptotic iteration method is used to obtain the associated quasinormal frequencies. The unstable modes are found for the =0 case, and their corresponding real parts satisfy the superradiant condition. For =2, the results show that all the de Sitter black holes considered here are stable against a small perturbation. For an asymptotically dRGT anti-de Sitter (AdS) black hole, unstable modes are found with the frequency satisfying the superradiant condition. Effects of massive-gravity parameters are discussed. Analytic calculation reveals the unique diffusive nature of quasinormal modes in the massive-gravity model with the linear term. Numerical results confirm the existence of the characteristic diffusive modes in both the dS and AdS cases. © 2017 American Physical Society."
2-s2.0-85028470685,"In high-temperature applications such as hot sections of gas turbines, the sintering rate of the porous microstructure of a ceramic coating, and their mechanical and thermomechanical properties are important parameters for thermal barrier coating systems. In the present research, hardness, elastic modulus, thermal expansion, thermal stress and sintering rate of the porous microstructure of yttria-stabilized zirconia (YSZ) and ceria-stabilized zirconia (CSZ) were investigated and compared using the thermal spray technique on IN738LC base metal in thermal cycling to 1100 °C. To determine the structural and phase characteristics of the coatings, scanning electron microscopy (SEM) and X-ray diffraction (XRD) analysis were employed. The experimental results showed that the CSZ coatings exhibit a considerably better sintering rate of the porous microstructure resulting in better mechanical, and thermomechanical properties when compared to the YSZ coatings. Moreover, the study of microstructures of coatings showed that the CSZ coating is formed with a laminar and porous structure, with pores being smaller and more uniform than those of the YSZ coating. © 2017"
2-s2.0-85052976005,"The pantropical anthropochore millipede, Chondromorpha xanthotricha, is new to the fauna of both Chiang Mai Province and entire Thailand, collected in and around the city of Chiang Mai. It often occurred together with Orthomorpha coarctata, another pantropical introduced species, in such man-made habitats as coffee shop garden or compost heap. A detailed, richly illustrated description of C. xanthotricha is provided, based on the fresh samples from Thailand. © ARTHROPODA SELECTA, 2017."
