,Eid,Cite-By_Count,Title
29,2-s2.0-85046338534,0,A collective UTD ray solution for the radiation from conformal linear antenna arrays on a large cylinder
30,2-s2.0-85046288415,0,Application of low dose microwave on wound healing in Nile Tilapia (Oreochromis niloticus)
31,2-s2.0-85046251974,3,Viability of Rat's bone marrow-derived mesenchymal stem cells in a surfactant-induced Thai silk fibroin hydrogel
32,2-s2.0-85045758600,24,Efficient super-resolution algorithm using overlapping bicubic interpolation
33,2-s2.0-85044241288,7,Grid code for PV integration in distribution circuits considering overvoltage and voltage variation
34,2-s2.0-85044203198,1,Development of bilateral science education program by engineering students: Case of joint curriculum planning in Japan and Thailand
35,2-s2.0-85038429957,2,A new species of Cedria Wilkinson (Hymenoptera: Braconidae: Lysiterminae) from Thailand
36,2-s2.0-85046643512,1,Motion interference detection and identification in mobile robots using driving motor currents
37,2-s2.0-85040170019,28,Charged scalar perturbations on charged black holes in de Rham-Gabadadze-Tolley massive gravity
38,2-s2.0-85038434704,22,Organocatalytic Visible Light Enabled S<inf>N</inf>Ar of Heterocyclic Thiols: A Metal-Free Approach to 2-Aminobenzoxazoles and 4-Aminoquinazolines
39,2-s2.0-85033555515,3,Conformational and energetic properties of pyrrolidinyl PNA-DNA duplexes: A molecular dynamics simulation
40,2-s2.0-85032489556,7,Addition of vitamin D reverses the decline in GFR following treatment with ACE inhibitors/angiotensin receptor blockers in patients with chronic kidney disease
41,2-s2.0-85032271239,4,Synthesis and optical properties of pyrrolidinyl peptide nucleic acid bearing a base discriminating fluorescence nucleobase 8-(pyrene-1-yl)-ethynyladenine
42,2-s2.0-85029811763,36,Mechanical and barrier properties of spray dried carboxymethyl cellulose (CMC) film from bleached bagasse pulp
43,2-s2.0-85028470685,57,"Effect of sintering rate on the porous microstructural, mechanical and thermomechanical properties of YSZ and CSZ TBC coatings undergoing thermal cycling"
44,2-s2.0-85028376438,11,Immobilization of α-amylase on metal nanoparticles mediated by xylan aldehyde improves hydrolysis of glycogen from Synechocystis sp. PCC 6803
45,2-s2.0-85021181600,134,Bimetallic Pt–Au nanocatalysts electrochemically deposited on boron-doped diamond electrodes for nonenzymatic glucose detection
46,2-s2.0-85052976005,9,"The first record of the pantropical millipede, chondromorpha xanthotricha (Attems, 1898) (Diplopoda: Polydesmida: Paradoxosomatidae), from Thailand"
47,2-s2.0-85041048740,26,Impaired regeneration in calpain-3 null muscle is associated with perturbations in mTORC1 signaling and defective mitochondrial biogenesis
48,2-s2.0-85038597618,40,Observation of Top Quark Production in Proton-Nucleus Collisions
49,2-s2.0-85123230271,0,Early childhood education in Thailand
50,2-s2.0-85044481652,7,Design of model predictive control for industrial process with input time delay
51,2-s2.0-85047226657,2,Performance evaluation of beacons control data dissemination protocol in handover scenario for VANET
52,2-s2.0-85044846217,2,Tip-enhanced Raman scattering in liquid/solution
53,2-s2.0-85034821679,59,Constraints on anomalous Higgs boson couplings using production and decay information in the four-lepton final state
54,2-s2.0-85034449894,15,Search for a heavy composite Majorana neutrino in the final state with two leptons and two quarks at s=13TeV
55,2-s2.0-85032425979,17,Mahanine enhances the glucose-lowering mechanisms in skeletal muscle and adipocyte cells
56,2-s2.0-85049262167,97,Non-alcoholic fatty liver disease as a risk factor for cholangiocarcinoma: a systematic review and meta-analysis
57,2-s2.0-85037653422,29,Hyperacute simultaneous cardiocerebral infarction: Rescuing the brain or the heart first?
58,2-s2.0-85045989546,3,Interval pricing scheme of demand response to maximize benefits of utility and participants under a vertically integrated electric industry of Thailand
59,2-s2.0-85038612821,26,Principal-component analysis of two-particle azimuthal correlations in PbPb and pPb collisions at CMS
60,2-s2.0-85045003067,20,Endoscopic and histological mucosal healing in ulcerative colitis in the first year of diagnosis: Results from a population-based inception cohort from Six Countries in Asia
61,2-s2.0-85043322587,0,Development of epidemiology data map visualization system
62,2-s2.0-85028559492,8,"Enteroendocrine, Musashi 1 and neurogenin 3 cells in the large intestine of Thai and Norwegian patients with irritable bowel syndrome"
63,2-s2.0-85057828701,6,Factors associated with glycemic control in children and adolescents with type 1 diabetes mellitus at a tertiary-care center in Thailand: A retrospective observational study
64,2-s2.0-85049393881,62,"Measurement of charged pion, kaon, and proton production in proton-proton collisions at √s = 13 TeV"
65,2-s2.0-85047899907,2,Esophagogastric region and liver tissue in dog-faced water snake Cerberus rynchops: Histology and histochemistry
66,2-s2.0-85047073019,9,Precipitated nano zinc hydroxide on the silica surface as an alternative cure activator in the vulcanization of natural rubber
67,2-s2.0-85045692442,8,Gene polymorphisms of autophagy machinery and the risk of hepatitis B virus-related hepatocellular carcinoma in a Thai population
68,2-s2.0-85045642591,2,Development of loop-mediated isothermal amplification (LAMP) assay combined with malachite green as a rapid screening test for Candidatus Mycoplasma haemominutum infection in cats
69,2-s2.0-85044253500,37,Brown rice and retrograded brown rice alleviate inflammatory response in dextran sulfate sodium (DSS)-induced colitis mice
70,2-s2.0-85042529228,13,Promoter hypermethylation of SOX11 correlates with adverse clinicopathological features of human prostate cancer
71,2-s2.0-85042128472,16,"Kaolin-nano scale zero-valent iron composite(K-nzvi): Synthesis, characterization and application for heavy metal removal"
72,2-s2.0-85042125746,24,"Search for supersymmetry in events with at least one photon, missing transverse momentum, and large transverse event activity in proton-proton collisions at √s=13 TeV"
73,2-s2.0-85041353839,14,Urinary cysteinyl leukotriene E4 level and therapeutic response to montelukast in children with mild obstructive sleep apnea
74,2-s2.0-85041342424,11,Precise Receiver Clock Offset Estimations According to Each Global Navigation Satellite Systems (GNSS) Timescales
75,2-s2.0-85040722165,2,Characterization and comparison of phytase production by Bacillus and Paenibacillus strains from Thai soils
76,2-s2.0-85040704260,46,Process design of biodiesel production: Hybridization of ester-and transesterification in a single reactive distillation
77,2-s2.0-85040241772,1,Factors related to patient satisfaction on postoperative epidural analgesia
78,2-s2.0-85040225133,6,Ondansetron for prophylaxis of spinal morphine induced nausea during early rooming in breastfeeding: A randomized placebo controlled trial
79,2-s2.0-85040114563,13,Decaying Wood Preference of Stag Beetles (Coleoptera: Lucanidae) in a Tropical Dry-Evergreen Forest
80,2-s2.0-85040064175,22,Kinematic and kinetic analysis of throwing a straight punch: The role of trunk rotation in delivering a powerful straight punch
81,2-s2.0-85039838392,0,Sustainability in the textile community through the sufficiency economy philosophy and the buddhism concept
82,2-s2.0-85039173416,0,What is your diagnosis?
83,2-s2.0-85039172717,3,Frontoethmoidal meningoencephalocele with multiple congenital craniofacial and skeletal malformations in a stillborn puppy
84,2-s2.0-85039172188,2,Short-term effect of coconut oil supplementation on meal pattern in crossbred dairy goats fed under tropical environment
85,2-s2.0-85039161918,0,ECG Quiz
86,2-s2.0-85039151846,0,Treatment of cloacal papilloma with 50% silver nitrate solution in chestnut-fronted macaws (Ara severus)
87,2-s2.0-85039151515,1,Effects of monosodium glutamate on heart beat and the embryonic development of zebrafish
88,2-s2.0-85039150694,0,Ophthalmology Snapshot
89,2-s2.0-85039147109,0,Delayed ovarian resumption in Holstein lactating cows: Association with elevated beta-hydroxybutyrate levels during early postpartum period
90,2-s2.0-85039078015,3,An analysis of twitter in the passing of His Majesty King Bhumibol Adulyadej
91,2-s2.0-85038931435,61,Beneficial Effects of Adjuvant Melatonin in Minimizing Oral Mucositis Complications in Head and Neck Cancer Patients Receiving Concurrent Chemoradiation
92,2-s2.0-85038907577,17,Genetic and antigenic divergence in the influenza A(H3N2) virus circulating between 2016 and 2017 in Thailand
93,2-s2.0-85038896163,7,Morphometric study of the extraocular muscles in Thai population
94,2-s2.0-85038591932,24,On the exactness of soft theorems
95,2-s2.0-85038264240,44,Interleukin-1β induces human cementoblasts to support osteoclastogenesis
96,2-s2.0-85038209465,1,"22nd International Conference on Medical Physics 2016, Bangkok, Thailand; Medical physics propelling global health"
97,2-s2.0-85037815234,42,Search for Evidence of the Type-III Seesaw Mechanism in Multilepton Final States in Proton-Proton Collisions at s =13 TeV
98,2-s2.0-85037616835,58,Phase III clinical trial (RERISE study) results of efficacy and safety of radotinib compared with imatinib in newly diagnosed chronic phase chronic myeloid leukemia
99,2-s2.0-85037528847,4,"Energy saving by gamification method: Case study at a public school, Thailand"
100,2-s2.0-85037361850,37,Search for dark matter produced in association with heavy-flavor quark pairs in proton-proton collisions at √s=13TeV
101,2-s2.0-85037069104,18,p120-Catenin is an obligate haploinsufficient tumor suppressor in intestinal neoplasia
102,2-s2.0-85037043573,16,Cilostazol attenuates intimal hyperplasia in a mouse model of chronic kidney disease
103,2-s2.0-85037035609,6,"Effects of shape, size, and pyrene doping on electronic properties of graphene nanoflakes"
104,2-s2.0-85036619587,7,Analyses of seismic activities and hazards in Laos: A seismicity approach
105,2-s2.0-85035142440,28,Nanocarrier-mediated delivery of α-mangostin for non-surgical castration of male animals
106,2-s2.0-85035045789,15,Morphology and drug release behavior of N-isopropylacrylamide/acrylic acid copolymer as stimuli-responsive nanogels
107,2-s2.0-85034848016,3,Novel mutations in Thai patients with glanzmann thrombasthenia
108,2-s2.0-85034767138,12,A wavelet approach to predict surface roughness in ball-end milling
109,2-s2.0-85034734832,10,Monitoring of chip breaking and surface roughness in computer numerical control turning by utilizing wavelet transform of dynamic cutting forces
110,2-s2.0-85034448782,22,Oral Ulcers in Juvenile-Onset Systemic Lupus Erythematosus: A Review of the Literature
111,2-s2.0-85034068717,29,"Closed-form multiclass cell transmission model enhanced with overtaking, lane-changing, and first-in first-out properties"
112,2-s2.0-85034059715,23,Production of massoia lactone by Aureobasidium pullulans YTP6-14 isolated from the Gulf of Thailand and its fragrant biosurfactant properties
113,2-s2.0-85034028967,77,Thyroid FNA cytology in Asian practice—Active surveillance for indeterminate thyroid nodules reduces overtreatment of thyroid carcinomas
114,2-s2.0-85033681749,11,Valorization of biodiesel plant-derived products via preparation of solketal fatty esters over calcium-rich natural materials derived oxides
115,2-s2.0-85033598844,0,Orthodontic evaluation by cluster and factor analyses from 2D frontal and lateral profilograms derived from 3D CBCT images
116,2-s2.0-85033572607,9,Techno-economic assessment of extractive distillation for tert-butyl alcohol recovery in fuel additive production
117,2-s2.0-85033564863,6,Middle Triassic foraminifers from northern Laos and their paleobiogeographic significance
118,2-s2.0-85032985724,24,Transcriptomic profiling in human mesangial cells using patient-derived lupus autoantibodies identified miR-10a as a potential regulator of IL8
119,2-s2.0-85032898839,11,Low-dose basiliximab induction therapy in heart transplantation
120,2-s2.0-85032829181,29,Genetic analysis of samples from wild populations opens new perspectives on hybridization between long-tailed (Macaca fascicularis) and rhesus macaques (Macaca mulatta)
121,2-s2.0-85032809262,40,Upgrading bio-oil produced from the catalytic pyrolysis of sugarcane (Saccharum officinarum L) straw using calcined dolomite
122,2-s2.0-85032472545,142,Generalist species drive microbial dispersion and evolution
123,2-s2.0-85031920806,30,Halogenated Chrysins Inhibit Dengue and Zika Virus Infectivity
124,2-s2.0-85031791462,21,SnO<inf>2</inf>- and bacterial-cellulose nanofiber-based composites as a novel platform for nickel-ion detection
125,2-s2.0-85031722075,45,Eye lens dosimetry and the study on radiation cataract in interventional cardiologists
126,2-s2.0-85031712172,18,Contrast enhanced ultrasound as a radiation-free alternative to fluoroscopic nephrostogram for evaluating ureteral patency
127,2-s2.0-85031501650,10,Effect of an intervention based on basic Buddhist principles on the spiritual well-being of patients with terminal cancer
128,2-s2.0-85031321875,3,Considering a performance test of forensic genomics system on massively parallel sequencing technology
129,2-s2.0-85031103516,22,Molecular recognition of naphthoquinone-containing compounds against human DNA topoisomerase IIα ATPase domain: A molecular modeling study
130,2-s2.0-85030719959,13,Advances in the use of biologics and other novel drugs for managing inflammatory bowel disease
131,2-s2.0-85030718693,26,"Regulation of antilipopolysaccharide factors, ALFPm3 and ALFPm6, in Penaeus monodon"
132,2-s2.0-85030714759,0,Massively parallel sequencing of 24 Y-STR loci in Thai population
133,2-s2.0-85030563516,6,Transport of Spherical Particles Through Fibrous Media and a Row of Parallel Cylinders: Applications to Glomerular Filtration
134,2-s2.0-85030473409,8,Quantitative methylation analysis of human papillomavirus 16 L1 gene reveals potential biomarker for cervical cancer progression
135,2-s2.0-85030234645,3,Circulatory microrna in acute myocardial infarction: A candidate biomarker for forensic investigation
136,2-s2.0-85029765631,75,"Oseltamivir, amantadine, and ribavirin combination antiviral therapy versus oseltamivir monotherapy for the treatment of influenza: a multicentre, double-blind, randomised phase 2 trial"
137,2-s2.0-85029673618,1,Ancestry informative markers for Asian subcontinent
138,2-s2.0-85029569713,15,High accuracy EEG biometrics identification using ICA and AR model
139,2-s2.0-85029406786,23,"Vitamin D supplementation improves serum markers associated with hepatic fibrogenesis in chronic hepatitis C patients: A randomized, double-blind, placebo-controlled study"
140,2-s2.0-85029208129,1,A soft computing tool for species classification and prediction of glucomannan content in Amorphophallus genus
141,2-s2.0-85029008946,60,Gelatin-bacterial cellulose composite sponges thermally cross-linked with glucose for tissue engineering applications
142,2-s2.0-85028911471,34,Hyper-O-GlcNAcylation induces cisplatin resistance via regulation of p53 and c-Myc in human lung carcinoma
143,2-s2.0-85028746772,39,The cytoplasmic nuclear receptor RARγ controls RIP1 initiated cell death when cIAP activity is inhibited
144,2-s2.0-85028639282,39,Indirect immobilized Jagged1 suppresses cell cycle progression and induces odonto/osteogenic differentiation in human dental pulp cells
145,2-s2.0-85028617867,18,Properties of residual titanium dioxide nanoparticles after extended periods of mixing and settling in synthetic and natural waters
146,2-s2.0-85027868730,16,A homofermentative Bacillus sp. BC-001 and its performance as a potential l-lactate industrial strain
147,2-s2.0-85027694743,3,Regional clustering of chemicals and waste multilateral environmental agreements to improve enforcement
148,2-s2.0-85027589981,13,Olefin-rich gasoline-range hydrocarbons from oligomerization of bio-syngas over Ni/ASA catalyst
149,2-s2.0-85027573443,57,Histone deacetylases and their roles in mineralized tissue regeneration
150,2-s2.0-85027170300,2,Effect of Pressure on the Stability and Electronic Structure of ZnO<inf>0.5</inf>S<inf>0.5</inf> and ZnO<inf>0.5</inf>Se<inf>0.5</inf>
151,2-s2.0-85027152700,15,A Plasmodium yoelii HECT-like E3 ubiquitin ligase regulates parasite growth and virulence
152,2-s2.0-85026838334,5,Hybrid Exponential-Hyperbolic Discounting and Growth Without Commitment
153,2-s2.0-85026749282,6,Feline cutaneous histoplasmosis: The first case report from Thailand
154,2-s2.0-85026659396,6,"Application of indoline dyes having a carboxylated 1,3-indandione ring linked with thienyl or hexylthienyl ring to dye-sensitized solar cells"
155,2-s2.0-85026485978,9,Accuracy of eight deformable image registration (DIR) methods for tomotherapy megavoltage computed tomography (MVCT) images
156,2-s2.0-85026426421,9,Molecular Characterization of Viral Responsive Protein 15 and Its Possible Role in Nuclear Export of Virus in Black Tiger Shrimp Penaeus monodon
157,2-s2.0-85026242667,14,Binding of PmClipSP2 to microbial cell wall components and activation of the proPO-activating system in the black tiger shrimp Penaeus monodon
158,2-s2.0-85025595727,78,Voltammetric detection of carbofuran determination using screen-printed carbon electrodes modified with gold nanoparticles and graphene oxide
159,2-s2.0-85025594633,5,Attitudes of orthodontists and laypersons towards tooth extractions and additional anchorage devices
160,2-s2.0-85025092825,1,Assessing 3D T2 FSE sequence for identification of the normal appendix: working toward a single-sequence MR appendicitis protocol
161,2-s2.0-85024501714,62,Semi-quantitative visual detection of loop mediated isothermal amplification (LAMP)-generated DNA by distance-based measurement on a paper device
162,2-s2.0-85024099797,26,"Activated neuro-oxidative and neuro-nitrosative pathways at the end of term are associated with inflammation and physio-somatic and depression symptoms, while predicting outcome characteristics in mother and baby"
163,2-s2.0-85023768965,71,PSMA expression by microvasculature of thyroid tumors - Potential implications for PSMA theranostics
164,2-s2.0-85023641125,23,The utility of NAFLD fibrosis score for prediction of mortality among patients with nonalcoholic fatty liver disease: A systematic review and meta-analysis of cohort study
165,2-s2.0-85022326064,14,Epidemiologic evaluation of canine urolithiasis in Thailand from 2009 to 2015
166,2-s2.0-85022066491,61,Influence of bleached rice bran wax on the physicochemical properties of organogels and water-in-oil emulsions
167,2-s2.0-85021903308,10,A comprehensive ethnic-based analysis of alpha thalassaemia allelle frequency in northern Thailand article
168,2-s2.0-85021632147,5,Metabolic pathway synthesis based on predicting compound transformable pairs by using neural classifiers with imbalanced data handling
169,2-s2.0-85021387122,215,The association between oral hygiene and periodontitis: a systematic review and meta-analysis
170,2-s2.0-85020708887,11,Alternative chitosan-based EPR dosimeter applicable for a relatively wide range of gamma radiation doses
171,2-s2.0-85020398553,43,Sensitivity of temperature to physical parameterization schemes of RegCM4 over the CORDEX-Southeast Asia region
172,2-s2.0-85020307475,15,"A tale of two cities: Economic development, corporate governance and firm value in Vietnam"
173,2-s2.0-85020273313,8,Rapid Transient Production of a Monoclonal Antibody Neutralizing the Porcine Epidemic Diarrhea Virus (PEDV) in Nicotiana benthamiana and Lactuca sativa
174,2-s2.0-85019771197,7,Leukemia/lymphoma-related factor (LRF) exhibits stage- and context-dependent transcriptional controls in the oligodendrocyte lineage and modulates remyelination
175,2-s2.0-85019629867,9,"Production of 1,3-diols in Escherichia coli"
176,2-s2.0-85018891443,9,CO<inf>2</inf> capture in a multistage CFB: Part I: Number of stages
177,2-s2.0-85018866825,6,CO<inf>2</inf> capture in a multistage CFB: Part II: Riser with multiple cooling stages
178,2-s2.0-85016940905,37,Expression of canine distemper virus receptor nectin-4 in the central nervous system of dogs
179,2-s2.0-85016590955,45,"Molecular detection and isolation of pathogenic Leptospira from asymptomatic humans, domestic animals and water sources in Nan province, a rural area of Thailand"
180,2-s2.0-85015838467,61,Perception of smile esthetics by laypeople of different ages
181,2-s2.0-85015744326,5,Utilization of fly ash and concrete residue in the production of geopolymer bricks
182,2-s2.0-85014742131,47,Regulation and adaptation of management accounting innovations: The case of economic value added in Thai state-owned enterprises
183,2-s2.0-85014123473,0,Unusual cause of anemia in a child with end-stage renal disease: Answers
184,2-s2.0-85014059873,0,Unusual cause of anemia in a child with end-stage renal disease: Questions
185,2-s2.0-85013677371,23,Sunrise in melanoma management: Time to focus on melanoma burden in Asia
186,2-s2.0-85012901711,5,Flexible and stretchable electrode based on multiwalled carbon nanotube/deproteinized natural rubber composites
187,2-s2.0-84953775863,57,Biodegradable poly(lactic acid)/poly(butylene succinate)/wood flour composites: Physical and morphological properties
188,2-s2.0-85041211522,1,"Emerging chytrid fungal pathogen, batrachochytrium dendrobatidis, in zoo amphibians in Thailand"
189,2-s2.0-85043468010,5,Managing open innovation: A case study of the National Science and Technology Development Agency (NSTDA) in Thailand
190,2-s2.0-85043461215,1,An octave-scale multiband spectral subtraction noise reduction method for speech enhancement
191,2-s2.0-85038437195,5,Dynamic Response of Two Rigid Foundations on Multi-Layered Poroelastic Medium
192,2-s2.0-85036656081,47,Association of HLA-A and HLA-B alleles with lamotrigine-induced cutaneous adverse drug reactions in the Thai population
193,2-s2.0-85043496148,3,Tree-based anti-collision algorithm with single error bit tracking for RFID systems
194,2-s2.0-85041786816,0,Violence against children in the Asia Pacific region
195,2-s2.0-85036668130,4,"Removal of arsenic and manganese from the tailing storage facility of a gold mine using vetiveria zizanioides, Bambusa bambos and Pennisetum purpureum"
196,2-s2.0-85036467920,10,Simple screening of Listeria monocytogenes based on a fluorescence assay via a laminated lab-on-paper chip
197,2-s2.0-85045295973,0,Performance analysis of computer virus detection from binary code using ensemble classifier
198,2-s2.0-85043505931,3,Performance enhancement by combining visual clues to identify sign language motions
199,2-s2.0-85041378490,1,Peripheral pulmonary lesion classification from endobronchial ultrasonography images using weight-sum of upper and lower GLCM feature
200,2-s2.0-85040369426,0,Walking tour of cultural heritage sites
201,2-s2.0-85037083143,36,Higher phthalate concentrations are associated with precocious puberty in normal weight Thai girls
202,2-s2.0-85036544496,13,Anomaly on Superspace of Time Series Data
203,2-s2.0-85053773163,1,Uneven enzymatic browning on fresh-cut apple and its measurement
204,2-s2.0-85037706907,0,Impact of processing method and growing location on overall differences of brewed coffee using electronic tongue and sensory panel
205,2-s2.0-85037705620,9,Differences in volatile compounds and antioxidant activity of ripe and unripe green coffee beans (Coffea arabica L. ‘Catimor’)
206,2-s2.0-85037691507,2,Antioxidant properties and proximate analysis of green coffee beans from different plantations and processing methods in Thailand
207,2-s2.0-85037691271,1,Shelf-life extension of banana fruit using a chitosan-containing photocatalyst
208,2-s2.0-85037688660,0,Influence of pectin and rebaudioside A on the stability of anthocyanins and antioxidant activity of roselle (Hibiscus sabdariffa L.) juice
209,2-s2.0-85037677307,0,Pasting behavior of banana flours and development of a banana flour-substituted bakery product
210,2-s2.0-85029581975,25,Influences of crystallographic texture and nanostructural features on corrosion properties of electrogalvanized and chromate conversion coatings
211,2-s2.0-85039425319,0,Monitoring of the data processing and simulated production at CMS with a web-based service: The Production Monitoring Platform (pMp)
212,2-s2.0-85035032076,19,Polyisoprene-silica nanoparticles synthesized via RAFT emulsifier-free emulsion polymerization using water-soluble initiators
213,2-s2.0-85025460682,5,Mesoporous water adsorbent material from poly high internal phase emulsion for agriculture application
214,2-s2.0-85041233134,0,Regular elements and BQ-elements in generalized semigroups of ℤ<inf>n</inf>
215,2-s2.0-85017574096,25,"Elevated serum leptin levels are associated with low vitamin D, sarcopenic obesity, poor muscle strength, and physical performance in knee osteoarthritis<sup>*</sup>"
216,2-s2.0-85042699524,1,Unlocking the northeast region of India: An ASEAN connectivity perspective
217,2-s2.0-85034589273,16,Alternative Hydrocarbon Biofuel Production via Hydrotreating under a Synthesis Gas Atmosphere
218,2-s2.0-85034116329,15,"A checklist of the millipedes (Diplopoda) of Myanmar, with an updated list of Leonardo Fea's collecting localities"
219,2-s2.0-85033791814,8,"One-Step Synthesis of 2,5-Bis(chloromethyl)-1,4-dioxane from Epichlorohydrin Using ZIF-8, Taking Advantage of Structural Defects"
220,2-s2.0-85040557689,3,An Interactive Story-Based Mobile Game Application to Diagnosing Learning Style and Learning Suggestion Based on ILS: Development and Evaluation of the Adventure Hero Game
221,2-s2.0-85032705911,9,Control structure design of a solid oxide fuel cell and a molten carbonate fuel cell integrated system: Top-down analysis
222,2-s2.0-85026784306,16,Pulsed DC magnetron sputtering deposition of crystalline photocatalytic titania coatings at elevated process pressures
223,2-s2.0-85026467782,158,Effects of microplastics on sessile invertebrates in the eastern coast of Thailand: An approach to coastal zone conservation
224,2-s2.0-85021831021,9,Zeolite A-polypropylene and silver-zeolite A-polypropylene composite films for antibacterial and breathable applications
225,2-s2.0-85035227242,22,Developing a stochastic traffic volume prediction model for public-private partnership projects
226,2-s2.0-85035219109,25,Application fuzzy multi-attribute decision analysis method to prioritize project success criteria
227,2-s2.0-85034084236,4,The Contribution of IUPAC to Polymer Science Education
228,2-s2.0-85049908639,3,"Living with the flood: A political ecology of fishing, farming, and migration around Tonle Sap Lake, Cambodia"
229,2-s2.0-85049908240,4,Living with and against floods in Bangkok and Thailand's central plain
230,2-s2.0-85049896071,0,Floods and migrants: Synthesis and implications for policy
231,2-s2.0-85049890333,9,"Migration and floods in Southeast Asia: A mobile political ecology of vulnerability, resilience and social justice"
232,2-s2.0-85049886756,8,"Living with floods in a mobile Southeast Asia: A political ecology of vulnerability, migration and environmental change"
233,2-s2.0-85034062829,6,Thermoresponsive and Active Functional Fiber Mats for Cultured Cell Recovery
234,2-s2.0-85044210331,14,Missing-data imputation for solar irradiance forecasting in Thailand
235,2-s2.0-85044196836,4,Design of reduced-order observer and linear quadratic regulator for inverted pendulum on cart
236,2-s2.0-85044161578,6,Design of disturbance observer and model predictive control for non-minimum phase time-delay system with application to industrial boilers
237,2-s2.0-85042318316,24,Search for black holes and other new phenomena in high-multiplicity final states in proton–proton collisions at √s=13TeV
238,2-s2.0-85038864869,37,"Combination of searches for heavy resonances decaying to WW, WZ, ZZ, WH, and ZH boson pairs in proton–proton collisions at √s=8 and 13 TeV"
239,2-s2.0-85035068574,77,Measurement of vector boson scattering and constraints on anomalous quartic couplings from events with four leptons and two jets in proton–proton collisions at s=13 TeV
240,2-s2.0-85033717251,11,Patient reported outcome and experience measures of oral disease in oral medicine
241,2-s2.0-85033705897,31,Exact lowest-Landau-level solutions for vortex precession in Bose-Einstein condensates
242,2-s2.0-85030756076,19,The behavior of gypsum-bonded investment in the gold jewelry casting process
243,2-s2.0-85033802178,74,"Thai plants with high antioxidant levels, free radical scavenging activity, anti-tyrosinase and anti-collagenase activity"
244,2-s2.0-85033553291,2,Ethylene Epoxidation in a Low-Temperature Parallel Plate Dielectric Barrier Discharge System: Effect of Oxygen Source
245,2-s2.0-85033452553,25,Detachment-induced E-cadherin expression promotes 3D tumor spheroid formation but inhibits tumor formation and metastasis of lung cancer cells
246,2-s2.0-85039923643,18,An appropriate battery capacity and operation schedule of battery energy storage system for PV Rooftop with net-metering scheme
247,2-s2.0-85039922598,0,Benefit analysis of demand response in Southern Thailand with consideration of reserve margin
248,2-s2.0-85039921734,1,A study on energy reduction based on responsive behavior of users
249,2-s2.0-85039921239,3,Design of iterative learning control via alternating direction method of multipliers for building temperature control system
250,2-s2.0-85039919369,25,Impact of EV home charger on distribution transformer overloading in an urban area
