Eid,Subtype,Publish_year,Publish_month
2-s2.0-85050336797,Conference Paper,2018,03
2-s2.0-85053542738,Conference Paper,2018,08
2-s2.0-85032805319,Article,2018,06
2-s2.0-85059675381,Article,2018,12
2-s2.0-85050344082,Article,2018,10
2-s2.0-85049872904,Article,2018,01
2-s2.0-85058647216,Conference Paper,2018,12
2-s2.0-85043240477,Article,2018,11
2-s2.0-85041697042,Article,2018,04
2-s2.0-85031940782,Article,2018,08
2-s2.0-85067932266,Editorial,2018,06
2-s2.0-85045222719,Article,2018,03
2-s2.0-85053536200,Conference Paper,2018,08
2-s2.0-85030854232,Article,2018,06
2-s2.0-85060162536,Article,2018,12
2-s2.0-85050374171,Article,2018,10
2-s2.0-85044059764,Article,2018,01
2-s2.0-85049126613,Article,2018,04
2-s2.0-85041410863,Article,2018,02
2-s2.0-85053213055,Article,2018,11
2-s2.0-85039707027,Article,2018,01
2-s2.0-85039722861,Article,2018,02
2-s2.0-85053754566,Article,2018,09
2-s2.0-85049401886,Article,2018,07
2-s2.0-85048322358,Article,2018,06
2-s2.0-85046754470,Article,2018,04
2-s2.0-85048292237,Article,2018,08
2-s2.0-85050089963,Article,2018,10
2-s2.0-85053749794,Article,2018,12
2-s2.0-85054598542,Article,2018,10
2-s2.0-85055710234,Article,2018,12
2-s2.0-85043683102,Article,2018,06
2-s2.0-85045193269,Article,2018,03
2-s2.0-85055596089,Editorial,2018,08
2-s2.0-85042584526,Article,2018,02
2-s2.0-85121788603,Conference Paper,2018,08
2-s2.0-85076712598,Conference Paper,2018,06
2-s2.0-85043476619,Article,2018,04
2-s2.0-85050080433,Conference Paper,2018,06
2-s2.0-85044037605,Article,2018,05
2-s2.0-85057583776,Conference Paper,2018,11
2-s2.0-85029159795,Article,2018,01
2-s2.0-85040249641,Article,2018,09
2-s2.0-85048018727,Article,2018,11
2-s2.0-85053455291,Article,2018,12
2-s2.0-85056134427,Conference Paper,2018,10
2-s2.0-85049635232,Article,2018,08
2-s2.0-85044938791,Article,2018,04
2-s2.0-85048576552,Article,2018,06
2-s2.0-85049303569,Article,2018,08
2-s2.0-85043353921,Article,2018,03
2-s2.0-85044448248,Article,2018,06
2-s2.0-85056844710,Data Paper,2018,12
2-s2.0-85053921163,Article,2018,10
2-s2.0-85044849806,Article,2018,06
2-s2.0-85046269561,Conference Paper,2018,02
2-s2.0-85054008064,Conference Paper,2018,08
2-s2.0-85028984118,Article,2018,03
2-s2.0-85057781904,Article,2018,11
2-s2.0-85031400722,Article,2018,01
2-s2.0-85042909652,Article,2018,05
2-s2.0-85055966450,Conference Paper,2018,06
2-s2.0-85051334326,Article,2018,07
2-s2.0-85042873312,Article,2018,04
2-s2.0-85050191643,Article,2018,11
2-s2.0-85062797130,Conference Paper,2018,12
2-s2.0-85046032980,Article,2018,01
2-s2.0-85029818459,Article,2018,01
2-s2.0-85051278176,Article,2018,10
2-s2.0-85059255766,Article,2018,12
2-s2.0-85047731035,Article,2018,05
2-s2.0-85053185103,Conference Paper,2018,08
2-s2.0-85045142896,Article,2018,03
2-s2.0-85050794463,Article,2018,11
2-s2.0-85042359515,Article,2018,01
2-s2.0-85049875455,Article,2018,04
2-s2.0-85039942501,Article,2018,04
2-s2.0-85048476985,Article,2018,07
2-s2.0-85036498020,Article,2018,07
2-s2.0-85053477724,Article,2018,11
2-s2.0-85055148645,Article,2018,09
2-s2.0-85038120430,Article,2018,02
2-s2.0-85050993973,Article,2018,09
2-s2.0-85037681290,Article,2018,01
2-s2.0-85055674190,Short Survey,2018,10
2-s2.0-85093897088,Article,2018,01
2-s2.0-85045834409,Article,2018,06
2-s2.0-85051829925,Article,2018,08
2-s2.0-85045087730,Article,2018,03
2-s2.0-85045626371,Article,2018,08
2-s2.0-85053492921,Article,2018,12
2-s2.0-85028912249,Article,2018,02
2-s2.0-85015303108,Article,2018,05
2-s2.0-85033689474,Article,2018,07
2-s2.0-85040983639,Article,2018,11
2-s2.0-85047622204,Article,2018,09
2-s2.0-85041594251,Article,2018,03
2-s2.0-85041696827,Article,2018,12
2-s2.0-85054858889,Conference Paper,2018,09
2-s2.0-85042499737,Article,2018,02
2-s2.0-85046666265,Article,2018,05
2-s2.0-85049602739,Article,2018,07
2-s2.0-85044383305,Article,2018,03
2-s2.0-85049198533,Article,2018,05
2-s2.0-85050741219,Conference Paper,2018,07
2-s2.0-85037671164,Article,2018,04
2-s2.0-85151761949,Book Chapter,2018,01
2-s2.0-85057420667,Article,2018,12
2-s2.0-85047113263,Article,2018,10
2-s2.0-85069328095,Review,2018,12
2-s2.0-85062587239,Article,2018,09
2-s2.0-85042633507,Article,2018,01
2-s2.0-85040746519,Article,2018,05
2-s2.0-85052998272,Letter,2018,09
2-s2.0-85031738297,Article,2018,01
2-s2.0-85042944700,Article,2018,03
2-s2.0-85040318014,Article,2018,01
2-s2.0-85056647097,Article,2018,11
2-s2.0-85045737757,Article,2018,07
2-s2.0-85034048270,Article,2018,04
2-s2.0-85051794662,Article,2018,07
2-s2.0-85048038821,Conference Paper,2018,05
2-s2.0-85015168691,Article,2018,09
2-s2.0-85042672238,Article,2018,02
2-s2.0-85050656313,Article,2018,12
2-s2.0-85082684208,Article,2018,12
2-s2.0-85018249148,Article,2018,04
2-s2.0-85048317453,Article,2018,07
2-s2.0-85108485844,Book Chapter,2018,07
2-s2.0-85047780112,Article,2018,05
2-s2.0-85040938583,Article,2018,01
2-s2.0-85055862684,Conference Paper,2018,09
2-s2.0-85055893617,Article,2018,04
2-s2.0-85046786100,Article,2018,07
2-s2.0-85057130234,Article,2018,11
2-s2.0-85040826788,Article,2018,01
2-s2.0-85044754478,Article,2018,03
2-s2.0-85052633547,Article,2018,09
2-s2.0-85051023165,Review,2018,12
2-s2.0-85046583455,Article,2018,02
2-s2.0-85058717573,Article,2018,09
2-s2.0-85090522950,Article,2018,05
2-s2.0-85052691487,Article,2018,07
2-s2.0-85051110614,Article,2018,03
2-s2.0-85044852725,Review,2018,06
2-s2.0-85041238520,Article,2018,06
2-s2.0-85053495818,Article,2018,12
2-s2.0-85058155060,Review,2018,10
2-s2.0-85052697060,Article,2018,10
2-s2.0-85034582603,Article,2018,02
2-s2.0-85052488654,Article,2018,12
2-s2.0-85045460519,Article,2018,03
2-s2.0-85050973741,Letter,2018,08
2-s2.0-85039057326,Article,2018,03
2-s2.0-85048491406,Article,2018,09
2-s2.0-85062828079,Review,2018,11
2-s2.0-85049189916,Article,2018,06
2-s2.0-85040082145,Article,2018,05
2-s2.0-85042920159,Note,2018,07
2-s2.0-85047658971,Article,2018,05
2-s2.0-85034991318,Article,2018,02
2-s2.0-85054987287,Conference Paper,2018,09
2-s2.0-84946771902,Article,2018,12
2-s2.0-85047221923,Article,2018,12
2-s2.0-85041575056,Article,2018,02
2-s2.0-85055171153,Article,2018,09
2-s2.0-85047949926,Article,2018,05
2-s2.0-85050272808,Article,2018,07
2-s2.0-84984691749,Article,2018,04
2-s2.0-85049143020,Article,2018,07
2-s2.0-85044527605,Article,2018,07
2-s2.0-85056078948,Article,2018,11
2-s2.0-85053262561,Article,2018,09
2-s2.0-85042710807,Article,2018,03
2-s2.0-85050458798,Article,2018,09
2-s2.0-85021826138,Article,2018,08
2-s2.0-85049844762,Conference Paper,2018,01
2-s2.0-85040099983,Article,2018,01
2-s2.0-85129037864,Book Chapter,2018,01
2-s2.0-85159755401,Article,2018,07
2-s2.0-85046121935,Article,2018,05
2-s2.0-85041514937,Article,2018,02
2-s2.0-85054534174,Article,2018,09
2-s2.0-85056148744,Article,2018,11
2-s2.0-85035109804,Article,2018,02
2-s2.0-85030629491,Article,2018,03
2-s2.0-85043774638,Article,2018,09
2-s2.0-85028775225,Article,2018,01
2-s2.0-85058085831,Article,2018,11
2-s2.0-85050386361,Article,2018,06
2-s2.0-85046649716,Article,2018,04
2-s2.0-85025453160,Article,2018,02
2-s2.0-85043605260,Article,2018,03
2-s2.0-85042845717,Article,2018,06
2-s2.0-85055205421,Article,2018,12
2-s2.0-85054316242,Article,2018,10
2-s2.0-85059897171,Conference Paper,2018,11
2-s2.0-85057714249,Conference Paper,2018,09
2-s2.0-85045278169,Conference Paper,2018,02
2-s2.0-85044442704,Article,2018,05
2-s2.0-85065915318,Conference Paper,2018,07
2-s2.0-85045575384,Article,2018,04
2-s2.0-85048708977,Article,2018,06
2-s2.0-85042313923,Article,2018,05
2-s2.0-85060153998,Article,2018,11
2-s2.0-85053416459,Review,2018,08
2-s2.0-85038010058,Article,2018,03
2-s2.0-85056159676,Article,2018,11
2-s2.0-85048834140,Article,2018,08
2-s2.0-85042655754,Article,2018,01
2-s2.0-85050440394,Book Chapter,2018,01
2-s2.0-85050029848,Article,2018,07
2-s2.0-85061594328,Article,2018,05
2-s2.0-85056591683,Article,2018,09
2-s2.0-85041216434,Article,2018,02
2-s2.0-85046658445,Article,2018,12
2-s2.0-85036551446,Article,2018,01
2-s2.0-85051263294,Article,2018,09
2-s2.0-85041801741,Article,2018,03
2-s2.0-85054071137,Article,2018,11
2-s2.0-85041898151,Article,2018,07
2-s2.0-85044988165,Article,2018,04
2-s2.0-85041282106,Article,2018,01
2-s2.0-85054015533,Conference Paper,2018,03
2-s2.0-85047562504,Article,2018,05
2-s2.0-85059087917,Article,2018,12
2-s2.0-85051003161,Article,2018,10
2-s2.0-85027988105,Article,2018,01
2-s2.0-85043448244,Review,2018,01
2-s2.0-85036512224,Article,2018,02
2-s2.0-85053014490,Article,2018,08
2-s2.0-85049741433,Article,2018,03
2-s2.0-85045584091,Article,2018,06
2-s2.0-85042557361,Article,2018,06
2-s2.0-85055028853,Article,2018,12
2-s2.0-85055417424,Article,2018,10
2-s2.0-85052541960,Article,2018,10
2-s2.0-85059463569,Conference Paper,2018,12
2-s2.0-85069445260,Article,2018,10
2-s2.0-85046674536,Article,2018,08
2-s2.0-85043234661,Article,2018,04
2-s2.0-85047183216,Article,2018,06
2-s2.0-85035124114,Article,2018,04
2-s2.0-85045448329,Note,2018,07
2-s2.0-85056327098,Review,2018,11
2-s2.0-85032432882,Article,2018,01
2-s2.0-85052741118,Article,2018,09
2-s2.0-85041561955,Article,2018,01
2-s2.0-85048252864,Article,2018,10
2-s2.0-85057868138,Letter,2018,12
2-s2.0-85046750181,Article,2018,05
2-s2.0-85052305675,Editorial,2018,08
2-s2.0-85044050142,Article,2018,03
2-s2.0-85049344025,Erratum,2018,06
2-s2.0-85065984238,Review,2018,07
2-s2.0-85041547799,Article,2018,04
2-s2.0-85030702080,Article,2018,11
2-s2.0-85057578970,Article,2018,12
2-s2.0-85034956094,Article,2018,01
2-s2.0-85040528867,Article,2018,01
2-s2.0-85043390543,Article,2018,02
2-s2.0-85038820988,Article,2018,03
2-s2.0-85053139810,Conference Paper,2018,08
2-s2.0-85048442872,Conference Paper,2018,05
2-s2.0-85049206588,Article,2018,03
2-s2.0-85058915984,Article,2018,12
2-s2.0-85046007648,Article,2018,10
2-s2.0-85071461260,Review,2018,12
2-s2.0-85058329914,Conference Paper,2018,12
2-s2.0-85056203919,Article,2018,10
2-s2.0-85038877717,Article,2018,04
2-s2.0-85055441834,Conference Paper,2018,07
2-s2.0-85050121910,Article,2018,06
2-s2.0-85020741434,Review,2018,05
2-s2.0-85054830632,Conference Paper,2018,06
2-s2.0-85060182074,Article,2018,11
2-s2.0-85048317219,Article,2018,09
2-s2.0-85053107586,Article,2018,10
2-s2.0-85053893979,Article,2018,12
2-s2.0-85041554101,Article,2018,06
2-s2.0-85054843196,Article,2018,03
2-s2.0-85052201956,Article,2018,08
2-s2.0-85046773061,Article,2018,06
2-s2.0-85050757763,Article,2018,08
2-s2.0-85044644069,Article,2018,04
2-s2.0-85044946419,Article,2018,08
2-s2.0-85054729578,Article,2018,10
2-s2.0-85059450621,Conference Paper,2018,12
2-s2.0-85049194229,Article,2018,06
2-s2.0-85040335469,Review,2018,05
2-s2.0-85040670621,Article,2018,03
2-s2.0-85048862940,Article,2018,09
2-s2.0-85062909559,Article,2018,11
2-s2.0-85047649903,Conference Paper,2018,02
2-s2.0-85049347430,Article,2018,09
2-s2.0-85081041957,Book Chapter,2018,11
2-s2.0-85067133059,Conference Paper,2018,07
2-s2.0-85047263996,Article,2018,05
2-s2.0-85058084176,Article,2018,10
2-s2.0-85049335328,Book Chapter,2018,01
2-s2.0-85044748745,Article,2018,06
2-s2.0-85040066056,Article,2018,08
2-s2.0-85046551290,Article,2018,03
2-s2.0-85051079910,Article,2018,08
2-s2.0-85032854942,Article,2018,02
2-s2.0-85052757960,Article,2018,12
2-s2.0-85040930764,Article,2018,01
2-s2.0-85057062010,Article,2018,11
2-s2.0-85044391017,Article,2018,03
2-s2.0-85034235680,Article,2018,01
2-s2.0-85052619439,Article,2018,09
2-s2.0-85047666573,Article,2018,04
2-s2.0-85046770390,Article,2018,07
2-s2.0-85041096069,Article,2018,05
2-s2.0-85057210811,Article,2018,07
2-s2.0-85051824569,Article,2018,12
2-s2.0-85051806994,Article,2018,02
2-s2.0-85070715145,Article,2018,09
2-s2.0-85020265665,Article,2018,05
2-s2.0-85023641772,Article,2018,04
2-s2.0-85051394463,Conference Paper,2018,07
2-s2.0-85044472790,Conference Paper,2018,03
2-s2.0-85021350022,Article,2018,10
2-s2.0-85090293808,Article,2018,12
2-s2.0-85058457964,Article,2018,12
2-s2.0-85061346445,Article,2018,09
2-s2.0-85055135972,Article,2018,01
2-s2.0-85063019957,Article,2018,05
2-s2.0-85046012767,Article,2018,07
2-s2.0-85041892617,Article,2018,04
2-s2.0-85053005504,Article,2018,09
2-s2.0-85044082110,Article,2018,03
2-s2.0-85056665324,Article,2018,11
2-s2.0-85046407799,Article,2018,09
2-s2.0-85042556487,Article,2018,02
2-s2.0-85049950224,Article,2018,12
2-s2.0-85050740552,Article,2018,07
2-s2.0-85042906960,Article,2018,05
2-s2.0-85032269610,Article,2018,01
2-s2.0-85063690066,Article,2018,12
2-s2.0-85047381190,Article,2018,01
2-s2.0-85049683676,Article,2018,07
2-s2.0-85037540903,Review,2018,04
2-s2.0-85051400330,Conference Paper,2018,07
2-s2.0-85044790152,Article,2018,05
2-s2.0-85046266177,Conference Paper,2018,01
2-s2.0-85020257587,Article,2018,10
2-s2.0-85014680436,Article,2018,11
2-s2.0-85047557102,Article,2018,09
2-s2.0-85041499968,Article,2018,03
2-s2.0-85040985149,Article,2018,04
2-s2.0-85031105933,Article,2018,07
2-s2.0-85047077846,Article,2018,05
2-s2.0-85053260558,Article,2018,07
2-s2.0-85044545374,Review,2018,12
2-s2.0-85014229510,Article,2018,01
2-s2.0-85053464931,Article,2018,09
2-s2.0-85043342494,Article,2018,02
2-s2.0-85042156578,Article,2018,06
2-s2.0-85046649627,Article,2018,03
2-s2.0-85045843942,Article,2018,06
2-s2.0-85049352975,Book Chapter,2018,01
2-s2.0-85051792172,Article,2018,10
2-s2.0-85054588423,Article,2018,12
2-s2.0-85055812006,Article,2018,10
2-s2.0-85053010803,Article,2018,12
2-s2.0-85032203468,Article,2018,02
2-s2.0-85051791502,Article,2018,08
2-s2.0-85044777961,Note,2018,03
2-s2.0-85082371233,Article,2018,04
2-s2.0-85063896318,Book Chapter,2018,01
2-s2.0-85040817223,Article,2018,02
2-s2.0-85051658859,Erratum,2018,11
2-s2.0-85054701052,Article,2018,09
2-s2.0-85035146013,Article,2018,02
2-s2.0-85048467780,Article,2018,07
2-s2.0-85049357406,Article,2018,11
2-s2.0-85066078842,Article,2018,12
2-s2.0-85052140579,Article,2018,06
2-s2.0-85051319393,Article,2018,07
2-s2.0-85042235878,Article,2018,04
2-s2.0-84989227519,Article,2018,06
2-s2.0-85046997256,Article,2018,08
2-s2.0-85049157570,Article,2018,03
2-s2.0-85051300769,Article,2018,10
2-s2.0-85029809896,Article,2018,01
2-s2.0-85059259196,Article,2018,12
2-s2.0-85052837614,Article,2018,08
2-s2.0-85022347411,Review,2018,03
2-s2.0-85041511081,Article,2018,06
2-s2.0-85049772293,Conference Paper,2018,06
2-s2.0-85042943671,Article,2018,05
2-s2.0-85043980585,Article,2018,04
2-s2.0-85053608475,Conference Paper,2018,08
2-s2.0-85055027807,Review,2018,11
2-s2.0-85058970928,Article,2018,11
2-s2.0-85050255728,Review,2018,08
2-s2.0-85045728599,Article,2018,04
2-s2.0-85049119823,Article,2018,06
2-s2.0-85060936020,Conference Paper,2018,12
2-s2.0-85052942954,Article,2018,10
2-s2.0-85056802291,Article,2018,12
2-s2.0-85048666125,Editorial,2018,01
2-s2.0-85053870677,Article,2018,10
