_id,funding_agency_name,Country
675292f3f70a6504336bfb79,Development and Promotion of Science and Technology Talents Project,None
675292f4f70a6504336bfb7a,COSMICISM,None
675292f5f70a6504336bfb7b,Thailand Research Fund/Office of the Higher Education Commission,Thailand
675292f5f70a6504336bfb7c,Polish Ministry of Science and Higher Education,Poland
675292f6f70a6504336bfb7d,Polish National Science Centre,Poland
675292f6f70a6504336bfb7e,Beasiswa Unggulan,Indonesia
675292f7f70a6504336bfb7f,Health and Human Services Administration of Developmental Disabilities,The United States
675292f7f70a6504336bfb80,"Ministry of National Education, Government of Indonesia",Indonesia
675292f8f70a6504336bfb81,National Institute of Health,United States
675292fbf70a6504336bfb82,European Union’s Horizon 2020,Belgium
675292fcf70a6504336bfb83,Ministry of Science and Culture of Lower Saxony,Germany
675292fdf70a6504336bfb84,Niedersachsen-Research Network on Neuroinfectiology,Germany
675292fdf70a6504336bfb85,S.T.,None
675292fef70a6504336bfb86,Veterinary Science Research Fund,None
675292fef70a6504336bfb87,Ministry of Energy,None
675292fff70a6504336bfb88,Institute of Biotechnology,None
67529300f70a6504336bfb89,Benoziyo Center,None
67529302f70a6504336bfb8a,CIN-VESTAV,None
67529302f70a6504336bfb8b,"Cantons of Bern, Geneva and Zurich",Switzerland
67529303f70a6504336bfb8c,Chulalongkorn Academic,Thailand
67529304f70a6504336bfb8d,DNSRC,None
67529304f70a6504336bfb8e,EU Regional Development Fund,None
67529305f70a6504336bfb8f,"Horizon 2020, and Marie Sklo dowska-Curie Actions",The European Union
67529305f70a6504336bfb90,Investissements d’Avenir Labex,France
67529306f70a6504336bfb91,MSMT,Czech Republic
67529306f70a6504336bfb92,MSSR,None
67529307f70a6504336bfb93,Qatar NRF,Qatar
67529307f70a6504336bfb94,RAEP,None
67529308f70a6504336bfb95,RGC,Hong Kong
67529309f70a6504336bfb96,Région Auvergne,France
67529309f70a6504336bfb97,UniZH,Switzerland
6752930af70a6504336bfb98,VSC CR,None
6752930af70a6504336bfb99,Wallenberg Foundation,Sweden
6752930bf70a6504336bfb9a,Bangchak Petroleum PLC.,Thailand
6752930bf70a6504336bfb9b,CU Graduate School Thesis,None
6752930cf70a6504336bfb9c,TRF-CHE,None
6752930df70a6504336bfb9d,Research and Development Fund,None
6752930df70a6504336bfb9e,TRF International Research Network Program,None
6752930ef70a6504336bfb9f,National Research University Project,None
6752930ef70a6504336bfba0,"Rachadapiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University",Thailand
67529310f70a6504336bfba1,Center of Excellence on Medical Biotechnology,None
67529310f70a6504336bfba2,PERDO,None
67529311f70a6504336bfba3,S&T Postgraduate Education and Research Development Office,None
67529311f70a6504336bfba4,Center of Excellence in Clinical Virology,None
67529312f70a6504336bfba5,US Department of Defense,United States
67529312f70a6504336bfba6,Japan Advanced Institute of Science and Technology,Japan
67529313f70a6504336bfba7,Thailand Research and Technology,Thailand
67529313f70a6504336bfba8,"Western Digital (Thailand) Company, Ltd.",Thailand
67529314f70a6504336bfba9,Chulalongkorn Academic Advancement,Thailand
67529314f70a6504336bfbaa,L’Oreal (Thailand) Ltd,Thailand
67529315f70a6504336bfbab,NRCT-JSPS,Thailand
67529315f70a6504336bfbac,National Wildlife Research Center,United States
67529316f70a6504336bfbad,"Center of Excellence on Petrochemicals and Materials Technology, Chulalongkorn University",Thailand
67529316f70a6504336bfbae,"Discipline of Excellence in Department of Chemical Engineering, Department of Chemical Engineering",None
67529317f70a6504336bfbaf,"CU Graduate School Thesis Grant, Chulalongkorn University",Thailand
67529317f70a6504336bfbb0,Huvepharma (Thailand) Ltd,Thailand
67529318f70a6504336bfbb1,Thammasat University Research Fund,Thailand
67529318f70a6504336bfbb2,Sahamongkol Film International Company Limited,Thailand
67529319f70a6504336bfbb3,US-Thai,United States
6752931af70a6504336bfbb4,Hymenoptera Institute of Kentucky,The United States
6752931bf70a6504336bfbb5,Rachadapisaek Sompote,None
6752931bf70a6504336bfbb6,Center of Excellence in Materials Science and Technology,None
6752931cf70a6504336bfbb7,PERCH,None
6752931cf70a6504336bfbb8,ARTS,None
6752931df70a6504336bfbb9,National Science Foundation Advancing Revisionary Taxonomy and Systematics,United States
6752931ef70a6504336bfbba,Texas A&M Pesca,United States
6752931ef70a6504336bfbbb,Programa Severo Ochoa del Princi-pado de Asturias,Spain
6752931ff70a6504336bfbbc,Institute of Veterinary Bacteriology of the University of Bern,Switzerland
6752931ff70a6504336bfbbd,Office of International Affairs and Global Network,None
67529320f70a6504336bfbbe,Baylor-UT Houston Center for AIDS Research,United States
67529320f70a6504336bfbbf,National Institutes of Health-funded,United States
67529321f70a6504336bfbc0,Research Institute of Meijo University,Japan
67529321f70a6504336bfbc1,PREDICT,None
67529322f70a6504336bfbc2,Chulalongkorn University and the Thailand Research Fund,Thailand
67529322f70a6504336bfbc3,CNRS/IN2P3,France
67529323f70a6504336bfbc4,ThEPCenter,None
67529324f70a6504336bfbc5,Elite Asia Interpreters and Ifop-Asia,None
67529324f70a6504336bfbc6,Allana Potash Corporation,Canada
67529325f70a6504336bfbc7,Landmark Graphics Corporation,United States
67529325f70a6504336bfbc8,Landmark University,Nigeria
67529326f70a6504336bfbc9,Environment and Meteorological Department,India
67529326f70a6504336bfbca,Ministry of Public Health,None
67529327f70a6504336bfbcb,"Pollution Control Department, Ministry of Natural Resources",Thailand
67529327f70a6504336bfbcc,Chulalongkorn University,Thailand
67529328f70a6504336bfbcd,IIAC Chulalongkorn University,Thailand
67529328f70a6504336bfbce,Dental Association of Thailand,Thailand
67529329f70a6504336bfbcf,Excellent Center in Regenerative Dentistry,None
6752932af70a6504336bfbd0,LPG,None
6752932af70a6504336bfbd1,University Hospital and Laboratory of Research and Graduate College Hospital,None
6752932bf70a6504336bfbd2,Hanoi University of Science,Vietnam
6752932bf70a6504336bfbd3,Institute of Earth Sciences,None
6752932cf70a6504336bfbd4,Institute of Geosciences (Gemstone Research Center,None
6752932df70a6504336bfbd5,Johannes Gutenberg University,Germany
6752932df70a6504336bfbd6,Karl-Franzens-University of Graz,Austria
6752932ef70a6504336bfbd7,Vietnam Institute of Geosciences and Mineral Resources,Vietnam
6752932ef70a6504336bfbd8,Vietnam National Foundation for Science and Technology Development,Vietnam
6752932ff70a6504336bfbd9,Faculty of Science and Technology,None
67529330f70a6504336bfbda,Faculty of Science and Technology Research Fund,None
67529330f70a6504336bfbdb,Center of Excellence on Petrochemicals and Materials Technology Chulalongkorn University,Thailand
67529331f70a6504336bfbdc,"Department of Chemical Engineering, Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University",Thailand
67529331f70a6504336bfbdd,Institute for Applied Surfactant Research,United States
67529332f70a6504336bfbde,"Procter & Gamble, Sasol (USA) Corporation",United States
67529332f70a6504336bfbdf,Research and Creative Fund,None
67529333f70a6504336bfbe0,CBRC,China
67529333f70a6504336bfbe1,Center of Excellence in Catalysis for Bioenergy and Renewable Chemicals,None
67529334f70a6504336bfbe2,National Research Council of Thailand and Health System Research Institute,Thailand
67529334f70a6504336bfbe3,"Ratchadaphiseksomphot Fund of Faculty of Medicine, Chulalongkorn University",Thailand
67529335f70a6504336bfbe4,Thai Red Cross Society,Thailand
67529335f70a6504336bfbe5,CUAASC,None
67529336f70a6504336bfbe6,AEI/FEDER,Portugal
67529336f70a6504336bfbe7,Chemical Approaches for Food Applications Research Group,None
67529337f70a6504336bfbe8,Science Achievement Scholarship of Thailand,Thailand
67529337f70a6504336bfbe9,NIH NIDDK,The United States
67529338f70a6504336bfbea,Pakistan-United States Science and Technology Cooperation Program,United States
67529338f70a6504336bfbeb,Faculty of Veterinary Science and Chulalongkorn University,Thailand
67529339f70a6504336bfbec,SKLWUT,None
6752933af70a6504336bfbed,Social Development Project of Jiangsu Province,China
6752933af70a6504336bfbee,Ratchadapiseksompotch Fund,Thailand
6752933bf70a6504336bfbef,Center of Excellence on Petrochemical and Materials Technology,None
6752933cf70a6504336bfbf0,"Petroleum and Petrochemical College, Chulalongkorn University",Thailand
6752933df70a6504336bfbf1,Ratchadapiseksomophot Endowment,Thailand
6752933df70a6504336bfbf2,Osteoarthritis and Musculoskeleton Research Unit,None
6752933ef70a6504336bfbf3,FP7/2007,None
6752933ef70a6504336bfbf4,Chulalongkorn academic advancement,Thailand
6752933ff70a6504336bfbf5,Rachadapisek Sompot Fund for,None
6752933ff70a6504336bfbf6,bureau foundation,None
67529340f70a6504336bfbf7,Keirin Race of the Japan Keirin Association,Japan
67529341f70a6504336bfbf8,Megumi Yatabe,None
67529341f70a6504336bfbf9,JSPS-NRCT,Japan
67529342f70a6504336bfbfa,Tokyo University of Marine Science and Technology,Japan
67529342f70a6504336bfbfb,ANR-09-BLAN-0238-02,None
67529343f70a6504336bfbfc,Université de Poitiers,France
67529344f70a6504336bfbfd,iPHEP,None
67529344f70a6504336bfbfe,Chulalongkorn Univer-sity,Thailand
67529345f70a6504336bfbff,Center of Excellence on Hazardous,None
67529345f70a6504336bfc00,"Faculty of Technology and Environment, Prince of Songkla University",Thailand
67529346f70a6504336bfc01,"Research Fund of Research Division, Faculty of Medicine, Siriraj Hospital, Mahidol University",Thailand
67529346f70a6504336bfc02,Skin and Allergy Research Unit,None
67529347f70a6504336bfc03,Programa Severo Ochoa del Prin-cipado de Asturias,Spain
67529347f70a6504336bfc04,University,None
67529348f70a6504336bfc05,Chulalongorn University,Thailand
6752934af70a6504336bfc06,James Mitchell at Monash University,Australia
6752934af70a6504336bfc07,Margaret Kartomi,None
6752934bf70a6504336bfc08,Prime Ministers Asia Endeavour Award,None
6752934cf70a6504336bfc09,Hiroshima Univeresity,Japan
6752934cf70a6504336bfc0a,IPST,None
6752934df70a6504336bfc0b,Institute for the Promotion of Teaching Science and Technology,Thailand
6752934df70a6504336bfc0c,Health Insurance System Research Office of the Health System Research Institute,Thailand
6752934ef70a6504336bfc0d,Health Insurance Systems Research Office in the Health System Research Institute,None
6752934ff70a6504336bfc0e,Faculty of Veterinary Sciences,None
6752934ff70a6504336bfc0f,Chulabhorn Research Institute,Thailand
67529350f70a6504336bfc10,Queen Sirikit Sericulture Center,Thailand
67529350f70a6504336bfc11,Office of the Royal Development Projects Board,Thailand
67529351f70a6504336bfc12,RDPB,None
67529351f70a6504336bfc13,TRF Strategic Basic Research,Thailand
67529352f70a6504336bfc14,PTTEP,Thailand
67529353f70a6504336bfc15,Economic Research Institute,None
67529353f70a6504336bfc16,Shun Sakoda,None
67529354f70a6504336bfc17,Chu-lalongkorn University,Thailand
67529354f70a6504336bfc18,Naresuan University Research Fund,Thailand
67529355f70a6504336bfc19,Royal Government of Thailand,Thailand
67529355f70a6504336bfc1a,AuScope Pty Ltd.,Australia
67529356f70a6504336bfc1b,Endeavour Australia Cheung Kong Fellowship,Australia
67529356f70a6504336bfc1c,"Graduate School of Medical Sciences, Kyushu University",Japan
67529357f70a6504336bfc1d,Research Support Center,None
67529358f70a6504336bfc1e,Chu-lalongkorn university,Thailand
67529358f70a6504336bfc1f,Chulalongkorn Graduate,Thailand
67529359f70a6504336bfc20,Center of Excellence for Emerging and Re-Emerging Infectious Disease,None
6752935af70a6504336bfc21,"Verasuwan CO., LTD",None
6752935af70a6504336bfc22,Chulalongkorn University and Science Achievement Scholarship of Thailand,Thailand
6752935bf70a6504336bfc23,ALMA-CONICYT,Chile
6752935bf70a6504336bfc24,CNRS/INSU,France
6752935cf70a6504336bfc25,Programme National de Cosmologie et des Galaxies,None
6752935df70a6504336bfc26,"Commission on Higher Education, Ministry of Education of Thailand",Thailand
6752935df70a6504336bfc27,"Center for Alcohol Studies, Thailand",Thailand
6752935ef70a6504336bfc28,Princess Mother National Institute on Drug Abuse Treatment,Thailand
6752935ef70a6504336bfc29,Chinese Scholarship Council,China
6752935ff70a6504336bfc2a,Nanotec-CU Center of Excellence on Food and Agriculture,Thailand
67529360f70a6504336bfc2b,"TRF, Chulalongkorn University",Thailand
67529360f70a6504336bfc2c,Plasma Technology and Nuclear Fusion Research Unit,None
67529361f70a6504336bfc2d,Rajamangala University of Technology Suvarnabhumi,Thailand
67529361f70a6504336bfc2e,"Helena -ai Laboratories Co., Ltd.",None
67529362f70a6504336bfc2f,CAPES fellowships,Brazil
67529362f70a6504336bfc30,CNPq PVE,Brazil
67529363f70a6504336bfc31,Institute of Health,None
67529363f70a6504336bfc32,"Institute of Health, School of Dentistry",None
67529364f70a6504336bfc33,Sao Paulo Research Foundation,Brazil
67529365f70a6504336bfc34,University Medical Center Rotterdam,The Netherlands
67529365f70a6504336bfc35,Bundesministerium für,Germany
67529366f70a6504336bfc36,Desarrollo e Innovación,None
67529366f70a6504336bfc37,Russian Competitiveness Program of NRNU,Russia
67529367f70a6504336bfc38,"Secretariat for Higher Education, Science, Technology and Innovation",Ecuador
67529368f70a6504336bfc39,KA Wallenberg foundation,Sweden
67529368f70a6504336bfc3a,Ratchadaphiseksom-phot Endowment Fund,Thailand
67529369f70a6504336bfc3b,Thailand Research Fund,Thailand
67529369f70a6504336bfc3c,100th Anniversary Chulalongkorn University Fund for Doctoral Scholarship,Thailand
6752936af70a6504336bfc3d,"Department of Pharmacology and Physiology, Faculty of Pharmaceutical Sciences",None
6752936af70a6504336bfc3e,Deutsche For-schungsgemeinschaft,Germany
6752936bf70a6504336bfc3f,Kidney Foundation of Thailand,Thailand
6752936cf70a6504336bfc40,Office of Biological and Environmental Research,United States
6752936cf70a6504336bfc41,US Department of Energy,United States
6752936df70a6504336bfc42,"Center of Excellence in Materials Science and Technology, Chiang Mai University",Thailand
6752936df70a6504336bfc43,Faculty of Veterinary Science,None
6752936ef70a6504336bfc44,Center of Excellence in Emerging and Re-emerging Infectious Diseases in Animals,None
6752936ff70a6504336bfc45,Huevepharma (Thailand) Ltd,Thailand
67529372f70a6504336bfc46,Research and Academic Service,None
67529373f70a6504336bfc47,Chinese Academy of Sciences and Local Innovative and Research Teams Project of Guangdong Pearl River Talents Program,China
67529373f70a6504336bfc48,Bur-apha University,None
6752937df70a6504336bfc49,Center of Excellence for Innovation in Chemistry,None
6752937ef70a6504336bfc4a,PERCH-CIC,None
6752937ef70a6504336bfc4b,Civil Engineering Construction Corporation,None
6752937ff70a6504336bfc4c,Ministry of Investment and Planning,None
6752937ff70a6504336bfc4d,Thang Long Construction Corporation,Vietnam
67529380f70a6504336bfc4e,Medical and Health Research,None
67529380f70a6504336bfc4f,Chulalongkorn University-Veterinary Science Research Fund,Thailand
67529381f70a6504336bfc50,Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Spain
67529382f70a6504336bfc51,European Union Horizon 2020 Marie Skłodowska-Curie,Belgium
67529382f70a6504336bfc52,National Institutes of Health,United States
67529383f70a6504336bfc53,Willis Research Network,United Kingdom
67529383f70a6504336bfc54,"Center of Excellence for Thai Music and Culture Research, Faculty of Fine and Applied Arts",Thailand
67529384f70a6504336bfc55,Department of Biochemistry,None
67529385f70a6504336bfc56,Department of Physical Chemistry,None
67529385f70a6504336bfc57,"National Center for Genetic Engineering and Biotechnology, Ministry of Science and Technology, Thailand",Thailand
67529386f70a6504336bfc58,Nutrilite Research Award,None
67529386f70a6504336bfc59,ThEP-Center,None
67529387f70a6504336bfc5a,BK21 PLUS Program for Creative Veterinary Science Research Center,South Korea
67529387f70a6504336bfc5b,Research Institute for Veterinary Science,South Korea
67529388f70a6504336bfc5c,AOARD,Japan
67529388f70a6504336bfc5d,Asian Office of Aerospace Research and Development,United States
67529389f70a6504336bfc5e,American Cancer Society Clinical Research Professorship,United States
67529389f70a6504336bfc5f,Khun Poom Foundation,Thailand
6752938af70a6504336bfc60,Project of Her Royal Highness Princess Ubonratana Rajakanya Siriwatana Bhanawadee,None
6752938bf70a6504336bfc61,Thai Ministry of Science and Technology,Thailand
6752938bf70a6504336bfc62,Thailand Center of Excellence for Life Sciences,Thailand
6752938cf70a6504336bfc63,Faculty of Health Sciences,None
6752938cf70a6504336bfc64,NIEHS/NIH,United States
6752938df70a6504336bfc65,Chulalongkorn Hospital,Thailand
6752938df70a6504336bfc66,International Decision Support Initiative,None
6752938ef70a6504336bfc67,Maharaj Nakorn Chiangmai Hospital and Medical Research Network,Thailand
6752938ff70a6504336bfc68,NHSO,Thailand
6752938ff70a6504336bfc69,Phramongkutklao Hospital,Thailand
67529390f70a6504336bfc6a,Ramathibodi Hospital,Thailand
67529391f70a6504336bfc6b,Srinagarind Hospital,Thailand
67529391f70a6504336bfc6c,Program Foundation,None
67529392f70a6504336bfc6d,Balnaves Foundation,Australia
67529392f70a6504336bfc6e,International Agency for Research on Cancer6,France
67529392f70a6504336bfc6f,United States Environmental,The United States
67529393f70a6504336bfc70,Coordenac¸ão de Aper-feic¸oamento de Pessoal de Nível Superior,Brazil
67529393f70a6504336bfc71,Instituto Cérebro e Mente and Universidade do Extremo Sul Catarinense,Brazil
67529394f70a6504336bfc72,JST-JICA,Japan
67529394f70a6504336bfc73,Transportation Institute Chulalongkorn University,Thailand
67529395f70a6504336bfc74,excellent young and middle-aged scientists of Shandong Province,China
67529395f70a6504336bfc75,National Institute of Allergy and Infectious Diseases Division of AIDS,United States
67529396f70a6504336bfc76,South Carolina Chemist Award,United States
67529397f70a6504336bfc77,South Carolina Governor,United States
67529397f70a6504336bfc78,Founda- tion for Polish Science,Poland
67529398f70a6504336bfc79,National Research Council of Thailand and Agricultural research development agency,Thailand
67529398f70a6504336bfc7a,Special Task Force for Activating Research,None
67529399f70a6504336bfc7b,swine viral evolution and vaccine research,None
67529399f70a6504336bfc7c,NINDS/NIMH,United States
6752939af70a6504336bfc7d,National Health Service,United Kingdom
6752939bf70a6504336bfc7e,National Research Foundation,South Africa
6752939bf70a6504336bfc7f,Cluster Ratchadapisek Sompotch Endowment Fund,Thailand
6752939cf70a6504336bfc80,Family Planning Clinic,None
6752939cf70a6504336bfc81,HIV-NAT Clinic,Thailand
6752939df70a6504336bfc82,Adiyaman University,Turkey
6752939df70a6504336bfc83,Bingol University,Turkey
6752939ef70a6504336bfc84,Cag University,Turkey
6752939ff70a6504336bfc85,Erzincan University,Turkey
675293a0f70a6504336bfc86,Istanbul Aydin University,Turkey
675293a0f70a6504336bfc87,Istanbul Bilgi University,Turkey
675293a1f70a6504336bfc88,Izmir Institute of Technology,Turkey
675293a1f70a6504336bfc89,Kafkas University,Turkey
675293a2f70a6504336bfc8a,Malaysian Nuclear Agency,Malaysia
675293a2f70a6504336bfc8b,Marmara University,Turkey
675293a3f70a6504336bfc8c,Mersin University,Turkey
675293a3f70a6504336bfc8d,Plasma Physics Research Center,None
675293a4f70a6504336bfc8e,Riga Technical University,Latvia
675293a4f70a6504336bfc8f,Sezione dell,None
675293a5f70a6504336bfc90,USABeykent University,Turkey
675293a5f70a6504336bfc91,"University of Belgrade, Faculty of Physics and Vinca Institute of Nuclear Sciences, Belgrade, Serbia Also at Scuola Normale e Sezione",Serbia
675293a6f70a6504336bfc92,Utah Valley University,United States
675293a7f70a6504336bfc93,Zurich,Switzerland
675293a7f70a6504336bfc94,International Research Network,United Kingdom
675293a8f70a6504336bfc95,Ratchadphiseksomphot Endowment Fund,Thailand
675293a8f70a6504336bfc96,ASIAA (Taiwan),Taiwan
675293a9f70a6504336bfc97,Aquatic Resources Research Institute,None
675293aaf70a6504336bfc98,"Faculty of Science and Technological Industry, Prince of Songkla University",Thailand
675293acf70a6504336bfc99,Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico,Brazil
675293acf70a6504336bfc9a,Siriraj Graduate Scholarship,Thailand
675293aef70a6504336bfc9b,PETROMAT,None
675293aff70a6504336bfc9c,Chulalongkorn University and Chu-lalongkorn Hospital,Thailand
675293aff70a6504336bfc9d,Pericardia Program of The Royal College of Physicians of Thailand,Thailand
675293b0f70a6504336bfc9e,Ratchada-phiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology,Thailand
675293b0f70a6504336bfc9f,Thai Association,Thailand
675293b1f70a6504336bfca0,Chulalongkorn Academic Advancement Fund,Thailand
675293b1f70a6504336bfca1,National e-Science Infrastructure Consortium,None
675293b2f70a6504336bfca2,COST Action CA15117,None
675293b3f70a6504336bfca3,"Cooperation Research Program of the Wildlife Research Center, Kyoto University",Japan
675293b4f70a6504336bfca4,Kyoto University Foundation,Japan
675293b4f70a6504336bfca5,National Geographic Foundation for Science and Exploration-Asia,None
675293b5f70a6504336bfca6,Chulalongkorn University for Doctoral Scholarship,Thailand
675293b6f70a6504336bfca7,Henry M. Jackson Foundation,United States
675293b6f70a6504336bfca8,National Cancer Institute,United States
675293b7f70a6504336bfca9,National Institute of Allergy and Infectious Diseases,United States
675293b7f70a6504336bfcaa,Thai Government Pharmaceutical Organization,Thailand
675293b8f70a6504336bfcab,Thai Red Cross AIDS Research Center,Thailand
675293b9f70a6504336bfcac,US Department of the Army,United States
675293b9f70a6504336bfcad,NIH/NCI,United States
675293baf70a6504336bfcae,Doctoral Degree Chulalongkorn University,Thailand
675293baf70a6504336bfcaf,Institute for Molecular Science International Internship Program in Asia,None
675293bbf70a6504336bfcb0,Ratchadapisek Sompot Fund,Thailand
675293bbf70a6504336bfcb1,The Medicines Company/Rempex,None
675293bcf70a6504336bfcb2,United States Biomedical Advanced Research and Development Authority,United States
675293bcf70a6504336bfcb3,Coordinating Center for Thai Government Science and Technology,Thailand
675293bdf70a6504336bfcb4,"Faculty of Medicine, Ramathibodi Hospital, Mahidol University",Thailand
675293bef70a6504336bfcb5,AFOSR/AOARD,United States
675293bef70a6504336bfcb6,NSTDA Research Chair,Thailand
675293bff70a6504336bfcb7,"Office of Industrial Economics, Ministry of Industry",Thailand
675293bff70a6504336bfcb8,European Association of Geochemistry,None
675293c0f70a6504336bfcb9,Irish Centre for Research in Applied Geosciences,Ireland
675293c0f70a6504336bfcba,UK Natural Environmental Research Council,United Kingdom
675293c1f70a6504336bfcbb,Siriraj Clinical Research Center,Thailand
675293c2f70a6504336bfcbc,Thai Society of Hematology,Thailand
675293c2f70a6504336bfcbd,THE,None
675293c8f70a6504336bfcbe,Faculty of Science,None
675293c9f70a6504336bfcbf,Research and Researchers for Industries-RRI,None
675293c9f70a6504336bfcc0,Chulalongkorn University Dutsadi Phiphat Scholarship,Thailand
675293caf70a6504336bfcc1,Penn State Institute of Energy and the Environment,United States
675293caf70a6504336bfcc2,Borrego Foundation,United States
675293cbf70a6504336bfcc3,Gordon and Betty Moore,United States
675293cbf70a6504336bfcc4,Victor and William Fung Foundation,Hong Kong
675293ccf70a6504336bfcc5,H.H.,None
675293ccf70a6504336bfcc6,Robert H. Brethen Operations Management Institute,None
675293cdf70a6504336bfcc7,"Plan de Ciencia, Tecnología e Innovación",None
675293d1f70a6504336bfcc8,Thalis and Aristeia,None
675293d1f70a6504336bfcc9,APTES,None
675293d2f70a6504336bfcca,Biobast Pharma,None
675293d2f70a6504336bfccb,Dutch Brain Foundation,Netherlands
675293d3f70a6504336bfccc,Netherlands Organization for Health Research and Development,The Netherlands
675293d4f70a6504336bfccd,Radboud University Medical Centre,Netherlands
675293d4f70a6504336bfcce,patient association Association des Personnes concernées par le Tremblement Essentiel,France
675293d5f70a6504336bfccf,Physics Department of the University of Buenos Aires,Argentina
