,Eid,Subject_Field
66,2-s2.0-85010737434,Agricultural and Biological Sciences
67,2-s2.0-85027155837,Agricultural and Biological Sciences
68,2-s2.0-85021195338,Agricultural and Biological Sciences
69,2-s2.0-85020871557,Agricultural and Biological Sciences
70,2-s2.0-85020642085,Agricultural and Biological Sciences
71,2-s2.0-85018305585,Agricultural and Biological Sciences
72,2-s2.0-85017453495,Agricultural and Biological Sciences
73,2-s2.0-85013127716,Agricultural and Biological Sciences
74,2-s2.0-85020852405,Agricultural and Biological Sciences
75,2-s2.0-85020667289,Agricultural and Biological Sciences
76,2-s2.0-85043785215,Agricultural and Biological Sciences
77,2-s2.0-85043776981,Agricultural and Biological Sciences
78,2-s2.0-85043767219,Agricultural and Biological Sciences
79,2-s2.0-85022048891,Agricultural and Biological Sciences
80,2-s2.0-85021788163,Agricultural and Biological Sciences
81,2-s2.0-85017645249,Agricultural and Biological Sciences
82,2-s2.0-85017449346,Agricultural and Biological Sciences
83,2-s2.0-85014488684,Agricultural and Biological Sciences
84,2-s2.0-85013800411,Agricultural and Biological Sciences
85,2-s2.0-85002645155,Agricultural and Biological Sciences
86,2-s2.0-84998854141,Agricultural and Biological Sciences
87,2-s2.0-85019716424,Agricultural and Biological Sciences
88,2-s2.0-84980329240,Agricultural and Biological Sciences
89,2-s2.0-85033584218,Agricultural and Biological Sciences
90,2-s2.0-85019540883,Agricultural and Biological Sciences
91,2-s2.0-85019039829,Agricultural and Biological Sciences
92,2-s2.0-85020392113,Agricultural and Biological Sciences
93,2-s2.0-85020121854,Agricultural and Biological Sciences
94,2-s2.0-85019893268,Agricultural and Biological Sciences
95,2-s2.0-85019064508,Agricultural and Biological Sciences
96,2-s2.0-85018742747,Agricultural and Biological Sciences
97,2-s2.0-85018430636,Agricultural and Biological Sciences
98,2-s2.0-85018364196,Agricultural and Biological Sciences
99,2-s2.0-85016066810,Agricultural and Biological Sciences
100,2-s2.0-85013130995,Agricultural and Biological Sciences
101,2-s2.0-85008223112,Agricultural and Biological Sciences
102,2-s2.0-85017460322,Agricultural and Biological Sciences
103,2-s2.0-85029567404,Agricultural and Biological Sciences
104,2-s2.0-85021728716,Agricultural and Biological Sciences
105,2-s2.0-85019732425,Agricultural and Biological Sciences
106,2-s2.0-85018748093,Agricultural and Biological Sciences
107,2-s2.0-85017471048,Agricultural and Biological Sciences
108,2-s2.0-85015803111,Agricultural and Biological Sciences
109,2-s2.0-85013499578,Agricultural and Biological Sciences
110,2-s2.0-85013480811,Agricultural and Biological Sciences
111,2-s2.0-85011928303,Agricultural and Biological Sciences
112,2-s2.0-85006054809,Agricultural and Biological Sciences
113,2-s2.0-84997426753,Agricultural and Biological Sciences
114,2-s2.0-84991730493,Agricultural and Biological Sciences
115,2-s2.0-84982920557,Agricultural and Biological Sciences
116,2-s2.0-84994682670,Agricultural and Biological Sciences
117,2-s2.0-85010403057,Agricultural and Biological Sciences
118,2-s2.0-85009074440,Agricultural and Biological Sciences
119,2-s2.0-85008431785,Agricultural and Biological Sciences
120,2-s2.0-84992159138,Agricultural and Biological Sciences
121,2-s2.0-85202052792,Agricultural and Biological Sciences
122,2-s2.0-85059624915,Agricultural and Biological Sciences
123,2-s2.0-85040713584,Agricultural and Biological Sciences
124,2-s2.0-85016791059,Agricultural and Biological Sciences
125,2-s2.0-85015645295,Agricultural and Biological Sciences
126,2-s2.0-85010955848,Agricultural and Biological Sciences
127,2-s2.0-85010830926,Agricultural and Biological Sciences
128,2-s2.0-85009736233,Agricultural and Biological Sciences
129,2-s2.0-85008194353,Agricultural and Biological Sciences
130,2-s2.0-85001863240,Agricultural and Biological Sciences
131,2-s2.0-84984802035,Agricultural and Biological Sciences
132,2-s2.0-84976878514,Agricultural and Biological Sciences
133,2-s2.0-84946593029,Agricultural and Biological Sciences
134,2-s2.0-85013806370,Agricultural and Biological Sciences
135,2-s2.0-85016005249,Agricultural and Biological Sciences
136,2-s2.0-85015775357,Agricultural and Biological Sciences
137,2-s2.0-85011623222,Agricultural and Biological Sciences
138,2-s2.0-85008415010,Agricultural and Biological Sciences
139,2-s2.0-85008343598,Agricultural and Biological Sciences
140,2-s2.0-84995598599,Agricultural and Biological Sciences
141,2-s2.0-84994129911,Agricultural and Biological Sciences
142,2-s2.0-84991071437,Agricultural and Biological Sciences
143,2-s2.0-84990954623,Agricultural and Biological Sciences
144,2-s2.0-84988557100,Agricultural and Biological Sciences
145,2-s2.0-84945433042,Agricultural and Biological Sciences
146,2-s2.0-85054891286,Agricultural and Biological Sciences
147,2-s2.0-85138416523,Agricultural and Biological Sciences
148,2-s2.0-85129132332,Agricultural and Biological Sciences
149,2-s2.0-85064329082,Agricultural and Biological Sciences
150,2-s2.0-85052807696,Agricultural and Biological Sciences
151,2-s2.0-85050470048,Agricultural and Biological Sciences
152,2-s2.0-85050278942,Agricultural and Biological Sciences
153,2-s2.0-85046703749,Agricultural and Biological Sciences
154,2-s2.0-85044374103,Agricultural and Biological Sciences
155,2-s2.0-85040997119,Agricultural and Biological Sciences
156,2-s2.0-85040709159,Agricultural and Biological Sciences
157,2-s2.0-85039921941,Agricultural and Biological Sciences
158,2-s2.0-85038249401,Agricultural and Biological Sciences
159,2-s2.0-85037049340,Agricultural and Biological Sciences
160,2-s2.0-85034818686,Agricultural and Biological Sciences
161,2-s2.0-85034761711,Agricultural and Biological Sciences
162,2-s2.0-85033389491,Agricultural and Biological Sciences
163,2-s2.0-85032638508,Agricultural and Biological Sciences
164,2-s2.0-85032448829,Agricultural and Biological Sciences
165,2-s2.0-85032192407,Agricultural and Biological Sciences
166,2-s2.0-85032023550,Agricultural and Biological Sciences
167,2-s2.0-85030840345,Agricultural and Biological Sciences
168,2-s2.0-85029846287,Agricultural and Biological Sciences
169,2-s2.0-85028393136,Agricultural and Biological Sciences
170,2-s2.0-85028368609,Agricultural and Biological Sciences
171,2-s2.0-85027687085,Agricultural and Biological Sciences
172,2-s2.0-85027383687,Agricultural and Biological Sciences
173,2-s2.0-85026889629,Agricultural and Biological Sciences
174,2-s2.0-85025176950,Agricultural and Biological Sciences
175,2-s2.0-85021323965,Agricultural and Biological Sciences
176,2-s2.0-85021140274,Agricultural and Biological Sciences
177,2-s2.0-85019565348,Agricultural and Biological Sciences
178,2-s2.0-85019114644,Agricultural and Biological Sciences
179,2-s2.0-85018994023,Agricultural and Biological Sciences
180,2-s2.0-85018552144,Agricultural and Biological Sciences
181,2-s2.0-85018472936,Agricultural and Biological Sciences
182,2-s2.0-85017489547,Agricultural and Biological Sciences
183,2-s2.0-85017173673,Agricultural and Biological Sciences
184,2-s2.0-85015825382,Agricultural and Biological Sciences
185,2-s2.0-85015723179,Agricultural and Biological Sciences
186,2-s2.0-85015233826,Agricultural and Biological Sciences
187,2-s2.0-85013825598,Agricultural and Biological Sciences
188,2-s2.0-85013786765,Agricultural and Biological Sciences
189,2-s2.0-85013629317,Agricultural and Biological Sciences
190,2-s2.0-85013269731,Agricultural and Biological Sciences
191,2-s2.0-85013167659,Agricultural and Biological Sciences
192,2-s2.0-85011966199,Agricultural and Biological Sciences
193,2-s2.0-85008173386,Agricultural and Biological Sciences
194,2-s2.0-85003944858,Agricultural and Biological Sciences
195,2-s2.0-84999266495,Agricultural and Biological Sciences
196,2-s2.0-84998579336,Agricultural and Biological Sciences
197,2-s2.0-84997770159,Agricultural and Biological Sciences
198,2-s2.0-84995767720,Agricultural and Biological Sciences
199,2-s2.0-84995567069,Agricultural and Biological Sciences
200,2-s2.0-84995480411,Agricultural and Biological Sciences
201,2-s2.0-84983567827,Agricultural and Biological Sciences
202,2-s2.0-85020732111,Arts and Humanities
203,2-s2.0-84961216137,Arts and Humanities
204,2-s2.0-85043437005,Arts and Humanities
205,2-s2.0-85036521341,Arts and Humanities
206,2-s2.0-85029742136,Arts and Humanities
207,2-s2.0-85038821705,Arts and Humanities
208,2-s2.0-84948765858,Arts and Humanities
209,2-s2.0-85031942834,Arts and Humanities
210,2-s2.0-85030450169,Arts and Humanities
211,2-s2.0-85038254847,Arts and Humanities
212,2-s2.0-85029508165,Arts and Humanities
213,2-s2.0-85031118832,Arts and Humanities
214,2-s2.0-85092101704,Arts and Humanities
215,2-s2.0-85037104172,Arts and Humanities
216,2-s2.0-85026851541,Arts and Humanities
217,2-s2.0-85019228339,Arts and Humanities
218,2-s2.0-84987607076,Arts and Humanities
219,2-s2.0-85014521308,Arts and Humanities
220,2-s2.0-85018868839,Arts and Humanities
221,2-s2.0-85017443829,Arts and Humanities
222,2-s2.0-84929430245,Arts and Humanities
223,2-s2.0-84931396541,Arts and Humanities
224,2-s2.0-85186832138,Arts and Humanities
225,2-s2.0-85184403449,Arts and Humanities
226,2-s2.0-85106057565,Arts and Humanities
227,2-s2.0-85103725112,Arts and Humanities
228,2-s2.0-85039040238,Arts and Humanities
229,2-s2.0-85034586452,Arts and Humanities
230,2-s2.0-85021257348,Arts and Humanities
231,2-s2.0-85019142314,Arts and Humanities
232,2-s2.0-85012236958,Arts and Humanities
233,2-s2.0-84944958605,Arts and Humanities
234,2-s2.0-85033555515,"Biochemistry, Genetics and Molecular Biology"
235,2-s2.0-85032489556,"Biochemistry, Genetics and Molecular Biology"
236,2-s2.0-85032271239,"Biochemistry, Genetics and Molecular Biology"
237,2-s2.0-85021181600,"Biochemistry, Genetics and Molecular Biology"
238,2-s2.0-85041048740,"Biochemistry, Genetics and Molecular Biology"
239,2-s2.0-85032425979,"Biochemistry, Genetics and Molecular Biology"
240,2-s2.0-85057828701,"Biochemistry, Genetics and Molecular Biology"
241,2-s2.0-85042529228,"Biochemistry, Genetics and Molecular Biology"
242,2-s2.0-85038209465,"Biochemistry, Genetics and Molecular Biology"
243,2-s2.0-85034059715,"Biochemistry, Genetics and Molecular Biology"
244,2-s2.0-85032472545,"Biochemistry, Genetics and Molecular Biology"
245,2-s2.0-85031722075,"Biochemistry, Genetics and Molecular Biology"
246,2-s2.0-85031321875,"Biochemistry, Genetics and Molecular Biology"
247,2-s2.0-85030714759,"Biochemistry, Genetics and Molecular Biology"
248,2-s2.0-85030234645,"Biochemistry, Genetics and Molecular Biology"
249,2-s2.0-85029673618,"Biochemistry, Genetics and Molecular Biology"
250,2-s2.0-85029208129,"Biochemistry, Genetics and Molecular Biology"
251,2-s2.0-85028746772,"Biochemistry, Genetics and Molecular Biology"
252,2-s2.0-85027868730,"Biochemistry, Genetics and Molecular Biology"
253,2-s2.0-85027152700,"Biochemistry, Genetics and Molecular Biology"
254,2-s2.0-85026242667,"Biochemistry, Genetics and Molecular Biology"
255,2-s2.0-85020273313,"Biochemistry, Genetics and Molecular Biology"
256,2-s2.0-85018891443,"Biochemistry, Genetics and Molecular Biology"
257,2-s2.0-85018866825,"Biochemistry, Genetics and Molecular Biology"
258,2-s2.0-85036467920,"Biochemistry, Genetics and Molecular Biology"
259,2-s2.0-85037083143,"Biochemistry, Genetics and Molecular Biology"
260,2-s2.0-85017574096,"Biochemistry, Genetics and Molecular Biology"
261,2-s2.0-85033452553,"Biochemistry, Genetics and Molecular Biology"
262,2-s2.0-85035060862,"Biochemistry, Genetics and Molecular Biology"
263,2-s2.0-85034419484,"Biochemistry, Genetics and Molecular Biology"
264,2-s2.0-85033781470,"Biochemistry, Genetics and Molecular Biology"
265,2-s2.0-85033483190,"Biochemistry, Genetics and Molecular Biology"
266,2-s2.0-85032919230,"Biochemistry, Genetics and Molecular Biology"
267,2-s2.0-85032166640,"Biochemistry, Genetics and Molecular Biology"
268,2-s2.0-85032156716,"Biochemistry, Genetics and Molecular Biology"
269,2-s2.0-85032145922,"Biochemistry, Genetics and Molecular Biology"
270,2-s2.0-85032026998,"Biochemistry, Genetics and Molecular Biology"
271,2-s2.0-85029833213,"Biochemistry, Genetics and Molecular Biology"
272,2-s2.0-85027434894,"Biochemistry, Genetics and Molecular Biology"
273,2-s2.0-85026431206,"Biochemistry, Genetics and Molecular Biology"
274,2-s2.0-85026384092,"Biochemistry, Genetics and Molecular Biology"
275,2-s2.0-85021454695,"Biochemistry, Genetics and Molecular Biology"
276,2-s2.0-85020298255,"Biochemistry, Genetics and Molecular Biology"
277,2-s2.0-85018413022,"Biochemistry, Genetics and Molecular Biology"
278,2-s2.0-85031087734,"Biochemistry, Genetics and Molecular Biology"
279,2-s2.0-85035804538,"Biochemistry, Genetics and Molecular Biology"
280,2-s2.0-85032884584,"Biochemistry, Genetics and Molecular Biology"
281,2-s2.0-85032581552,"Biochemistry, Genetics and Molecular Biology"
282,2-s2.0-85030722090,"Biochemistry, Genetics and Molecular Biology"
283,2-s2.0-85030689809,"Biochemistry, Genetics and Molecular Biology"
284,2-s2.0-85030679017,"Biochemistry, Genetics and Molecular Biology"
285,2-s2.0-85030670918,"Biochemistry, Genetics and Molecular Biology"
286,2-s2.0-85029788720,"Biochemistry, Genetics and Molecular Biology"
287,2-s2.0-85029441927,"Biochemistry, Genetics and Molecular Biology"
288,2-s2.0-85028707203,"Biochemistry, Genetics and Molecular Biology"
289,2-s2.0-85028541903,"Biochemistry, Genetics and Molecular Biology"
290,2-s2.0-85028327212,"Biochemistry, Genetics and Molecular Biology"
291,2-s2.0-85028009599,"Biochemistry, Genetics and Molecular Biology"
292,2-s2.0-85027502485,"Biochemistry, Genetics and Molecular Biology"
293,2-s2.0-85026501569,"Biochemistry, Genetics and Molecular Biology"
294,2-s2.0-85026479136,"Biochemistry, Genetics and Molecular Biology"
295,2-s2.0-85024486112,"Biochemistry, Genetics and Molecular Biology"
296,2-s2.0-85023176285,"Biochemistry, Genetics and Molecular Biology"
297,2-s2.0-85023166582,"Biochemistry, Genetics and Molecular Biology"
298,2-s2.0-85021815353,"Biochemistry, Genetics and Molecular Biology"
299,2-s2.0-85020920795,"Biochemistry, Genetics and Molecular Biology"
300,2-s2.0-85020250409,"Biochemistry, Genetics and Molecular Biology"
301,2-s2.0-85020209148,"Biochemistry, Genetics and Molecular Biology"
302,2-s2.0-85020002719,"Biochemistry, Genetics and Molecular Biology"
303,2-s2.0-85018586734,"Biochemistry, Genetics and Molecular Biology"
304,2-s2.0-85027871412,"Biochemistry, Genetics and Molecular Biology"
305,2-s2.0-85029674170,"Biochemistry, Genetics and Molecular Biology"
306,2-s2.0-85029433997,"Biochemistry, Genetics and Molecular Biology"
307,2-s2.0-85022020414,"Biochemistry, Genetics and Molecular Biology"
308,2-s2.0-85038024195,"Biochemistry, Genetics and Molecular Biology"
309,2-s2.0-85029422056,"Biochemistry, Genetics and Molecular Biology"
310,2-s2.0-85028816302,"Biochemistry, Genetics and Molecular Biology"
311,2-s2.0-85026288601,"Biochemistry, Genetics and Molecular Biology"
312,2-s2.0-85023769071,"Biochemistry, Genetics and Molecular Biology"
313,2-s2.0-85022040630,"Biochemistry, Genetics and Molecular Biology"
314,2-s2.0-85018703824,"Biochemistry, Genetics and Molecular Biology"
315,2-s2.0-85027502404,"Biochemistry, Genetics and Molecular Biology"
316,2-s2.0-85026314237,"Biochemistry, Genetics and Molecular Biology"
317,2-s2.0-85025176685,"Biochemistry, Genetics and Molecular Biology"
318,2-s2.0-85021932641,"Biochemistry, Genetics and Molecular Biology"
319,2-s2.0-85020808443,"Biochemistry, Genetics and Molecular Biology"
320,2-s2.0-85020038125,"Biochemistry, Genetics and Molecular Biology"
321,2-s2.0-85019957526,"Biochemistry, Genetics and Molecular Biology"
322,2-s2.0-85019127745,"Biochemistry, Genetics and Molecular Biology"
323,2-s2.0-85017172302,"Biochemistry, Genetics and Molecular Biology"
324,2-s2.0-85016132113,"Biochemistry, Genetics and Molecular Biology"
325,2-s2.0-85028546622,"Biochemistry, Genetics and Molecular Biology"
326,2-s2.0-85028826157,"Biochemistry, Genetics and Molecular Biology"
327,2-s2.0-85012991885,"Biochemistry, Genetics and Molecular Biology"
328,2-s2.0-85048578078,"Biochemistry, Genetics and Molecular Biology"
329,2-s2.0-85048573113,"Biochemistry, Genetics and Molecular Biology"
330,2-s2.0-85048559967,"Biochemistry, Genetics and Molecular Biology"
331,2-s2.0-85048559340,"Biochemistry, Genetics and Molecular Biology"
332,2-s2.0-85048524123,"Biochemistry, Genetics and Molecular Biology"
333,2-s2.0-85029428544,"Biochemistry, Genetics and Molecular Biology"
334,2-s2.0-85019667109,"Biochemistry, Genetics and Molecular Biology"
335,2-s2.0-85019391328,"Biochemistry, Genetics and Molecular Biology"
336,2-s2.0-85016785863,"Biochemistry, Genetics and Molecular Biology"
337,2-s2.0-85016236127,"Biochemistry, Genetics and Molecular Biology"
338,2-s2.0-85014246473,"Biochemistry, Genetics and Molecular Biology"
339,2-s2.0-85014088299,"Biochemistry, Genetics and Molecular Biology"
340,2-s2.0-85018624812,"Biochemistry, Genetics and Molecular Biology"
341,2-s2.0-85044572579,"Biochemistry, Genetics and Molecular Biology"
342,2-s2.0-85022213503,"Biochemistry, Genetics and Molecular Biology"
343,2-s2.0-84967153444,"Biochemistry, Genetics and Molecular Biology"
344,2-s2.0-85025113629,"Biochemistry, Genetics and Molecular Biology"
345,2-s2.0-85023773642,"Biochemistry, Genetics and Molecular Biology"
346,2-s2.0-85022176343,"Biochemistry, Genetics and Molecular Biology"
347,2-s2.0-85021419886,"Biochemistry, Genetics and Molecular Biology"
348,2-s2.0-85019366307,"Biochemistry, Genetics and Molecular Biology"
349,2-s2.0-85015840748,"Biochemistry, Genetics and Molecular Biology"
350,2-s2.0-85014315476,"Biochemistry, Genetics and Molecular Biology"
351,2-s2.0-85013127716,"Biochemistry, Genetics and Molecular Biology"
352,2-s2.0-85010739260,"Biochemistry, Genetics and Molecular Biology"
353,2-s2.0-84976328529,"Biochemistry, Genetics and Molecular Biology"
354,2-s2.0-85020446982,"Biochemistry, Genetics and Molecular Biology"
355,2-s2.0-85079280628,"Biochemistry, Genetics and Molecular Biology"
356,2-s2.0-85027415344,"Biochemistry, Genetics and Molecular Biology"
357,2-s2.0-85026266453,"Biochemistry, Genetics and Molecular Biology"
358,2-s2.0-85026233202,"Biochemistry, Genetics and Molecular Biology"
359,2-s2.0-85019026920,"Biochemistry, Genetics and Molecular Biology"
360,2-s2.0-85017132684,"Biochemistry, Genetics and Molecular Biology"
361,2-s2.0-85015303062,"Biochemistry, Genetics and Molecular Biology"
362,2-s2.0-85014488684,"Biochemistry, Genetics and Molecular Biology"
363,2-s2.0-85013800411,"Biochemistry, Genetics and Molecular Biology"
364,2-s2.0-85007583353,"Biochemistry, Genetics and Molecular Biology"
365,2-s2.0-85007420336,"Biochemistry, Genetics and Molecular Biology"
366,2-s2.0-84998854141,"Biochemistry, Genetics and Molecular Biology"
367,2-s2.0-84992739291,"Biochemistry, Genetics and Molecular Biology"
368,2-s2.0-84979300188,"Biochemistry, Genetics and Molecular Biology"
369,2-s2.0-84963811404,"Biochemistry, Genetics and Molecular Biology"
370,2-s2.0-85019738408,"Biochemistry, Genetics and Molecular Biology"
371,2-s2.0-85014736453,"Biochemistry, Genetics and Molecular Biology"
372,2-s2.0-85020026842,"Biochemistry, Genetics and Molecular Biology"
373,2-s2.0-85014995898,"Biochemistry, Genetics and Molecular Biology"
374,2-s2.0-85020205697,"Biochemistry, Genetics and Molecular Biology"
375,2-s2.0-85020418875,"Biochemistry, Genetics and Molecular Biology"
376,2-s2.0-85018395798,"Biochemistry, Genetics and Molecular Biology"
377,2-s2.0-85018385250,"Biochemistry, Genetics and Molecular Biology"
378,2-s2.0-85017571164,"Biochemistry, Genetics and Molecular Biology"
379,2-s2.0-85015993999,"Biochemistry, Genetics and Molecular Biology"
380,2-s2.0-85013930490,"Biochemistry, Genetics and Molecular Biology"
381,2-s2.0-85013130995,"Biochemistry, Genetics and Molecular Biology"
382,2-s2.0-85010806735,"Biochemistry, Genetics and Molecular Biology"
383,2-s2.0-85009759061,"Biochemistry, Genetics and Molecular Biology"
384,2-s2.0-85009270177,"Biochemistry, Genetics and Molecular Biology"
385,2-s2.0-85006817947,"Biochemistry, Genetics and Molecular Biology"
386,2-s2.0-85016011098,"Biochemistry, Genetics and Molecular Biology"
387,2-s2.0-85012285151,"Biochemistry, Genetics and Molecular Biology"
388,2-s2.0-85017292153,"Biochemistry, Genetics and Molecular Biology"
389,2-s2.0-85037029750,"Biochemistry, Genetics and Molecular Biology"
390,2-s2.0-85028282194,"Biochemistry, Genetics and Molecular Biology"
391,2-s2.0-85021308512,"Biochemistry, Genetics and Molecular Biology"
392,2-s2.0-85019732425,"Biochemistry, Genetics and Molecular Biology"
393,2-s2.0-85019627543,"Biochemistry, Genetics and Molecular Biology"
394,2-s2.0-85019567707,"Biochemistry, Genetics and Molecular Biology"
395,2-s2.0-85019560265,"Biochemistry, Genetics and Molecular Biology"
396,2-s2.0-85018748093,"Biochemistry, Genetics and Molecular Biology"
397,2-s2.0-85018461624,"Biochemistry, Genetics and Molecular Biology"
398,2-s2.0-85017471048,"Biochemistry, Genetics and Molecular Biology"
399,2-s2.0-85016506361,"Biochemistry, Genetics and Molecular Biology"
400,2-s2.0-85015933718,"Biochemistry, Genetics and Molecular Biology"
401,2-s2.0-85015803111,"Biochemistry, Genetics and Molecular Biology"
402,2-s2.0-85015691907,"Biochemistry, Genetics and Molecular Biology"
403,2-s2.0-85014931392,"Biochemistry, Genetics and Molecular Biology"
404,2-s2.0-85006952323,"Biochemistry, Genetics and Molecular Biology"
405,2-s2.0-85006802852,"Biochemistry, Genetics and Molecular Biology"
406,2-s2.0-85006054809,"Biochemistry, Genetics and Molecular Biology"
407,2-s2.0-84997426753,"Biochemistry, Genetics and Molecular Biology"
408,2-s2.0-84991730493,"Biochemistry, Genetics and Molecular Biology"
409,2-s2.0-84994682670,"Biochemistry, Genetics and Molecular Biology"
410,2-s2.0-85016402277,"Biochemistry, Genetics and Molecular Biology"
411,2-s2.0-85016273515,"Biochemistry, Genetics and Molecular Biology"
412,2-s2.0-85013411064,"Biochemistry, Genetics and Molecular Biology"
413,2-s2.0-85010699873,"Biochemistry, Genetics and Molecular Biology"
414,2-s2.0-84992159138,"Biochemistry, Genetics and Molecular Biology"
415,2-s2.0-85014340978,"Biochemistry, Genetics and Molecular Biology"
416,2-s2.0-85018351017,"Biochemistry, Genetics and Molecular Biology"
417,2-s2.0-85018324935,"Biochemistry, Genetics and Molecular Biology"
418,2-s2.0-85015659338,"Biochemistry, Genetics and Molecular Biology"
419,2-s2.0-85014930015,"Biochemistry, Genetics and Molecular Biology"
420,2-s2.0-85014504388,"Biochemistry, Genetics and Molecular Biology"
421,2-s2.0-85001863240,"Biochemistry, Genetics and Molecular Biology"
422,2-s2.0-84976878514,"Biochemistry, Genetics and Molecular Biology"
423,2-s2.0-85013892035,"Biochemistry, Genetics and Molecular Biology"
424,2-s2.0-85002179227,"Biochemistry, Genetics and Molecular Biology"
425,2-s2.0-85011536644,"Biochemistry, Genetics and Molecular Biology"
426,2-s2.0-85054800259,"Biochemistry, Genetics and Molecular Biology"
427,2-s2.0-85016500803,"Biochemistry, Genetics and Molecular Biology"
428,2-s2.0-85016446679,"Biochemistry, Genetics and Molecular Biology"
429,2-s2.0-85016048154,"Biochemistry, Genetics and Molecular Biology"
430,2-s2.0-85016012452,"Biochemistry, Genetics and Molecular Biology"
431,2-s2.0-85016010617,"Biochemistry, Genetics and Molecular Biology"
432,2-s2.0-85012930290,"Biochemistry, Genetics and Molecular Biology"
433,2-s2.0-85011914839,"Biochemistry, Genetics and Molecular Biology"
434,2-s2.0-85011880063,"Biochemistry, Genetics and Molecular Biology"
435,2-s2.0-85011382723,"Biochemistry, Genetics and Molecular Biology"
436,2-s2.0-85007159367,"Biochemistry, Genetics and Molecular Biology"
437,2-s2.0-85006381853,"Biochemistry, Genetics and Molecular Biology"
438,2-s2.0-85006324295,"Biochemistry, Genetics and Molecular Biology"
439,2-s2.0-84997416778,"Biochemistry, Genetics and Molecular Biology"
440,2-s2.0-84995938576,"Biochemistry, Genetics and Molecular Biology"
441,2-s2.0-84994476843,"Biochemistry, Genetics and Molecular Biology"
442,2-s2.0-84994442827,"Biochemistry, Genetics and Molecular Biology"
443,2-s2.0-84994226123,"Biochemistry, Genetics and Molecular Biology"
