,funding_agency_name,Country
139,Institute of Veterinary Bacteriology of the University of Bern,Switzerland
141,Baylor-UT Houston Center for AIDS Research,United States
142,National Institutes of Health-funded,United States
143,Research Institute of Meijo University,Japan
145,Chulalongkorn University and the Thailand Research Fund,Thailand
146,CNRS/IN2P3,France
149,Allana Potash Corporation,Canada
150,Landmark Graphics Corporation,United States
151,Landmark University,Nigeria
152,Environment and Meteorological Department,India
154,"Pollution Control Department, Ministry of Natural Resources",Thailand
155,Chulalongkorn University,Thailand
156,IIAC Chulalongkorn University,Thailand
157,Dental Association of Thailand,Thailand
161,Hanoi University of Science,Vietnam
164,Johannes Gutenberg University,Germany
165,Karl-Franzens-University of Graz,Austria
166,Vietnam Institute of Geosciences and Mineral Resources,Vietnam
167,Vietnam National Foundation for Science and Technology Development,Vietnam
170,Center of Excellence on Petrochemicals and Materials Technology Chulalongkorn University,Thailand
171,"Department of Chemical Engineering, Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University",Thailand
172,Institute for Applied Surfactant Research,United States
173,"Procter & Gamble, Sasol (USA) Corporation",United States
175,CBRC,China
177,National Research Council of Thailand and Health System Research Institute,Thailand
178,"Ratchadaphiseksomphot Fund of Faculty of Medicine, Chulalongkorn University",Thailand
179,Thai Red Cross Society,Thailand
181,AEI/FEDER,Portugal
183,Science Achievement Scholarship of Thailand,Thailand
184,NIH NIDDK,The United States
185,Pakistan-United States Science and Technology Cooperation Program,United States
186,Faculty of Veterinary Science and Chulalongkorn University,Thailand
188,Social Development Project of Jiangsu Province,China
189,Ratchadapiseksompotch Fund,Thailand
191,"Petroleum and Petrochemical College, Chulalongkorn University",Thailand
192,Ratchadapiseksomophot Endowment,Thailand
195,Chulalongkorn academic advancement,Thailand
198,Keirin Race of the Japan Keirin Association,Japan
200,JSPS-NRCT,Japan
201,Tokyo University of Marine Science and Technology,Japan
203,Université de Poitiers,France
205,Chulalongkorn Univer-sity,Thailand
207,"Faculty of Technology and Environment, Prince of Songkla University",Thailand
208,"Research Fund of Research Division, Faculty of Medicine, Siriraj Hospital, Mahidol University",Thailand
210,Programa Severo Ochoa del Prin-cipado de Asturias,Spain
212,Chulalongorn University,Thailand
213,James Mitchell at Monash University,Australia
216,Hiroshima Univeresity,Japan
218,Institute for the Promotion of Teaching Science and Technology,Thailand
219,Health Insurance System Research Office of the Health System Research Institute,Thailand
222,Chulabhorn Research Institute,Thailand
223,Queen Sirikit Sericulture Center,Thailand
224,Office of the Royal Development Projects Board,Thailand
226,TRF Strategic Basic Research,Thailand
227,PTTEP,Thailand
230,Chu-lalongkorn University,Thailand
231,Naresuan University Research Fund,Thailand
232,Royal Government of Thailand,Thailand
233,AuScope Pty Ltd.,Australia
234,Endeavour Australia Cheung Kong Fellowship,Australia
235,"Graduate School of Medical Sciences, Kyushu University",Japan
237,Chu-lalongkorn university,Thailand
238,Chulalongkorn Graduate,Thailand
241,Chulalongkorn University and Science Achievement Scholarship of Thailand,Thailand
242,ALMA-CONICYT,Chile
243,CNRS/INSU,France
245,"Commission on Higher Education, Ministry of Education of Thailand",Thailand
246,"Center for Alcohol Studies, Thailand",Thailand
247,Princess Mother National Institute on Drug Abuse Treatment,Thailand
248,Chinese Scholarship Council,China
249,Nanotec-CU Center of Excellence on Food and Agriculture,Thailand
250,"TRF, Chulalongkorn University",Thailand
252,Rajamangala University of Technology Suvarnabhumi,Thailand
254,CAPES fellowships,Brazil
255,CNPq PVE,Brazil
258,Sao Paulo Research Foundation,Brazil
259,University Medical Center Rotterdam,The Netherlands
260,Bundesministerium für,Germany
262,Russian Competitiveness Program of NRNU,Russia
263,"Secretariat for Higher Education, Science, Technology and Innovation",Ecuador
264,KA Wallenberg foundation,Sweden
265,Ratchadaphiseksom-phot Endowment Fund,Thailand
266,Thailand Research Fund,Thailand
267,100th Anniversary Chulalongkorn University Fund for Doctoral Scholarship,Thailand
269,Deutsche For-schungsgemeinschaft,Germany
270,Kidney Foundation of Thailand,Thailand
271,Office of Biological and Environmental Research,United States
272,US Department of Energy,United States
273,"Center of Excellence in Materials Science and Technology, Chiang Mai University",Thailand
276,Huevepharma (Thailand) Ltd,Thailand
278,Chinese Academy of Sciences and Local Innovative and Research Teams Project of Guangdong Pearl River Talents Program,China
284,Thang Long Construction Corporation,Vietnam
286,Chulalongkorn University-Veterinary Science Research Fund,Thailand
287,Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Spain
288,European Union Horizon 2020 Marie Skłodowska-Curie,Belgium
289,National Institutes of Health,United States
290,Willis Research Network,United Kingdom
291,"Center of Excellence for Thai Music and Culture Research, Faculty of Fine and Applied Arts",Thailand
294,"National Center for Genetic Engineering and Biotechnology, Ministry of Science and Technology, Thailand",Thailand
297,BK21 PLUS Program for Creative Veterinary Science Research Center,South Korea
298,Research Institute for Veterinary Science,South Korea
299,AOARD,Japan
300,Asian Office of Aerospace Research and Development,United States
301,American Cancer Society Clinical Research Professorship,United States
302,Khun Poom Foundation,Thailand
304,Thai Ministry of Science and Technology,Thailand
305,Thailand Center of Excellence for Life Sciences,Thailand
307,NIEHS/NIH,United States
308,Chulalongkorn Hospital,Thailand
310,Maharaj Nakorn Chiangmai Hospital and Medical Research Network,Thailand
311,NHSO,Thailand
312,Phramongkutklao Hospital,Thailand
313,Ramathibodi Hospital,Thailand
314,Srinagarind Hospital,Thailand
316,Balnaves Foundation,Australia
317,International Agency for Research on Cancer6,France
318,United States Environmental,The United States
319,Coordenac¸ão de Aper-feic¸oamento de Pessoal de Nível Superior,Brazil
320,Instituto Cérebro e Mente and Universidade do Extremo Sul Catarinense,Brazil
321,JST-JICA,Japan
322,Transportation Institute Chulalongkorn University,Thailand
323,excellent young and middle-aged scientists of Shandong Province,China
324,National Institute of Allergy and Infectious Diseases Division of AIDS,United States
325,South Carolina Chemist Award,United States
326,South Carolina Governor,United States
327,Founda- tion for Polish Science,Poland
328,National Research Council of Thailand and Agricultural research development agency,Thailand
331,NINDS/NIMH,United States
332,National Health Service,United Kingdom
333,National Research Foundation,South Africa
334,Cluster Ratchadapisek Sompotch Endowment Fund,Thailand
336,HIV-NAT Clinic,Thailand
337,Adiyaman University,Turkey
338,Bingol University,Turkey
339,Cag University,Turkey
340,Erzincan University,Turkey
341,Istanbul Aydin University,Turkey
342,Istanbul Bilgi University,Turkey
343,Izmir Institute of Technology,Turkey
344,Kafkas University,Turkey
345,Malaysian Nuclear Agency,Malaysia
346,Marmara University,Turkey
347,Mersin University,Turkey
349,Riga Technical University,Latvia
351,USABeykent University,Turkey
352,"University of Belgrade, Faculty of Physics and Vinca Institute of Nuclear Sciences, Belgrade, Serbia Also at Scuola Normale e Sezione",Serbia
353,Utah Valley University,United States
354,Zurich,Switzerland
355,International Research Network,United Kingdom
356,Ratchadphiseksomphot Endowment Fund,Thailand
357,ASIAA (Taiwan),Taiwan
359,"Faculty of Science and Technological Industry, Prince of Songkla University",Thailand
360,Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico,Brazil
361,Siriraj Graduate Scholarship,Thailand
363,Chulalongkorn University and Chu-lalongkorn Hospital,Thailand
364,Pericardia Program of The Royal College of Physicians of Thailand,Thailand
365,Ratchada-phiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology,Thailand
366,Thai Association,Thailand
367,Chulalongkorn Academic Advancement Fund,Thailand
370,"Cooperation Research Program of the Wildlife Research Center, Kyoto University",Japan
371,Kyoto University Foundation,Japan
373,Chulalongkorn University for Doctoral Scholarship,Thailand
374,Henry M. Jackson Foundation,United States
375,National Cancer Institute,United States
376,National Institute of Allergy and Infectious Diseases,United States
377,Thai Government Pharmaceutical Organization,Thailand
378,Thai Red Cross AIDS Research Center,Thailand
379,US Department of the Army,United States
380,NIH/NCI,United States
381,Doctoral Degree Chulalongkorn University,Thailand
383,Ratchadapisek Sompot Fund,Thailand
385,United States Biomedical Advanced Research and Development Authority,United States
386,Coordinating Center for Thai Government Science and Technology,Thailand
387,"Faculty of Medicine, Ramathibodi Hospital, Mahidol University",Thailand
388,AFOSR/AOARD,United States
389,NSTDA Research Chair,Thailand
390,"Office of Industrial Economics, Ministry of Industry",Thailand
392,Irish Centre for Research in Applied Geosciences,Ireland
393,UK Natural Environmental Research Council,United Kingdom
394,Siriraj Clinical Research Center,Thailand
395,Thai Society of Hematology,Thailand
399,Chulalongkorn University Dutsadi Phiphat Scholarship,Thailand
400,Penn State Institute of Energy and the Environment,United States
401,Borrego Foundation,United States
402,Gordon and Betty Moore,United States
403,Victor and William Fung Foundation,Hong Kong
410,Dutch Brain Foundation,Netherlands
411,Netherlands Organization for Health Research and Development,The Netherlands
412,Radboud University Medical Centre,Netherlands
413,patient association Association des Personnes concernées par le Tremblement Essentiel,France
414,Physics Department of the University of Buenos Aires,Argentina
415,Pontificia Universidad Católica de Valparáıso and Universidad Adolfo Ibáñez,Chile
416,Spanish FPI,Spain
417,New Frontier Leader Program for Rare-metal and Resources of Akita University,Japan
420,Pan-American Ophthalmological Foundation,United States
422,Founding Sponsor ViiV Healthcare and Janssen,United Kingdom
423,Chula-longkorn University,Thailand
424,Ratchadaphiseksomphot Fund,Thailand
425,NSTDA,Thailand
426,National Science and Technology Development Agency,Thailand
428,Her Royal Highness Maha Chakri Sirindhorn and Center of Excellence on Biodiversity,Thailand
430,Institute of Pharmacology Polish Academy of Sciences,Poland
431,Polish National Science Center,Poland
432,Chulalongkorn University in Thailand,Thailand
433,Mahidol University in Thailand,Thailand
434,National Medical Research Council in Singapore,Singapore
435,Thailand Government Fund,Thailand
436,Fulbright foundation,United States
437,International Research Network Thailand Research Fund,Thailand
438,Thai government,Thailand
439,Japanese Government Scholarship,Japan
441,Fonds voor Weten-schappelijk Onderzoek,Belgium
442,Ministry of Science of Montenegro,Montenegro
443,"Ministry of Science, Technology and Research, Sri Lanka",Sri Lanka
444,Pro-grama Severo Ochoa del Principado de Asturias,Spain
445,CU second Century Project,United States
446,Geran Putra-Inisiatif Putra Siswazah,Malaysia
447,Research Institute of Rangsit University,Thailand
450,Faculty of Veterinary Science at Chulalongkorn University,Thailand
451,Petroleum and Petrochemical College,Thailand
453,Rachadapisek Sompot Fund,Thailand
454,FONDECYT Government of Chile,Chile
455,Chulalongkorn University Centenary Academic Development Project,Thailand
458,"Faculty of Biotechnology, Ramkhamhaeng University",Thailand
459,Galois Inc.,United States
460,US-Israel BSF,United States
461,"Panjab University, Chandigarh",India
464,Dutch Arthritis Foundation,Netherlands
465,Horse Trust,United Kingdom
467,Institute of Research and Development Walailak University,Thailand
468,Ratchadaphiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology,Thailand
470,Ubon Ratchathani University,Thailand
471,"China-Africa Center for Research and Education, Chinese Academy of Sciences",China
473,Chul-alongkorn University,Thailand
474,Ratchadapiseksomphot Endowment,Thailand
476,"National Research Council of Thailand, Mahidol University",Thailand
480,NIH/NIAID,The United States
481,UCLA Center for AIDS Research,United States
482,Austrian Science Foundation,Austria
483,Chulalongkorn University for Plant Biomass Utilization Research Unit,Thailand
484,SHELL Centennial Education Fund,The United Kingdom
488,Massachusetts Life Science Center,United States
489,"National Health Security Office, Thailand",Thailand
492,Chulalongkorn University Faculty of Veterinary Science Research Fund,Thailand
493,"Center of Excellence for Petrochemical and Materials Technology, Chulalongkorn University",Thailand
495,"Department of Obstetrics, Gynaecology and Reproduction, Faculty of Veterinary Science, Chulalongkorn University",Thailand
496,Ratchadapiseksompot Fund,Thailand
499,Genetics the University of Tokyo,Japan
500,Wildlife and Plant Conservation of Thailand,Thailand
501,Australian Government Department of Health and Ageing,Australia
503,CAPES/Alexander von Humboldt,Brazil/Germany
506,Neurocare group GmbH,Germany
508,Fonds voor Wetenschappelijk Onder-zoek,Belgium
509,Plan Estatal de Investigación Científica y Téc-nica y de Innovación,Spain
511,Sec-retaría de Estado de Investigación,Spain
512,Pharmacy Council of Thailand,Thailand
513,Egyptian Ministry of Higher Education to Islam Ateia,Egypt
514,Chulabhorn International College of Medicine Research Fund,Thailand
515,Chulalogkorn University,Thailand
516,Abbott and MSD,United States
517,CIHR/GSK,Canada
521,MRC CTU,United Kingdom
522,"Medical Research Council, UK",United Kingdom
523,Merck Research Laboratories,United States
524,Merck Sharpe & Dohme,United States
525,Pfizer Ltd.,The United States
526,Quest Diagnostics,United States
527,Selah Genomics Inc.,United States
528,Siemens and Roche,Germany
529,St Vincent's Hospital,Australia
532,"University of New South Wales, Australia",Australia
534,University of Hohenheim Experiment Station,Germany
535,National Science Foundation EPSCoR,United States
537,Department of Science Service,Thailand
538,Royal Thai Government Scholarship,Thailand
539,Ratch adaphiseksomphot Endowment Fund,Thailand
541,"National Center of Excellence for Environmental and Hazardous Waste Management, Chulalongkorn University",Thailand
542,"Pig Business, Chareon Pokaphand Foods Public Company Limited Group",Thailand
544,Ministry of Education and Research and Development Institute Ramkhamhaeng University,Thailand
545,Rachadapisek Sompoch Endowment Fund,Thailand
546,EPSRC Centre for Doctoral Training in Condensed Matter Physics,United Kingdom
549,NIH/NCRR,United States
550,Tianjin Science and Technology Fund,China
552,"Department of Medicine, Chulalongkorn University",Thailand
554,Swedish Science Foundation,Sweden
555,MINECO Centro de Excelencia Severo Ochoa Programs,Spain
556,Ministry of Education of Spain,Spain
557,ForestGEO,United States
558,Grantova Agentura Cesk≤ e Republiky,Czech Republic
559,Smithsonian Institution Barcoding Opportunity,United States
560,Chulalongkron University,Thailand
561,MEXT/JST,Japan
562,Faculty of Health and Life Sciences,United Kingdom
565,Aomori City Government,Japan
566,Chulalongkorn University Ratchadaphiseksomphot Fund,Thailand
568,Division of AIDS,United States
569,"Military Medicine, Inc.",United States
570,Thai Red Cross AIDS Research Centre,Thailand
571,University of Wisconsin,United States
572,JST-ACT-C,Japan
574,"Key Research Program of Frontier Sciences, CAS",China
575,Astra Zeneca,United Kingdom
576,Stanley Medical Research Foundation,United States
577,National Research Foundation of South Africa and DST-NRF Centre of Excellence in Mathematical and Statistical Sciences,South Africa
578,Royal Thai government,Thailand
579,Maharat Nakhon Rat-chasima Hospital,Thailand
580,Graduate School Chulalongkorn University and Malaysian Agricultural Research Development Institute,Thailand; Malaysia
582,Marie Sklodowska-Curie,European Union
585,NIH-NCI,United States
586,Texas Children’s Hospital Flow Cytometry Core Laboratory,The United States
587,Texas Children’s Hospital Small Animal Imaging Facility,United States
589,J-GRID,Japan
590,Japan Initiative for Global Research Network on Infectious Diseases,Japan
592,Biochemistry University of California-Los Angeles Los Angeles,United States
593,Chulalongkorn University Bangkok 10330,Thailand
594,Department of Biomedical Sciences Neuroscience Research Institute Seoul National University College of Medicine Seoul 03080,South Korea
595,Department of Chemistry Korea University Seoul 02841,South Korea
596,KISTI,South Korea
597,Korea University Future Research,South Korea
598,MSIP,South Korea
599,NRF of Korea,South Korea
600,Thai DPST Talents Project,Thailand
601,UCLA Molecular Biology Institute,United States
602,UCLA/DOE,United States
603,US DOE,United States
604,US NIH,The United States
605,University of California-Los Angeles Los Angeles,United States
606,Wongkongkathep Systems Biology Center,Thailand
608,National Research Council of Thailand for Urban Water Reuse Project,Thailand
610,Department of Disease Control,Thailand
611,Chulalongkorn University Fund,Thailand
612,Ratchapiseksompotch Fund,Thailand
613,"Northern Resources , Chiang Mai University",Thailand
614,Hong Kong Health and Medical Research Fund,Hong Kong
615,Research Grants Council of the Hong Kong Government,Hong Kong
616,University of Cincinnati Metabolic Diseases Institute,United States
617,NRF-2017R1A2B4003781,South Korea
619,"Polish Academy of Sciences and Jagiellonian University Medical College, Kraków, Poland",Poland
620,Thamma-sat University,Thailand
621,Nursing Chulalongkorn University,Thailand
624,"Petroleum and Petrochemical College , Center of Excellence on Petrochemical and Materials Technology, Chulalongkorn University",Thailand
625,"Silpakorn University, Thailand and Center of Excellence for Petroleum Petrochemicals and Advanced Materials",Thailand
626,DSREC,United Arab Emirates
632,Mahidol University and Nanomaterial for Energy and Catalyst Laboratory,Thailand
633,NANOTEC,Thailand
634,National Nanotechnology Center,Thailand
636,Ratchadaphiseksomphot Endownment Fund,Thailand
637,"Alcon , Fort Worth",United States
638,Alcon Japan Ltd,Japan
639,Asia Cornea Foundation,India
640,Bayer Yakuhin Ltd,Japan
641,Ministry of Science and Technology of Taiwan Government,Taiwan
642,Senju Pharmaceutical,Japan
643,Senju Pharmaceutical Company and M's Science Corporation,Japan
645,Canton Zurich,Switzerland
646,ETH Board,Switzerland
647,Fundacão para a Ciência e a Tecnologia,Portugal
648,National Science and Technology Development Agency of Thailand,Thailand
651,Oskar Öflund Foundation,Finland
652,Turku University Foundation,Finland
653,European Union’s Seventh Framework Program,Belgium
656,Office of Advanced Science and Technology,United States
657,SUT-NANOTEC-SLRI,Thailand
658,Jichi Medical University School of Medicine,Japan
660,Ramkhamhaeng University and Nanotechnology Center,Thailand
662,Niedersachsen?Research Network on Neuroinfectiology,Germany
663,University of Veterinary Medicine Hannover,Germany
664,Chulalongkorn University Thailand,Thailand
665,Ratchadaphiseksomphot Endowment Fund Chulalongkorn University,Thailand
666,Canadian Foundation for Innovation and Western University,Canada
667,Helmholtz-Gemeinschaft Deutscher,Germany
668,Ratchadaphiseksomphot Endowment,Thailand
670,Chulalongkorn Unidersity,Thailand
672,"Center of Excellence on Petrochemical and Materials Technology, Chulalongkorn University",Thailand
673,National Research University Project of CHE,China
675,Science Achievement Scholarship Thailand,Thailand
677,NIH-NEI EY002162-Core,United States
679,National Medical Research Council of Singapore,Singapore
681,JST/CREST,Japan
683,Nanyang Technological University College of Humanities and Social Sciences,Singapore
684,100thAnniversary Chulalongkorn University,Thailand
685,NUIST Reading Academy at Nanjing University of Information Science & Technology,China
686,Plant Biomass Utilization Research Unit,United States
687,Alexander von Humboldt Foun,Germany
689,Ratchadaph- iseksomphot Endowment Fund,Thailand
690,Science Chulalongkorn University,Thailand
691,Chulalong-korn University Fund,Thailand
693,Rachadapisek Sompote Fund,Thailand
694,CERCA Program/Generalitat de Catalunya,Spain
696,"Faculty of Veterinary Science, Chulalongkorn University",Thailand
697,"Chulalongkorn Academic Advancement into Its second Century Project Grant for International Research Integration, Chulalongkorn Research Scholar",Thailand
698,Rachadapisek Sompote Endowment Fund,Thailand
701,Chulalongkorn University Ratchadaphiseksomphot Endowment,Thailand
703,LPDP,Indonesia
704,Chulalongkorn University Ratchadaphiseksomphot Endowment Fund,Thailand
705,College of Industrial Technology,Philippines
706,Royal Thai Government Budget,Thailand
707,Bhumirajanagarindra Kidney Institute,Thailand
708,Royal Society of Thailand,Thailand
709,"Faculty of Science, Chulalongkorn University and Science Achievement Scholarship of Thailand",Thailand
711,Chulalongkorn University’s CUniverse,Thailand
712,DFG priority program 1573,Germany
714,Mahidol University Central Instrument Facility,Thailand
715,KRC Seoul,South Korea
716,NRL Australia,Australia
718,Thermo Fisher Scientific Australia,Australia
720,NIH Office of the Director of AIDS Research,United States
721,NIH Office of the Director of Research on Women’s Health,United States
722,NIH-NEI,United States
723,President Fund for Science and Education Fusion of UCAS,China
725,Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University,Thailand
729,CAS-CONICYT,Chile
731,National Commission for Scientific and Technological Research of Chile,Chile
732,Royal Society Leverhulme Trust,United Kingdom
733,"Center of Excellence on Petrochemicals and Materials Technology, Chu-lalongkorn University",Thailand
735,European Medical Writers Association,United Kingdom
736,"Sanofi Pasteur, Lyon",France
739,"Center for Agricultural Biotechnology, Kasetsart University",Thailand
740,Center of Excellence Network and Ratchadaphiseksomphot Endowment Fund,Thailand
742,U. S. National Science Foundation,United States
744,NH&MRC,Australia
745,National Institutes of Health-sponsored Center,United States
746,AUI/NRAO,United States
747,Chulalongkorn Universitys Ratchadapiseksompot Endowment Fund,Thailand
748,European Union's Seventh Frame-work,Belgium
749,National Research Council of Thailand and Agricultural Research Development Agency,Thailand
751,All India Institute of Medical Sciences,India
755,Institute of Disaster Mitigation for Urban Cultural Heritage of Ritsumeikan University,Japan
756,Fundação para a Ciên-cia e a Tecnologia,Portugal
757,Agricultural Research Development Agency,Thailand
760,Kasetsart University,Thailand
761,Ministry of Agricultural and Cooperatives,Thailand
762,NIHR Wellcome Trust Southampton Clinical Research Facility,United Kingdom
763,"Polish Academy of Sciences and Jagiellonian University Medical College , Kraków, Poland",Poland
767,"Nanoscience and Technology Program and Graduate School, Chulalongkorn University",Thailand
771,DST-SERB,India
772,Bamrasnaradura Institute,Thailand
774,Medical Research Network,United Kingdom
775,National Health Security Office,Thailand
776,"Faculty of Information and Communication Technology, Mahidol University",Thailand
779,University of Iceland Research Fund,Iceland
781,Chula Engineering,Thailand
782,PerkinElmer,United States
783,CDMRP DOD,United States
784,Hickey Foundation,United States
785,Rachadaphisek Sompoch Endowment 2016 Fund Chulalongkorn University,Thailand
786,Center of Excellence in Mathematics,Thailand
787,Shimizu Institute of Technology,Japan
789,Japanese government,Japan
790,90th Year Chulalongkorn Scholarship,Thailand
791,"Ministry of Science, Technology and Innovation of Malaysia",Malaysia
792,Jewelry Institute of Thailand,Thailand
793,German Science Foundation,Germany
794,Niigata University U-go,Japan
796,Graduate School of Chulalongkorn University,Thailand
797,Ratch-adapiseksomphot Endowment Fund,Thailand
798,Solare Energie Umwandlung,Germany
800,Penn State's Institute of Energy,United States
801,ASEAN University Network,Thailand
802,Chulalongkorn University Fund and Grant for International Research Integration,Thailand
803,Sirindhorn College of Public Health,Thailand
804,Heart Association of Thailand,Thailand
805,Ministry of Sci- ence and Higher Education,Poland
806,VA National Center for PTSD Research,United States
807,Ratchadapiseksomphot Endowment Fund,Thailand
810,Ratchadaphisek Somphot Endowment Fund,Thailand
812,Kerala State Biodiversity Board,India
813,Rachadaphisek Somphot Fund,Thailand
814,"Schlinger Foundation, USA",The United States
819,Swedish International Agricultural Network Initiative,Sweden
820,VU University Medical Center,Netherlands
821,Ratchadapiseksompotch Research Fund,Thailand
822,Red Cross Society of Thailand,Thailand
827,PTT Research and Technology Institute,Thailand
828,Department of Pharmacy & Radboud Institute for Health Sciences,The Netherlands
830,Rad-boud University Medical Center,Netherlands
831,"Petroleum and Petrochemical College and Centre of Excellence on Petrochemical and Materials Technology, Thailand",Thailand
833,National Institute of Health Research University College London Hospitals Biomedical Research Centre,United Kingdom
834,National Natural Science Foundation,China
835,"Shanghai Committee of Science and Technology, China",China
837,"Faculty of Engineering, Kasetsart University",Thailand
838,EDS Chulalongkorn University,Thailand
839,FSPU UiTM,Malaysia
840,KAED IIUM,Malaysia
841,"Lanzhou (China), Orono",China
843,"Chemical Approaches for Food Applications Research Group, Faculty of Science, Chulalongkorn University",Thailand
846,School of Veterinary Studies & Roslin Institute,United Kingdom
847,JSPS Core-to,Japan
848,"King Chulalongkorn University, Thailand",Thailand
853,National Research University Project of Thailand,Thailand
855,Rajamangala University of Technology Tawan-ok,Thailand
857,Fondazione Ing,Italy
859,Fundac¸ão para a Ciência e a Tecnologia,Portugal
860,Thailand Research Fund and Oﬃce of the Higher Education Commission,Thailand
862,Government Pharmaceutical Organization of Thailand,Thailand
863,Thai National Health Security Office,Thailand
864,National Institute of Environmental Health Sciences,United States
865,Ratcha- dapisek Sompoch Endowment Fund,Thailand
866,Chulalongkorn University Centenary,Thailand
868,Guangdong Province,China
870,MSD animal health Ltd.,United Kingdom
871,FWO-Vlaanderen,Belgium
872,"Graduate School and Faculty of Science, Chulalongkorn University",Thailand
873,"Wako Life Sciences, Inc.",The United States
875,Thai Meteorological Department,Thailand
876,National Health Security Office program,Thailand
879,90-year Chulalongkorn University,Thailand
880,U.S. Department of Energy Office of Science,The United States
881,Chulalongkorn Research,Thailand
882,Chulalongkorn University Omics Sciences and Bioinformatics Center,Thailand
885,Jongkolnee Nidhi Foundation,Thailand
886,Thailand research fund Career Development,Thailand
887,Luxembourg Institute of Health,Luxembourg
888,Ratchadaphiseksomphot Endowment Fund of Chu-lalongkorn University,Thailand
889,Beuth University of Applied Sciences,Germany
890,Brawijaya University,Indonesia
891,National University of Laos,Laos
