source,target,weight
China,Iran,11258
Belgium,Belgium,11254
Ecuador,Russian Federation,11132
Greece,Mexico,11086
Belgium,Egypt,11021
Iran,United Kingdom,11017
Russian Federation,Serbia,10960
Canada,China,10911
Germany,Poland,10808
Belgium,Greece,10679
Greece,Spain,10498
Colombia,India,10433
Russian Federation,Sri Lanka,10373
Brazil,Poland,10349
Hungary,Spain,10194
Finland,United Kingdom,10156
Sweden,United States,10137
France,Poland,10076
Egypt,Egypt,10020
Egypt,Spain,9975
Australia,China,9961
Australia,United Kingdom,9957
Hungary,Switzerland,9950
Portugal,Turkey,9789
Canada,United Kingdom,9779
Egypt,Hungary,9718
Colombia,Russian Federation,9676
Egypt,Switzerland,9615
China,Croatia,9521
Czech Republic,Turkey,9468
Austria,United Kingdom,9453
India,Thailand,9451
Mexico,Poland,9444
Brazil,Finland,9419
Brazil,Iran,9404
Italy,Montenegro,9322
Brazil,Croatia,9290
Greece,Hungary,9285
Bulgaria,South Korea,9285
New Zealand,South Korea,9224
South Korea,Ukraine,9219
Greece,Switzerland,9193
Germany,Taiwan,9165
Thailand,Turkey,9133
Austria,Germany,9109
Canada,Italy,9106
Cyprus,India,9021
Poland,Spain,9019
Taiwan,United Kingdom,8961
Pakistan,Turkey,8948
Ireland,Turkey,8936
Armenia,Turkey,8923
Germany,Iran,8909
Croatia,United Kingdom,8903
Finland,Germany,8873
Finland,France,8862
Estonia,Turkey,8760
Lithuania,Turkey,8736
Puerto Rico,Turkey,8700
Egypt,Greece,8620
Belarus,Turkey,8605
France,Iran,8586
Japan,Spain,8569
Austria,Brazil,8567
Latvia,Turkey,8535
Norway,United States,8492
Georgia,South Korea,8487
Australia,Turkey,8418
Switzerland,Switzerland,8392
Belgium,Poland,8382
Croatia,France,8355
Finland,Mexico,8304
Austria,France,8301
Malaysia,South Korea,8286
Croatia,Mexico,8277
Ecuador,South Korea,8271
Cyprus,Russian Federation,8261
China,Thailand,8186
Croatia,Germany,8177
Hungary,Hungary,8142
Belgium,Finland,8114
Belgium,Croatia,7993
France,Taiwan,7972
Qatar,Turkey,7967
Serbia,South Korea,7938
South Korea,Sri Lanka,7923
Hong Kong,United States,7919
Finland,Spain,7770
India,Portugal,7730
Thailand,United Kingdom,7707
Iran,Spain,7682
Chile,United States,7655
Iran,Mexico,7654
Saudi Arabia,United States,7538
Canada,Germany,7509
Belgium,Iran,7479
Spain,Taiwan,7474
Denmark,United States,7447
Austria,Spain,7368
Poland,Switzerland,7348
Hungary,Poland,7312
Czech Republic,India,7297
Australia,Germany,7296
Colombia,South Korea,7288
Egypt,Iran,7249
Australia,India,7170
India,Pakistan,7148
France,Japan,7075
Brazil,Taiwan,6992
Egypt,Poland,6984
Croatia,Spain,6978
Finland,Hungary,6977
Croatia,Hungary,6975
India,Ireland,6975
Austria,Mexico,6954
Greece,Greece,6904
Portugal,Russian Federation,6897
Finland,Switzerland,6867
Armenia,India,6850
Czech Republic,Russian Federation,6809
China,New Zealand,6793
Russian Federation,Thailand,6770
Greece,Poland,6718
Croatia,Switzerland,6703
Estonia,India,6629
Iran,Switzerland,6615
Austria,Belgium,6600
India,Lithuania,6593
India,Puerto Rico,6530
Egypt,Finland,6510
Kuwait,United States,6466
China,Portugal,6461
Croatia,Egypt,6432
Belarus,Russian Federation,6428
Pakistan,Russian Federation,6408
Ireland,Russian Federation,6408
Belarus,India,6397
Finland,Greece,6386
Hungary,Iran,6385
Croatia,Greece,6333
Armenia,Russian Federation,6317
Estonia,Russian Federation,6299
Brazil,Bulgaria,6295
Lithuania,Russian Federation,6277
Bulgaria,China,6276
Puerto Rico,Russian Federation,6264
South Korea,Thailand,6206
Brazil,New Zealand,6188
New Zealand,United Kingdom,6180
Argentina,United States,6170
Cyprus,South Korea,6156
Brazil,Ukraine,6154
India,Latvia,6146
Austria,Egypt,6117
Canada,Spain,6085
China,Ukraine,6062
Israel,United States,6012
China,Sri Lanka,5957
Bulgaria,United Kingdom,5909
Brazil,Malaysia,5867
Mexico,Taiwan,5867
Belgium,Taiwan,5825
United States,Uzbekistan,5822
Greece,Iran,5801
Latvia,Russian Federation,5800
Austria,Switzerland,5797
Italy,Saudi Arabia,5771
Singapore,United States,5748
Malaysia,United Kingdom,5746
Portugal,United Kingdom,5746
China,Serbia,5738
Brazil,Georgia,5712
Portugal,South Korea,5701
Brazil,Serbia,5687
Germany,New Zealand,5677
China,Malaysia,5658
Austria,Hungary,5657
France,New Zealand,5655
China,Ecuador,5645
Ukraine,United Kingdom,5604
Japan,South Korea,5600
Bulgaria,France,5559
Australia,Spain,5547
Bulgaria,Mexico,5487
Brazil,Ecuador,5484
Serbia,United Kingdom,5458
Mexico,Ukraine,5458
Mexico,New Zealand,5433
Japan,Thailand,5424
Brazil,Sri Lanka,5422
France,Ukraine,5413
China,Georgia,5406
India,Japan,5357
Australia,France,5337
Bulgaria,Germany,5333
Belgium,Bulgaria,5321
Belgium,Ukraine,5311
Australia,Australia,5270
Belgium,New Zealand,5260
Canada,Japan,5227
Austria,Greece,5217
China,Colombia,5217
Netherlands,United Kingdom,5215
Canada,Canada,5208
Germany,Portugal,5185
Czech Republic,South Korea,5182
Switzerland,Taiwan,5161
India,Qatar,5152
Germany,Ukraine,5124
Georgia,United Kingdom,5115
Georgia,Mexico,5103
Australia,South Korea,5083
Brazil,Colombia,5072
France,Malaysia,5046
Germany,Malaysia,5022
Ecuador,United Kingdom,5014
France,Georgia,5011
Malaysia,Mexico,5002
Australia,Russian Federation,4996
Montenegro,Turkey,4990
Finland,Poland,4981
Ireland,South Korea,4981
China,Czech Republic,4975
Croatia,Poland,4968
Belgium,Georgia,4962
Germany,Thailand,4959
France,Serbia,4952
Colombia,United Kingdom,4937
Germany,Serbia,4906
Iran,Poland,4886
Ecuador,Mexico,4874
Belgium,Malaysia,4843
Hungary,Taiwan,4828
Ecuador,France,4818
New Zealand,Spain,4818
Georgia,Germany,4774
Pakistan,South Korea,4770
Mexico,Serbia,4762
Croatia,Finland,4731
Italy,Kuwait,4714
Armenia,South Korea,4713
Sri Lanka,United Kingdom,4702
Bulgaria,Spain,4688
Estonia,South Korea,4652
Belgium,Ecuador,4646
Qatar,Russian Federation,4644
France,Sri Lanka,4640
Bulgaria,Hungary,4636
Hungary,Ukraine,4629
Canada,France,4625
Lithuania,South Korea,4611
Spain,Ukraine,4593
Puerto Rico,South Korea,4585
China,Cyprus,4560
Ecuador,Germany,4557
Hungary,New Zealand,4552
Belgium,Serbia,4528
Greece,Taiwan,4523
Mexico,Sri Lanka,4514
Egypt,Taiwan,4514
Malaysia,Spain,4513
Estonia,United Kingdom,4507
Austria,Poland,4497
France,Thailand,4486
Bulgaria,Switzerland,4456
Switzerland,Ukraine,4456
Belarus,South Korea,4431
Colombia,France,4418
New Zealand,Switzerland,4415
Finland,Iran,4408
South Africa,United States,4364
France,Portugal,4343
Croatia,Iran,4343
China,Ireland,4335
Poland,Poland,4302
Portugal,Spain,4294
Egypt,Ukraine,4293
Bulgaria,Egypt,4292
Georgia,Hungary,4287
Mexico,Thailand,4285
Bulgaria,Greece,4281
Belgium,Sri Lanka,4278
Colombia,Mexico,4276
Ireland,United Kingdom,4274
Colombia,Germany,4271
Greece,Ukraine,4266
Egypt,Sri Lanka,4252
Germany,Sri Lanka,4250
Latvia,South Korea,4234
Egypt,New Zealand,4228
Brazil,Cyprus,4228
Italy,Uzbekistan,4206
Czech Republic,United Kingdom,4189
Georgia,Spain,4177
Austria,Iran,4168
Brazil,Thailand,4158
Serbia,Spain,4152
Ecuador,Hungary,4143
Greece,New Zealand,4119
Georgia,Switzerland,4102
Australia,Thailand,4090
Egypt,Serbia,4082
Belgium,Colombia,4063
Hungary,Malaysia,4029
Malaysia,Switzerland,4021
Australia,Brazil,4001
Cyprus,United Kingdom,3994
Hungary,Sri Lanka,3969
Egypt,Malaysia,3961
Hungary,Serbia,3952
Australia,Canada,3947
Romania,United States,3938
Ecuador,Spain,3937
Australia,Japan,3932
Ecuador,Switzerland,3929
Austria,Finland,3927
Czech Republic,Germany,3904
Georgia,Greece,3888
Greece,Malaysia,3884
Poland,Taiwan,3884
Serbia,Switzerland,3882
Egypt,Georgia,3872
Brazil,Portugal,3861
Ecuador,Egypt,3831
Taiwan,Taiwan,3830
Austria,Croatia,3820
Ecuador,Greece,3721
Spain,Thailand,3713
Cyprus,France,3713
China,Pakistan,3713
Sri Lanka,Switzerland,3712
Iran,Iran,3710
Colombia,Hungary,3691
China,Hong Kong,3689
Greece,Serbia,3681
India,Montenegro,3658
Italy,Netherlands,3645
China,Netherlands,3605
China,Sweden,3603
Colombia,Spain,3599
Czech Republic,France,3593
Cyprus,Mexico,3568
Cyprus,Germany,3566
Saudi Arabia,United Kingdom,3556
Spain,Sri Lanka,3554
Armenia,China,3542
Brazil,Czech Republic,3542
Colombia,Switzerland,3534
Germany,Ireland,3509
Chile,China,3488
Colombia,Egypt,3476
Finland,Taiwan,3475
Pakistan,United Kingdom,3437
Belgium,Cyprus,3421
Canada,India,3415
Greece,Sri Lanka,3406
Canada,South Korea,3397
Italy,Sweden,3384
Japan,Taiwan,3334
Iran,Taiwan,3316
Bulgaria,Poland,3316
Brazil,Ireland,3300
Colombia,Greece,3298
France,Ireland,3288
Brazil,Pakistan,3284
New Zealand,Poland,3277
Montenegro,Russian Federation,3262
Finland,Finland,3256
China,Estonia,3254
Sweden,United Kingdom,3245
China,Latvia,3243
Croatia,Taiwan,3241
Qatar,South Korea,3230
Poland,Ukraine,3206
Czech Republic,Spain,3203
Croatia,Croatia,3200
Austria,Taiwan,3193
Cyprus,Egypt,3190
Belgium,Thailand,3183
Bulgaria,Croatia,3168
Bulgaria,Finland,3147
Finland,Ukraine,3142
Mexico,Portugal,3137
Croatia,Ukraine,3136
Armenia,Brazil,3134
Croatia,New Zealand,3118
Norway,United Kingdom,3115
Finland,New Zealand,3097
Brazil,Estonia,3090
Brazil,Lithuania,3077
Cyprus,Hungary,3073
China,Norway,3056
China,Lithuania,3040
Germany,Netherlands,3040
Brazil,Puerto Rico,3033
Belarus,Brazil,3021
Malaysia,Poland,3017
Belgium,Portugal,3017
China,Puerto Rico,3000
Malaysia,Thailand,2990
Czech Republic,Mexico,2983
Ireland,Spain,2967
Georgia,Poland,2966
Poland,Serbia,2953
Cyprus,Switzerland,2951
France,Pakistan,2943
Cyprus,Spain,2938
Switzerland,Thailand,2933
Brazil,Latvia,2922
Croatia,Georgia,2914
Finland,Georgia,2913
Ireland,Mexico,2913
Belgium,Czech Republic,2902
Germany,Pakistan,2902
Iran,Malaysia,2891
Ecuador,Poland,2871
Bulgaria,Iran,2868
Belarus,China,2853
Iran,New Zealand,2852
Croatia,Malaysia,2847
Portugal,Switzerland,2844
Armenia,France,2841
China,Denmark,2831
Iran,Ukraine,2826
Finland,Malaysia,2824
Armenia,Mexico,2823
Mexico,Pakistan,2800
Lithuania,United Kingdom,2795
Taiwan,Thailand,2793
Belgium,Ireland,2780
Armenia,United Kingdom,2776
Estonia,France,2775
Croatia,Ecuador,2774
China,Singapore,2774
Ecuador,Finland,2769
Turkey,Uzbekistan,2752
Poland,Sri Lanka,2745
Iran,Serbia,2744
Kuwait,Turkey,2738
Estonia,Mexico,2736
Belgium,Pakistan,2736
Lithuania,Mexico,2734
Armenia,Germany,2723
Belarus,United Kingdom,2721
Armenia,Belgium,2713
Croatia,Serbia,2710
Cyprus,Greece,2710
Mexico,Puerto Rico,2707
Germany,Sweden,2703
Belgium,Estonia,2702
France,Lithuania,2697
Estonia,Germany,2696
Finland,Serbia,2684
Puerto Rico,United Kingdom,2684
Colombia,Poland,2677
France,Puerto Rico,2674
Belgium,Lithuania,2662
Belarus,Mexico,2654
Austria,Austria,2652
Greece,Portugal,2651
Belgium,Puerto Rico,2645
Belarus,France,2644
Estonia,Spain,2635
Australia,Switzerland,2620
Georgia,Iran,2615
Brazil,Japan,2607
Germany,Lithuania,2598
Montenegro,South Korea,2592
Australia,Mexico,2587
Belarus,Belgium,2585
Latvia,United Kingdom,2582
Austria,New Zealand,2580
France,Latvia,2569
Hungary,Portugal,2562
Italy,Norway,2555
Finland,Sri Lanka,2550
Czech Republic,Switzerland,2543
Croatia,Sri Lanka,2539
Germany,Puerto Rico,2527
Belarus,Germany,2523
Austria,Bulgaria,2522
Austria,Malaysia,2508
Chile,Italy,2508
Czech Republic,Hungary,2502
Latvia,Mexico,2501
Iran,Sri Lanka,2493
Brazil,Qatar,2488
Austria,Ukraine,2483
Germany,Latvia,2461
Pakistan,Spain,2450
Saudi Arabia,Turkey,2448
Japan,Turkey,2447
Ecuador,Iran,2447
Colombia,Croatia,2445
Hungary,Thailand,2442
Slovakia,United States,2436
Belgium,Latvia,2427
Ireland,Switzerland,2425
Colombia,Finland,2419
Austria,Serbia,2413
Egypt,Thailand,2413
Pakistan,Switzerland,2411
Malaysia,Malaysia,2398
Hungary,Pakistan,2373
Hungary,Ireland,2370
Greece,Thailand,2369
Australia,Poland,2361
Egypt,Portugal,2357
Netherlands,Spain,2356
Armenia,Hungary,2352
Czech Republic,Greece,2351
Australia,Belgium,2342
Austria,Georgia,2327
Hungary,Lithuania,2325
Estonia,Hungary,2324
Estonia,Switzerland,2320
Slovenia,United States,2317
Hungary,Puerto Rico,2304
Czech Republic,Egypt,2294
Poland,Portugal,2275
Armenia,Spain,2270
China,Qatar,2265
Hong Kong,Italy,2260
Brazil,Canada,2249
Lithuania,Spain,2248
Armenia,Switzerland,2246
Belarus,Hungary,2244
Colombia,Iran,2241
Argentina,China,2238
Australia,Taiwan,2235
Lithuania,Switzerland,2229
Belarus,Spain,2229
Denmark,United Kingdom,2228
New Zealand,Taiwan,2223
Greece,Ireland,2222
Armenia,Egypt,2219
Chile,United Kingdom,2217
Egypt,Pakistan,2210
Egypt,Ireland,2204
Denmark,Italy,2199
Puerto Rico,Spain,2198
Egypt,Estonia,2195
Austria,Ecuador,2191
Puerto Rico,Switzerland,2188
Cyprus,Poland,2186
Italy,Romania,2176
Malaysia,Taiwan,2175
Belarus,Switzerland,2173
Greece,Pakistan,2164
Poland,Thailand,2159
Hong Kong,United Kingdom,2157
Austria,Sri Lanka,2153
Egypt,Lithuania,2148
Bulgaria,Taiwan,2143
Egypt,Puerto Rico,2137
Spain,Sweden,2137
Hungary,Latvia,2137
Qatar,United Kingdom,2132
Japan,Switzerland,2129
Germany,Norway,2129
Armenia,Greece,2108
Bulgaria,Ukraine,2108
Taiwan,Ukraine,2105
Greece,Lithuania,2095
Egypt,Latvia,2092
Morocco,United States,2086
Estonia,Greece,2085
Israel,Italy,2085
China,Israel,2074
Belarus,Egypt,2071
Chile,Germany,2071
Canada,Turkey,2068
Greece,Puerto Rico,2062
Bulgaria,New Zealand,2061
Latvia,Spain,2055
Belarus,Greece,2053
New Zealand,Ukraine,2046
Australia,Egypt,2038
Austria,Japan,2037
Croatia,Cyprus,2036
Australia,Greece,2034
Canada,Taiwan,2032
Japan,Poland,2028
Cyprus,Finland,2028
Latvia,Switzerland,2019
Australia,Austria,2013
Germany,Hong Kong,2009
France,Netherlands,2001
France,Qatar,2000
Czech Republic,Poland,1999
Austria,Colombia,1996
Cyprus,Iran,1996
China,Montenegro,1986
Japan,Netherlands,1983
Georgia,Taiwan,1977
Mexico,Qatar,1972
Denmark,Germany,1968
India,Kuwait,1965
Georgia,Ukraine,1963
Argentina,Italy,1963
Egypt,Qatar,1950
Bulgaria,Georgia,1949
United Arab Emirates,United States,1923
Georgia,New Zealand,1922
Australia,Iran,1912
Germany,Qatar,1912
Malaysia,Ukraine,1905
Bulgaria,Malaysia,1902
Canada,Switzerland,1897
Greece,Latvia,1892
Iran,Thailand,1887
Malaysia,New Zealand,1882
Serbia,Taiwan,1879
India,Saudi Arabia,1874
Japan,Sweden,1868
India,Uzbekistan,1859
Ecuador,Taiwan,1856
Japan,Russian Federation,1853
Bulgaria,Ecuador,1852
Ecuador,Ukraine,1852
Argentina,United Kingdom,1850
Finland,Portugal,1844
Belgium,Qatar,1843
Ireland,Poland,1836
Iran,Portugal,1831
Georgia,Malaysia,1820
Singapore,United Kingdom,1815
Australia,Hungary,1809
Bulgaria,Serbia,1808
Ecuador,New Zealand,1801
Japan,Portugal,1799
Israel,United Kingdom,1795
Italy,South Africa,1790
Finland,Thailand,1788
Serbia,Ukraine,1787
Croatia,Portugal,1784
Canada,Thailand,1782
New Zealand,Serbia,1772
Austria,Portugal,1771
Pakistan,Poland,1765
Malaysia,Serbia,1764
Thailand,Viet Nam,1745
Czech Republic,Finland,1739
Canada,Netherlands,1738
Austria,Cyprus,1733
Norway,Spain,1732
Sri Lanka,Taiwan,1719
Brazil,Montenegro,1714
Croatia,Czech Republic,1711
Sri Lanka,Ukraine,1698
Portugal,Taiwan,1696
Bulgaria,Sri Lanka,1693
Ecuador,Georgia,1692
Croatia,Thailand,1686
Austria,Thailand,1674
Finland,Ireland,1664
Colombia,Taiwan,1658
Czech Republic,Iran,1656
Georgia,Serbia,1655
Italy,Singapore,1651
Estonia,Poland,1649
Croatia,Ireland,1647
New Zealand,Sri Lanka,1645
Hong Kong,Japan,1640
Bulgaria,Colombia,1640
Armenia,Poland,1637
Australia,Netherlands,1625
Colombia,Ukraine,1614
Armenia,Finland,1613
Estonia,Finland,1611
Qatar,Spain,1610
Hungary,Qatar,1609
France,Sweden,1608
Finland,Pakistan,1608
Lithuania,Poland,1607
Croatia,Pakistan,1605
Ecuador,Sri Lanka,1604
Armenia,Croatia,1603
Canada,Poland,1594
Colombia,New Zealand,1593
Ecuador,Malaysia,1583
Hong Kong,Spain,1580
Qatar,Switzerland,1577
Japan,Mexico,1576
Poland,Puerto Rico,1575
Croatia,Lithuania,1575
Iran,Ireland,1570
Croatia,Estonia,1567
Russian Federation,Saudi Arabia,1567
Finland,Lithuania,1564
Ecuador,Serbia,1562
Denmark,Spain,1560
Finland,Puerto Rico,1557
Belarus,Poland,1557
Croatia,Puerto Rico,1553
Iran,Pakistan,1550
South Africa,United Kingdom,1542
Argentina,Germany,1540
Germany,Singapore,1536
Colombia,Sri Lanka,1532
Austria,Czech Republic,1525
Latvia,Poland,1522
Belarus,Finland,1521
Germany,Israel,1520
Belarus,Croatia,1512
Estonia,Iran,1512
Colombia,Ecuador,1506
Russian Federation,Uzbekistan,1496
Serbia,Sri Lanka,1496
Montenegro,United Kingdom,1491
Kuwait,Russian Federation,1482
France,Montenegro,1482
Georgia,Sri Lanka,1481
Canada,Sweden,1468
Australia,Portugal,1463
Armenia,Iran,1452
Greece,Qatar,1452
Australia,Finland,1449
Colombia,Georgia,1444
Finland,Latvia,1437
Mexico,Montenegro,1434
Austria,Ireland,1431
Colombia,Serbia,1429
Croatia,Latvia,1425
Iran,Lithuania,1422
Canada,Portugal,1419
Canada,Russian Federation,1416
Japan,Norway,1414
Cyprus,Taiwan,1409
Iran,Puerto Rico,1406
Czech Republic,Taiwan,1393
Belarus,Iran,1384
Austria,Canada,1381
Belgium,Japan,1378
Bulgaria,Thailand,1378
Chile,Spain,1377
Japan,Singapore,1376
Iran,Latvia,1375
New Zealand,Thailand,1375
Australia,Croatia,1367
Argentina,Spain,1360
Colombia,Malaysia,1359
Bulgaria,Cyprus,1356
Kuwait,South Korea,1352
Cyprus,Ukraine,1345
Belgium,Montenegro,1345
Greece,Japan,1344
Denmark,Japan,1341
Germany,Montenegro,1339
Cyprus,New Zealand,1321
Austria,Pakistan,1320
Chile,France,1314
Hungary,Montenegro,1306
Singapore,Thailand,1303
Egypt,Montenegro,1294
France,Norway,1287
Macau,United States,1282
Cyprus,Sri Lanka,1281
Malaysia,Sri Lanka,1281
Armenia,Austria,1274
Ireland,Taiwan,1274
Chile,Japan,1272
Austria,Estonia,1272
France,Hong Kong,1270
Nigeria,United States,1269
Denmark,France,1263
Romania,United Kingdom,1254
Hong Kong,India,1252
Indonesia,United States,1247
Austria,Lithuania,1246
Iran,Japan,1243
Saudi Arabia,Spain,1240
Pakistan,Thailand,1237
Indonesia,Thailand,1233
Austria,Puerto Rico,1231
Philippines,United States,1227
New Zealand,New Zealand,1224
Iran,Qatar,1223
Israel,Spain,1223
Cyprus,Ecuador,1222
Cyprus,Georgia,1219
Austria,Belarus,1214
New Zealand,Portugal,1212
Australia,Malaysia,1207
Cyprus,Serbia,1204
Austria,Latvia,1198
Poland,Qatar,1196
India,Netherlands,1195
Bulgaria,Portugal,1188
Singapore,Spain,1184
Australia,New Zealand,1182
Pakistan,Taiwan,1179
Montenegro,Switzerland,1176
China,Kuwait,1166
Czech Republic,New Zealand,1164
India,Sweden,1160
South Korea,Sweden,1159
Malaysia,Portugal,1159
Portugal,Ukraine,1144
Hong Kong,South Korea,1143
South Korea,Uzbekistan,1142
Canada,Mexico,1141
Bulgaria,Czech Republic,1140
Belgium,Canada,1137
Romania,Turkey,1137
Bangladesh,United States,1135
Netherlands,South Korea,1130
Colombia,Cyprus,1127
Thailand,Ukraine,1119
Czech Republic,Ukraine,1115
Canada,Norway,1109
Armenia,Taiwan,1105
Cyprus,Malaysia,1103
Canada,Iran,1101
Sri Lanka,Sri Lanka,1096
Montenegro,Spain,1093
India,Singapore,1093
Bulgaria,Bulgaria,1090
Portugal,Serbia,1089
Singapore,Singapore,1088
Palestine,United States,1087
