Eid,Index_Terms
2-s2.0-85029811763, Bagasse Bagasse pulp Barrier Properties Bleached Pulps Bleaching Carboxy-methyl cellulose Carboxymethyl Cellulose Cellulose Cellulose Film Cleaning Degree of substitution Drying Mechanical and barriers Mercerization Microspheres NaOH concentration Particle Size Particle size Spray Drying Spray drying Spray drying process Strength and elongations Tensile Strength Tensile strength Textile fibers Water solubilities biogenic material cellulose concentration (composition) crystallinity film mechanical property methylation oxygen particle size purification spray tensile strength water vapor
2-s2.0-85033555515,---
2-s2.0-85021181600," Article Ascorbic acid Biosensing Techniques Boron Boron doped diamond Boron-doped diamond electrodes Catalysis Catalyst activity Catalyst selectivity Catalysts Catalytic oxidation Cyclic voltammetry Diagnosis Diamonds Electrochemical Techniques Electrochemical analysis Electrochemical electrodes Electrodeposition Electrodeposition process Electrodes Electrooxidation Glucose Glucose sensors Gold Gold deposits Limit of Detection Metal Nanoparticles Microscopy, Electron, Scanning Morphology and composition Nano-catalyst Non-enzymatic Non-enzymatic glucose sensors Oxidation Platinum Scanning electron microscopy X ray diffraction boron boron doped diamond electrode catalysis chemistry controlled study cyclic potentiometry electrochemical analysis electrochemical impedance spectroscopy electrode electrodeposition field emission scanning electron microscopy genetic procedures glucose glucose oxidation glucose sensor gold isolation and purification limit of detection metal nanoparticle nanocatalyst nonenzymatic glucose sensor platinum potentiometry scanning electron microscopy"
2-s2.0-85041048740," AMP-Activated Protein Kinases Animals C57BL mouse Calpain Capn3 protein, mouse Cells, Cultured Disease Models, Animal Genetic Therapy Mechanistic Target of Rapamycin Complex 1 Mice, Inbred C57BL Mice, Knockout MicroRNAs Muscle Proteins Muscle, Skeletal Muscular Dystrophies, Limb-Girdle Organelle Biogenesis Proto-Oncogene Proteins c-akt Regeneration Signal Transduction Transforming Growth Factor beta animal calpain cell culture disease model gene therapy genetics hydroxymethylglutaryl coenzyme A reductase kinase knockout mouse limb girdle muscular dystrophy mammalian target of rapamycin complex 1 metabolism microRNA muscle protein organelle biogenesis pathology pathophysiology physiology protein kinase B regeneration signal transduction skeletal muscle transforming growth factor beta"
2-s2.0-85038434704, 2 aminobenzoxazole derivative 4 aminoquinazoline derivative Amines Article Chemical industry Continuous flow reactors Direct amination Light Low costs Metal free Nitrogen compounds Organic compounds Organocatalytic Photochemical reactions Rose Bengal Sulfur compounds Undried Visible light amination benzoxazole derivative catalysis catalyst chemical bond functional group heterocyclic compound irradiation oxidation oxidative coupling photochemistry photoreactivity quinazoline derivative reaction optimization rose bengal thiol derivative unclassified drug
2-s2.0-85028376438,---
2-s2.0-85040170019,---
2-s2.0-85028470685,---
2-s2.0-85052976005,---
2-s2.0-85032425979," 3T3-L1 Cells 3T3-L1 cell line AMP-Activated Protein Kinases Adipocytes Akt signaling Animals Article Biological Transport, Active Carbazoles Cell Line Cell Membrane Cell Survival Dose-Response Relationship, Drug Glucose Glucose Transporter Type 4 Hypoglycemic Agents Insulin Resistance L6 cell line Mice Murraya koenigii Muscle Fibers, Skeletal Muscle, Skeletal Proto-Oncogene Proteins c-akt Signal Transduction Slc2a4 protein, mouse active transport adipocyte animal animal cell antidiabetic activity antidiabetic agent carbazole derivative cell level cell line cell membrane cell survival controlled study dose response drug effects drug mechanism enzyme activation glucose glucose transport glucose transporter 4 hydroxymethylglutaryl coenzyme A reductase kinase insulin resistance mahanine metabolism mouse nonhuman priority journal protein content protein kinase B protein modification protein transport signal transduction skeletal muscle skeletal muscle cell unclassified drug wortmannin"
2-s2.0-85049262167," Bile Duct Neoplasms Bile Ducts, Extrahepatic Bile Ducts, Intrahepatic Cholangiocarcinoma Humans Non-alcoholic Fatty Liver Disease Risk Factors bile duct carcinoma bile duct tumor complication extrahepatic bile duct human intrahepatic bile duct meta analysis nonalcoholic fatty liver risk factor"
2-s2.0-85037653422, Article ST segment elevation adult aged blood clot lysis brain infarction brain ischemia brain perfusion case report clinical article computed tomographic angiography creatine kinase MB dysarthria gaze heart infarction heart ventricle fibrillation hemiparesis hemiplegia hemodynamics human insula male middle aged parotid gland carcinoma percutaneous coronary intervention percutaneous transluminal angioplasty resuscitation tissue plasminogen activator troponin I
2-s2.0-85038597618, Center-of-mass energies Data sample Elementary particles Integrated luminosity Nuclear reactions Nucleon-nucleon Perturbative quantum chromodynamics Proton-nucleus collisions Quantum theory Standard deviation Top quarks
2-s2.0-85028559492," Aged Article Asian Continental Ancestry Group Asian continental ancestry group Basic Helix-Loop-Helix Transcription Factors Biopsy Case-Control Studies Caucasian Colon Colonoscopy Enteroendocrine Cells European Continental Ancestry Group Female Humans Immunohistochemistry Irritable Bowel Syndrome MSI1 protein, human Male Middle Aged NEUROG3 protein, human Nerve Tissue Proteins Norway Norwegian (people) Oxyntomodulin Pancreatic Polypeptide Peptide YY RNA binding protein RNA-Binding Proteins Rectum Serotonin Somatostatin Stem Cells Thai (people) Thailand adult aged basic helix loop helix transcription factor biopsy case control study cell density cells by body anatomy clinical feature colon colon biopsy colonoscopy controlled study cytology enteroendocrine cell female histopathology human human tissue immunohistochemistry irritable colon large intestine major clinical study male metabolism middle aged nerve protein neurogenin 3 oxyntomodulin pancreas polypeptide pathology peptide YY prevalence priority journal rectum rectum biopsy serotonin sex ratio sigmoid somatostatin stem cell transcription factor transcription factor musashi 1 unclassified drug"
2-s2.0-85034449894,---
2-s2.0-85057828701, Article Thailand adolescent adult blood glucose monitoring child disease association disease duration family income female glucose glucose blood level glycemic control groups by age hemoglobin A1c hemoglobin blood level human insulin insulin dependent diabetes mellitus major clinical study male medical record non insulin dependent diabetes mellitus observational study patient compliance puberty quality of life questionnaire retrospective study scoring system self report sex social psychology tertiary care center
2-s2.0-85034821679,---
2-s2.0-85045692442,---
2-s2.0-85045642591,---
2-s2.0-85047899907,---
2-s2.0-85042529228," Aged Article Cell Line, Tumor DNA Methylation DNA methylation Gene Expression Regulation, Neoplastic Gleason score Humans Male Middle Aged Promoter Regions, Genetic Prostatic Hyperplasia Prostatic Neoplasms SOX11 protein, human SOXC Transcription Factors adult aged cancer recurrence clinical feature follow up gene expression regulation genetics human human tissue lymph node metastasis major clinical study male metabolism middle aged pathology perineural invasion physiology polymerase chain reaction priority journal promoter region prostate adenocarcinoma prostate cancer prostate carcinoma prostate hypertrophy prostate specific antigen prostate tumor prostate weight recurrent disease transcription factor Sox transcription factor Sox11 tumor cell line"
2-s2.0-85047073019, Conventional precipitation Cross-link densities Curing Density (specific gravity) Field emission scanning electron microscopes Fourier transform infra reds II-VI semiconductors Mechanical and thermal properties Plate-like structure Precipitated silicas Precipitation (chemical) Rubber Scanning electron microscopy Silica Strong enhancement Tensile strength Thermodynamic stability Vulcanization X ray diffraction Zinc oxide
2-s2.0-85042128472, FTIR spectroscopy adsorption composite heavy metal iron kaolin reaction kinetics scanning electron microscopy transmission electron microscopy wastewater treatment
2-s2.0-85041353839," Acetates Adolescent Anti-Asthmatic Agents Article Biomarkers, Pharmacological Child Child, Preschool Creatinine Disease Progression Female Humans Leukotriene E4 Male Predictive Value of Tests Prognosis Quinolines Sleep Apnea, Obstructive acetic acid adenotonsillar hypertrophy adolescent antiasthmatic agent apnea hypopnea index bedtime dosage blood child clinical article creatinine cross-sectional study cysteinyl leukotriene E4 disease exacerbation drug response female human leukotriene E4 male montelukast pharmacological biomarker predictive value preschool child prognosis quality of life quinoline derivative receiver operating characteristic sensitivity and specificity sleep disordered breathing unclassified drug urine urine level"
2-s2.0-85041342424, Clock offset Clocks Coordinated universal time Data handling Data processing software Frequency oscillators Frequency standards Geodesy Geodetic satellites Global Navigation Satellite Systems Global positioning system Precise point positioning Radio navigation System time Time comparison
2-s2.0-85038612821,---
2-s2.0-85040704260, Biodiesel Biodiesel production Calcium oxide Catalysts Computer software Distillation Distillation columns Distilleries Energy utilization Esterification Esters Fatty acids Heterogeneous catalyst Oils and fats Operating condition Petroleum industry Process design Reactive distillation columns Reactive distillations Specific energy requirement Synthetic fuels Transesterification Transesterification process Waste cooking oil
2-s2.0-85044253500," Animals Bacteria Bacterial diversity Bioactive compounds C57BL mouse Cecum Chromans Colitis Cyclooxygenase 2 Dextran Dextran Sulfate Dextran sulfate sodium (DSS) induced colitis Diseases Female Humans Inflammatory mediators Inflammatory response Interferon-gamma Interleukin-6 Mammals Mice Mice, Inbred C57BL Negative control Oryza Pathogenic bacterium Phenylpropionates Ptgs2 protein, mouse Regulatory t cells Sodium Starch Sulfur compounds T-cells Vitamin E alpha tocopherol analogs and derivatives animal cecum chemically induced chemistry chroman derivative colitis cyclooxygenase 2 dextran sulfate diet therapy female gamma interferon gamma-oryzanol genetics human immunology interleukin 6 metabolism mouse phenylpropionic acid derivative plastochromanol 8"
2-s2.0-85040722165,---
2-s2.0-85040225133, Article Likert scale adult breast feeding cesarean section controlled study disease severity assessment double blind procedure female human intraoperative period methylergometrine metoclopramide morphine ondansetron postoperative nausea and vomiting pruritus randomized controlled trial rooming in spinal anesthesia treatment outcome vertigo
2-s2.0-85040114563, Aegus Animals Central Region [Thailand] Chanthaburi Chelifer Coleoptera Female Forests Hexapoda Lucanidae Oviposition Thailand Wood animal beetle chemistry egg laying evergreen forest female forest fungus hardness larval development mobility natural enemy nitrogen oviposition physiology principal component analysis tropical forest wood
2-s2.0-85040241772, Article adult catheterization cohort analysis dizziness drowsiness epidural analgesia female fentanyl human hypotension local anesthetic agent major clinical study male morphine motor dysfunction narcotic analgesic agent nausea and vomiting numeric rating scale paresthesia patient satisfaction postoperative analgesia postoperative pain prospective study pruritus respiration depression
2-s2.0-85039172717, Article animal tissue anophthalmia craniofacial malformation encephalomeningocele frontoethmoidal encephalomeningocele gestation period histopathology male microphthalmia neuroectoderm nonhuman puppy radiography rib malformation skeleton malformation stillbirth
2-s2.0-85040064175,---
2-s2.0-85039172188, Article animal experiment circadian rhythm coconut oil controlled study dairy goat environmental temperature feeding behavior food food intake milk production nonhuman
2-s2.0-85039151846, Article animal tissue biopsy cauterization cell infiltration emsure feces analysis histopathology macaw nonhuman papilloma silver nitrate tumor regression
2-s2.0-85049393881,---
2-s2.0-85039838392,---
2-s2.0-85039151515, Article LC50 cardiotoxicity circulation controlled study edema embryo development female glutamate sodium heart beat male mortality rate nonhuman pH recumbency tachycardia zebra fish
2-s2.0-85042125746,---
2-s2.0-85038931435, Antioxidants Article Chemoradiotherapy Female Head and Neck Neoplasms Humans Karnofsky Performance Status Male Melatonin Middle Aged Stomatitis Thailand adjuvant therapy adult antioxidant cancer patient chemoradiotherapy cisplatin clinical article complication controlled study creatinine clearance double blind procedure external beam radiotherapy female head and neck cancer head and neck tumor human incidence intention to treat analysis irradiation male melatonin middle aged multiple cycle treatment oral mucositis pain assessment physical examination placebo priority journal quality of life radiation dose randomized controlled trial stomatitis therapy delay treatment duration treatment interruption xerostomia
2-s2.0-85039147109, 3 hydroxybutyric acid Article Holstein cattle RNA isolation animal experiment animal tissue biopsy fatty acid growth hormone receptor messenger RNA metabolite nonhuman ovary ovary function ovulation puerperium reverse transcription polymerase chain reaction somatomedin C somatomedin binding protein
2-s2.0-85039078015,---
2-s2.0-85038591932,---
2-s2.0-85038264240, Adolescent Adult Bone Resorption Cell Line Coculture Techniques Dental Cementum Female Humans In Vitro Techniques Interleukin-1beta Male Monocytes Osteoclasts Osteogenesis Osteoprotegerin Periodontal Ligament RANK Ligand RNA Reverse Transcriptase Polymerase Chain Reaction adolescent adult bone development cell line coculture cytology female human in vitro study interleukin 1beta isolation and purification male metabolism monocyte osteoclast osteoclast differentiation factor osteolysis osteoprotegerin periodontal ligament physiology reverse transcription polymerase chain reaction tooth cementum
2-s2.0-85038896163,---
2-s2.0-85038907577," Amino Acids Article Epitopes Genetic Variation Hemagglutinin Glycoproteins, Influenza Virus Humans Influenza A Virus, H3N2 Subtype Influenza A virus (H3N2) Influenza Vaccines Influenza virus hemagglutinin Influenza, Human Phylogeny RNA, Viral Seasons Thailand amino acid amino acid sequence antigenic variation chemistry epitope flu like syndrome genetic variation genetics hemagglutinin hemagglutinin gene human immunology influenza influenza A (H3N2) influenza vaccine nonhuman nucleotide sequence phylogeny protein structure season viral genetics virus RNA virus detection virus gene virus strain"
2-s2.0-85037528847, Energy conservation Energy insecurity Energy supplies Energy utilization Gamification Government agencies Public schools School buildings Societies and institutions Statistical tests Students Students' behaviors Surveys Thailand Total energy consumption
2-s2.0-85037035609, Article adsorption binding affinity carbon chemical structure density functional theory electric conductivity electric potential electron energy graphene hardness priority journal pyrene pyrene derivative surface area
2-s2.0-85036619587, Laos earthquake magnitude frequency-magnitude distribution hazard assessment seismic data seismic hazard seismic source seismicity
2-s2.0-85036581011, Article adolescent adult aged amphiregulin cancer grading cancer localization cancer prognosis cell differentiation colorectal cancer controlled study epidermal growth factor receptor female human human tissue liver metastasis major clinical study male middle aged peritoneum metastasis prediction protein blood level sensitivity and specificity sex difference very elderly young adult
2-s2.0-85037616835," 4-methyl-N-(3-(4-methylimidazol-1-yl)-5-trifluoromethylphenyl)-3-(4-pyrazin-2-ylpyrimidin-2-ylamino)benzamide Adult Article BCR ABL protein Benzamides Drug Administration Schedule Female Fusion Proteins, bcr-abl Humans Imatinib Mesylate Korea Leukemia, Myeloid, Chronic-Phase Male Middle Aged Neutropenia Philadelphia chromosome positive cell Protein Kinase Inhibitors Pyrazines QT prolongation Remission Induction Thrombocytopenia Treatment Outcome adult anemia benzamide derivative blast cell crisis cancer growth chemically induced chronic myeloid leukemia clinical trial comparative study constipation controlled clinical trial controlled study cytogenetics diarrhea drug administration drug dose reduction drug efficacy drug safety dyspepsia edema face edema fatigue female genetics hair loss headache human hybrid protein hyperbilirubinemia hypercholesterolemia hyperglycemia hypocalcemia hypophosphatemia imatinib intention to treat analysis laboratory test liver toxicity major clinical study male middle aged multicenter study myalgia myeloid leukemia nausea neutropenia phase 3 clinical trial physical examination priority journal protein kinase inhibitor protein tyrosine kinase inhibitor pruritus pyrazine derivative radotinib randomized controlled trial rash reciprocal chromosome translocation remission thrombocytopenia treatment outcome"
2-s2.0-85037069104," APC protein Adenomatous Polyposis Coli Protein Animals Article Catenins Haploinsufficiency Intestinal Neoplasms Mice Mice, Knockout Rho kinase adenomatous polyposis coli protein, mouse allele animal animal cell animal experiment animal model animal tissue apoptosis carcinogenesis caspase 3 catenin cell proliferation controlled study delta catenin enzyme inhibition gene identification gene loss genetic association genetics haploinsufficiency heterozygosity loss intestine cancer intestine tumor knockout gene knockout mouse metabolism mouse mutagenesis nonhuman pathology priority journal protein p120 rho-Associated Kinases tumor suppressor gene"
2-s2.0-85035045789, Acrylic acids Acrylic monomers Amides Aromatic compounds Ascorbic acid Carboxylic acids Copolymerization Core-shell morphologies Differential scanning calorimetry Dyes Fourier transform infrared spectroscopy Gels High resolution transmission electron microscopy Magnetic resonance spectroscopy Microemulsion polymerization Microemulsions Morphology N- isopropylacrylamide Nanogels Nanostructured materials Nuclear magnetic resonance spectroscopy Organic acids Organic polymers Polyethylenes Polymerization Scanning electron microscopy Shells (structures) Transmission electron microscopy
2-s2.0-85037361850, A-center CMS detectors Center-of-mass energies Centre-of-mass energies Dark matter Elementary particles Final state Galaxies Heavy flavours Integrated luminosity Proton proton collisions Transverse momenta
2-s2.0-85034767138, Ball end milling Ball milling Ball-end milling process Cutting Cutting conditions Daubechies Wavelet Detection system Discrete wavelet transforms Dynamic cutting forces Forecasting Milling (machining) Monitoring system Surface roughness Wavelet transforms chatter
2-s2.0-85034848016," Alleles Amino Acid Substitution Article Biomarkers Child, Preschool Consanguinity Female Genetic Association Studies Genetic Predisposition to Disease Genotype Glanzmann disease Humans ITGA2B protein, human ITGB3 protein, human Integrin alpha2 Integrin beta3 Male Mutation Phenotype Thai (people) Thrombasthenia Whole Exome Sequencing alanine allele alpha2 integrin alpha2b integrin amino acid sequence amino acid substitution arginine aspartic acid beta3 integrin biological marker bleeding time blood clot retraction case report child clinical article clinical feature consanguinity disease severity epistaxis exon family study female fibrinogen receptor flow cytometry gene deletion gene expression gene mutation genetic analysis genetic association study genetic predisposition genetic variation genetics genotype glutamine hematological parameters heterozygosity histidine homozygosity human leucine male missense mutation molecular diagnosis molecular pathology mutation nonsense mutation oral bleeding phenotype preschool child priority journal segregation analysis sequence alignment symptom assessment thrombocyte aggregation thrombocyte count thrombocyte membrane unclassified drug valine whole exome sequencing"
2-s2.0-85034734832, Chip formations Computer control systems Computer numerical control Cutting Cutting conditions Cutting forces Dynamic cutting forces Numerical control systems Process control Surface roughness Surface roughness profiles Time and frequency domains Turning process Wavelet transforms
2-s2.0-85037043573," Animals Article C reactive protein Disease Models, Animal Hyperplasia Kidney Failure, Chronic Mice Nephrectomy Tetrazoles Tunica Intima animal animal experiment animal model animal tissue antiinflammatory activity chronic kidney failure cilostazol complication controlled study disease model hyperplasia in vitro study interleukin 6 intima intimal hyperplasia limit of quantitation male microRNA 143 microRNA 145 mouse n(g),n(g) dimethylarginine nephrectomy nonhuman pathology placebo reperfusion injury tetrazole derivative tumor necrosis factor tunica media uninephrectomy vascular disease vasculotropin"
2-s2.0-85034059715, Aqueous layer Article Ascomycetes Ascomycota Aureobasidium pullulans Bio-surfactants Biomolecules Critical micelle concentration Crude oil Cryptocarya Cultivation Esters Fragrant biosurfactant Fungi Gulf of Thailand Lactones Massoia lactone Micelles Pacific Ocean Property Pullulans Sodium chloride South China Sea Structural diversity Surface Tension Surface tension Surface tension values Surface-Active Agents Thailand aqueous solution biological production biosurfactant carbon nuclear magnetic resonance carbon source cell growth chemistry concentration (composition) critical micelle concentration ester fungus heavy oil heteronuclear single quantum coherence high performance liquid chromatography lactone liquid chromatography-mass spectrometry marine environment mass spectrometry metabolism micelle nonhuman nucleotide sequence pH polymerase chain reaction proton nuclear magnetic resonance purification rainforest retention time reversed phase high performance liquid chromatography salinity surface tension surfactant temperature thermostability thin layer chromatography time
2-s2.0-85034068717, Cell transmission model Cells Closed form Computation theory Cytology First in first out properties Frequency modulation Heterogeneous mobility Macroscopic modelling Matrix algebra Multiclass macroscopic modeling Number of lanes Property Roads and streets Street traffic control Traffic flow theory Traffic networks Vehicles analytical framework matrix mobility modeling motorway numerical method road traffic traffic management
2-s2.0-85035142440," Animals Apoptosis Cats Cells, Cultured Male Mice Nanoparticles RAW 264.7 Cells RAW 264.7 cell line Spermatogonia Sterilization, Reproductive Testis Xanthones animal apoptosis cat cell culture chemistry cytology drug effect male mangostin mouse nanoparticle procedures reproductive sterilization spermatogonium testis veterinary medicine xanthone derivative"
2-s2.0-85033572607, Alcohols Annual cost Distillation Distillation columns Distillation equipment Environmental concerns Environmental impact Etherification reactions Extractive distillation Fuel additives Ionic liquid solvents Ionic liquids Optimization approach Recovery Solvents Techno-economic assessment Tert-butyl alcohols
2-s2.0-85033681749, Biodiesel Calcination Calcium Calcium and magnesiums Catalysis Catalyst activity Catalysts Dolomite Esters Fatty acid methyl ester Fatty acid methyl esters (FAMEs) Fatty acids Lime Optimized conditions Solid base catalysts Solketal Solvent free conditions Transesterification
2-s2.0-85033564863, Anisian Foraminifera Laos Tethys fauna foraminifera paleobiogeography paleoenvironment paleontology taxonomy
2-s2.0-85037815234, Branching fractions Branching ratio Charged leptons Fermions Germanium compounds Integrated luminosity Proton proton collisions Seesaw mechanism Selection criteria Tellurium compounds The standard model article expectation fermion flavor lepton
2-s2.0-85032809262, Article Saccharum officinarum biomass carbon carbonylation catalysis catalyst decomposition dolomite hydrogen industrial chemical ionization moisture nitrogen oil oxygen particle size priority journal protein degradation pyrolysis surface area temperature thermal conductivity thermography unclassified drug
2-s2.0-85032829181," Animals China Gene Flow Hybridization, Genetic Isthmus of Kra Laos Macaca fascicularis Macaca mulatta Malaysia Myanmar Polymorphism, Single Nucleotide Primates Thailand ancestry animal conspecific gene flow genetic analysis genetic marker genetics hybrid hybrid zone hybridization primate rhesus monkey single nucleotide polymorphism wild population"
2-s2.0-85032898839," Adult Antibodies, Monoclonal Article Cardiovascular Diseases Female Follow-Up Studies Graft Rejection Graft Survival Heart Transplantation Humans Immunosuppressive Agents Male Middle Aged Postoperative Complications Prognosis Recombinant Fusion Proteins Risk Factors acute graft rejection adult basiliximab calcineurin inhibitor cardiovascular disease clinical article cyclosporin cytomegalovirus infection death drug effect drug efficacy drug safety female follow up fusion protein graft rejection graft survival heart transplantation human immunosuppressive agent immunosuppressive treatment low drug dose low risk population male methylprednisolone middle aged monoclonal antibody mycophenolic acid postoperative complication prednisolone priority journal prognosis risk factor tacrolimus"
2-s2.0-85031791462, Acidic solutions Adsorption Atomic force microscopy Bacterial cellulose Bacterial nanofibers Cellulose Cellulose Fibers Chemical analysis Chemical detection Composite materials Composites ELectrochemical detection Electrochemistry Energy dispersive spectroscopy Gravimetry Ions Nanofibers Nickel Nickel compounds Physicochemical property Scanning electron microscopy SnO2 Thermally stable Thermogravimetric analysis Tin compounds X ray diffraction X-ray energy dispersive spectroscopy
2-s2.0-85033598844,---
2-s2.0-85031501650," Adult Aged Aged, 80 and over Attitude to Health Buddhism Female Humans Male Middle Aged Neoplasms Spirituality Terminally Ill adult aged attitude to health comparative study female human male middle aged neoplasm psychology religion terminally ill patient very elderly"
2-s2.0-85032985724," Adult Autoantibodies Female Gene Expression Profiling Gene Expression Regulation Humans IL6 protein, human IL8 protein, human Immunoglobulin G Interleukin-6 Interleukin-8 Lupus Nephritis MIRN10 microRNA, human Male Mesangial Cells MicroRNAs RNA, Messenger adult autoantibody female gene expression profiling gene expression regulation human immunoglobulin G immunology interleukin 6 interleukin 8 lupus erythematosus nephritis male mesangium cell messenger RNA metabolism microRNA"
2-s2.0-85032897320," Aged, 80 and over Asian Asian Continental Ancestry Group Asian continental ancestry group Cadaver Dissection Female Humans Laryngeal Nerves Male aged anatomy anatomy and histology cadaver clinical article dissection female human human tissue joint laryngeal nerve male muscle superior laryngeal nerve thyroid gland validity very elderly"
2-s2.0-85031321875, Article DNA Thai (people) allele capillary electrophoresis female forensic genetics gene locus gene sequence genetic variability human male performance priority journal short tandem repeat single nucleotide polymorphism
2-s2.0-85031103516, ATP binding pockets Binding energy Bins Bioinformatics Computational simulation DNA DNA topoisomerase Drug products Ketones Mansonone G Molecular modeling Molecular modeling studies Naturally occurring Preferential binding Semi-synthetic derivatives
2-s2.0-85031722075," Article Cardiology Cataract Health Personnel Humans Lens, Crystalline Occupational Exposure Radiation Injuries Radiation Protection Radiometry Thailand adult age analysis cardiologist cardiology cataract controlled study disease association eye examination gender health care personnel human lens nurse occupational exposure ophthalmologist optically stimulated luminescence dosimetry patient risk prevalence radiation dose radiation injury radiation measurement radiation protection radiation response radiometry"
2-s2.0-85032472545," Animals Archaea Bacteria Bacterial Physiological Phenomena Biological Evolution Cluster Analysis DNA sequence Ecosystem Environment Genome Humans Likelihood Functions Multigene Family Phylogeny RNA 16S RNA, Ribosomal, 16S Sequence Analysis, DNA animal archaeon bacterial phenomena and functions bacterium classification cluster analysis ecological approach ecosystem environment evolution generalist genetics genome habitat type human meta analysis meta-analysis microbial activity microbial community multigene family new species phylogeny physiology specialist speciation (biology) species differentiation statistical model taxonomy"
2-s2.0-85030714759, Article DNA DNA determination Thai (people) Y chromosome biodiversity controlled study forensic genetics gene frequency gene locus gene sequence genealogy genotype haplotype human male massively parallel sequence paternity test population priority journal short tandem repeat
2-s2.0-85031920806," Animals Antiviral Agents Cell Line Cell Survival Cercopithecus aethiops Chlorocebus aethiops Dengue Dengue Virus Dengue virus Dose-Response Relationship, Drug Flavones Humans Macaca mulatta Molecular Structure Zika Virus Zika Virus Infection Zika fever Zika virus animal antivirus agent cell line cell survival chemical structure chemistry dengue dose response drug effect flavone derivative human rhesus monkey"
2-s2.0-85030473409," Adolescent Adult Aged Article Biomarkers CpG island DNA Methylation DNA methylation DNA, Viral Female Genetic Markers Human papillomavirus 16 Human papillomavirus type 16 Humans Middle Aged Prognosis RNA methylation Thai (people) Uterine Cervical Neoplasms Young Adult adolescent adult aged amino acid sequence apoptosis biological marker cancer growth cancer prognosis cancer screening cervical cancer cell line chemistry controlled study epigenetics female genetic marker genetics human isolation and purification middle aged nonhuman precancer prediction priority journal prognosis protein degradation protein expression pyrosequencing quantitative analysis receiver operating characteristic sensitivity and specificity uterine cervix cancer uterine cervix tumor virology virus DNA virus detection virus particle young adult"
2-s2.0-85030234645, Article DNA template RNA stability acute heart infarction autopsy case control study complementary DNA controlled study forensic identification heart injury human microRNA microRNA 133a microRNA 208b microRNA 499 priority journal real time polymerase chain reaction unclassified drug
2-s2.0-85029673618, Article Thailand ancestry group gene frequency genetic distance genetic marker haplotype map human human genome population priority journal
