Eid,Index_Terms
2-s2.0-85047007592,Acetic acid steam reforming Carbon Nanostructures Co-based catalysts Field emission scanning electron microscopy Metal-support interactions Platelet carbon nanofibers Silica fibers Transmission electron
2-s2.0-85056927218,"Accidental Falls Activities of Daily Living Aged Aged, 80 and over Cross-Sectional Studies Female Frail Elderly Geriatric Assessment Health Status Housing Humans Male Multivariate Analysis Qualitative Research Risk Factors Thailand"
2-s2.0-85060184892,---
2-s2.0-85022177717,Convolutional encoders Convolutional neural network Landscape metrics Object classification Object segmentation Overall quality Road segmentation Training data sets
2-s2.0-85048387514,Base sequences Binding affinities Binding free energy Cycloleucine DNA Hydrogen Bonding Molecular Conformation Molecular Dynamics Simulation Molecular Structure Molecular dynamics simulations Peptide Nucleic Acids Peptide nucleic acid RNA Simulated structure Structural feature Typical structures
2-s2.0-85059951245,Acetobacter xylinum Anti-microbial activity Gelatin High surface area Monkey kidney cells Nanostructured composites Optical transparency Staphylococcus aureus
2-s2.0-85043236866,Design and Development Functional structure Moodle LMS On-line learning systems Research instruments Research methodologies Statistically significant difference System architectures
2-s2.0-85039449530,"Animals Animals, Wild Breeding Conservation of Natural Resources Embryo Transfer Endangered Species Felidae Female Hormones Insemination, Artificial Monitoring, Physiologic Ovary Ovulation Induction Pregnancy Reproduction Reproductive Techniques, Assisted Seasons"
2-s2.0-85053161564,Contingency screening Contingency screening and ranking Operational applications Operational conditions Power system security assessment Probability of occurrence Risk-based Transmission systems
2-s2.0-85047618371,Data dissemination protocols Intelligent transport systems Intermittent connections Multihop wireless network Named Data Networks (NDN) Named data networkings Roadside units TCP/IP implementation
2-s2.0-85049207535,---
2-s2.0-85058885422,---
2-s2.0-85045554892,---
2-s2.0-85070861352,---
2-s2.0-85060277158,---
2-s2.0-85054972627,Acanthaceae Animals Biphenyl Compounds Cell Line Glutamic Acid Mice Neurons Neuroprotective Agents Oxidative Stress Picrates Plant Extracts Plant Leaves
2-s2.0-85038867462,"Animals Artemia Arthropod Proteins Bees Cytosol DEAD-box RNA Helicases DNA Virus Infections DNA, Viral Drosophila Gene Silencing I-kappa B Kinase Immunity, Innate Phylogeny RNA, Double-Stranded Signal Transduction Up-Regulation White spot syndrome virus 1"
2-s2.0-85144177415,---
2-s2.0-85049655427,Adult Female Humans Incidence Low Back Pain Male Middle Aged Occupational Diseases Occupational Health Prospective Studies Risk Factors Self Report Surveys and Questionnaires Workload
2-s2.0-85035088244,Carbon dioxide utilization Integrated fuel cell systems Integrated systems Internal reforming Operating condition Operating parameters Recirculations System configurations
2-s2.0-85040547931,"Aged Aged, 80 and over Case-Control Studies Cross-Cultural Comparison Female Food Preferences Humans Japan Male Middle Aged Spices Taste Perception Taste Threshold Thailand"
2-s2.0-85054821288,Acid catalysis Interconnected structures Narrow pore size distributions Polybenzoxazine Porous carbons Surface area analysis Templating Water soluble compounds
2-s2.0-85044339398,---
2-s2.0-85041748957,---
2-s2.0-85062171866,---
2-s2.0-85047314220,Alternative solutions Amine mixtures Amine solutions Chemical absorption Environmental concerns High energy consumption Mixed solution Monoethanolamine
2-s2.0-85048179306,---
2-s2.0-85147713497,---
2-s2.0-85057601344,---
2-s2.0-85047167635,"Animals Antioxidants Antiparkinson Agents Catalase Corpus Striatum Dopaminergic Neurons Male Malondialdehyde Neuroprotective Agents Parkinsonian Disorders Rats, Wistar Rotenone Substantia Nigra Superoxide Dismutase Triterpenes Tyrosine 3-Monooxygenase"
2-s2.0-85052331097,CAPTCHAs Lowercase Response rate Security practitioners User tests Visual feature Visual perception
2-s2.0-85042389036,---
2-s2.0-85049301587,---
2-s2.0-85050807596,---
2-s2.0-85041495380,Botulinum Toxins Humans Movement Disorders Muscle Spasticity Neurotoxins
2-s2.0-85037621941,Adult Equipment Design Equipment Failure Analysis Female Humans Lithotripsy Male Perioperative Period Prospective Studies United States Ureter Ureteroscopes Ureteroscopy Urolithiasis Young Adult
2-s2.0-85057626112,Empty fruit bunches Hot compressed water Lignin depolymerization Microwave reactions Phenolic compounds
2-s2.0-85045640382,"Anti-Infective Agents, Local Back Pain Calcineurin Inhibitors Clotrimazole Drug Interactions Female Humans Kidney Transplantation Tacrolimus Young Adult"
2-s2.0-85045459881,Hoek-Brown Pseudo-static analysis Seismic displacement Slope Upper Bound
2-s2.0-85056320658,---
2-s2.0-85054932486,---
2-s2.0-85052737316,Adult Humans Internationality Primary Prevention Psychiatry Suicide
2-s2.0-85032511738,Brookfield viscometers Fourier self-deconvolution Non-volatile organic compounds Organic/Inorganic hybrids Oriented polypropylene Waterborne Polyurethane Waterborne polyurethane adhesives Waterborne polyurethanes
2-s2.0-85063330758,---
2-s2.0-85041557278,Aged Catheter Obstruction Catheters Endoscopes Female Humans Middle Aged Omentum Peritoneal Dialysis Thrombosis Treatment Failure
2-s2.0-85052839755,---
2-s2.0-85048495781,---
2-s2.0-85045281768,Drug permeation Ibuprofen Iontophoretic Poly(p-phenylenevinylene) Transdermal drug delivery
2-s2.0-85042553922,"Asia, Southeastern Asian Continental Ancestry Group China Chromosomes, Human, Y DNA, Mitochondrial Ethnic Groups Genetic Variation Genetics, Population Haplotypes History, Ancient Humans Language Microsatellite Repeats Thailand"
2-s2.0-85055049678,Aged Anatomic Variation Asian Continental Ancestry Group Cadaver Female Humans Male Pectoralis Muscles Ribs
2-s2.0-85055441994,---
2-s2.0-85052636861,"Animals Antibodies, Viral Body Fluids Classical Swine Fever Classical Swine Fever Virus Cross Reactions Enzyme-Linked Immunosorbent Assay Immunoglobulin A Immunoglobulin G Swine Vaccination Viral Vaccines"
2-s2.0-85059461222,Circular coils Earth magnetic fields Electron antineutrinos Energy spectra External magnetic field Neutrino mass Organic liquid scintillator Photo multiplier tube (PMTs)
2-s2.0-85063205666,---
2-s2.0-85046876678,Carbon-doped titanium dioxide Core shell nano structures Electrochemical activities First principle calculations High lithium storages High-performance anodes Lithium-ion battery anodes Nanostructured anodes
2-s2.0-85043307556,Biomarkers Humans Metaplasia Precancerous Conditions Stomach Neoplasms
2-s2.0-85047194755,---
2-s2.0-85058064727,Online database Online learning Online learning environment Self efficacy Systematic Review Systematic searches
2-s2.0-85027562644,---
2-s2.0-85056609623,---
2-s2.0-85043485030,"Animals Aquaporin 2 Chromatography, High Pressure Liquid Computational Biology Deamino Arginine Vasopressin Immunoprecipitation Kidney Medulla Kidney Tubules, Collecting Male Membrane Transport Proteins Phosphorylation Protein Binding Protein Interaction Maps Protein Kinases Proteomics Rats, Sprague-Dawley Receptors, Vasopressin Tandem Mass Spectrometry"
2-s2.0-85039846745,Concentration inequality Non-uniform Normal approximation S-method Sign-change Simple random walk
2-s2.0-85058965397,---
2-s2.0-85041139198,---
2-s2.0-85052747581,Adsorption tests Freundlich models Geopolymer Heavy metal removal High-efficiency Initial concentration Langmuir models Removal efficiencies
2-s2.0-85054031311,Abatement costs Environmental aspects Environmental performance GHG emission Landfilling Sustainable waste management Waste management practices Waste management systems
2-s2.0-85047729577,"Anatomic Landmarks Cephalometry Cone-Beam Computed Tomography Humans Imaging, Three-Dimensional Maxilla Observer Variation Reproducibility of Results Skull"
2-s2.0-85147668502,---
2-s2.0-85058935797,---
2-s2.0-85046906040,---
2-s2.0-85050968237,Depth-profile analysis Doped silicas High specific surface area Metathesis Metathesis catalysts Spherical silica Structure directing agents Tungstate W^5+ species
2-s2.0-85049964164,Anal Canal Defecation Defecography Digital Rectal Examination Disease Management Humans Rectal Diseases
2-s2.0-85057847743,---
2-s2.0-85057520893,---
2-s2.0-85041230497,"Bibenzyls Carcinoma, Non-Small-Cell Lung Cell Line, Tumor Dendrobium Humans Lung Neoplasms Neoplastic Stem Cells Phenotype"
2-s2.0-85047013666,"Animals Circoviridae Infections Circovirus Dog Diseases Dogs Evolution, Molecular Genome Size Genome, Viral High-Throughput Nucleotide Sequencing Phylogeny Recombination, Genetic Respiratory Tract Diseases Sequence Analysis, DNA Thailand"
2-s2.0-85051208796,"Base Sequence Biodiversity Candida tropicalis DNA, Fungal Fatty Acids Fatty acid composition Lipid accumulations Lipids Mangrove forest Nitrogen Nitrogen depletion Oleaginous yeasts Phylogeny Pseudozyma tsukubaensis RNA, Ribosomal Species Specificity Thailand Triglyceride Water Microbiology Wetlands Yeasts"
2-s2.0-85037147132,"Antineoplastic Agents, Phytogenic Benzylisoquinolines Cell Cycle Checkpoints Cell Line, Tumor Cell Proliferation Cell Survival Colorectal Neoplasms Cyclin-Dependent Kinase Inhibitor p21 Dose-Response Relationship, Drug Drug Screening Assays, Antitumor Gene Expression Regulation, Neoplastic HT29 Cells Humans Mutation Tumor Suppressor Protein p53 Up-Regulation"
2-s2.0-85041680827,"Animals Antiviral Agents Cell Line Cell Survival Dengue Dengue Virus Dose-Response Relationship, Drug Flavanones Humans Hydrogen-Ion Concentration Molecular Dynamics Simulation Myrtales Protein Conformation Time Factors Viral Envelope Proteins Virus Internalization"
2-s2.0-85053778287,---
2-s2.0-85056084379,---
2-s2.0-85042128317,"Acetaminophen Analgesics, Non-Narcotic Animals Astrocytes Cell Line, Transformed Dose-Response Relationship, Drug Interleukin-1beta Mice NF-kappa B Time Factors Tumor Necrosis Factor-alpha Up-Regulation"
2-s2.0-85048940239,Anti-inflammatories Free radical scavenging activity Gel-filtration chromatography Inducible nitric oxide synthase (iNOS) Litchi chinensis Peptide hydrolysates Reversed-phase high-performance liquid chromatography lychee
2-s2.0-85049118943,Azobenzene group Benzoxazine monomers Conformational change Metallo-supramolecular Packing structure Poly(acrylic acid ) Polyacrylic acids Tunable properties
2-s2.0-85051439474,Conventional systems Electrical efficiency Hydrogen concentration Membrane area Performance analysis Performance evaluations Selective membrane separators Thermal efficiency
2-s2.0-85042655838,---
2-s2.0-85048748130,---
2-s2.0-85050402448,---
2-s2.0-85078338096,---
2-s2.0-85058680496,Aluminium composites Composite microstructures Linear shrinkage Micro-structure evolutions Nitrogen atmospheres Powder injection moulding Thermal debinding Volumetric shrinkage
2-s2.0-85057616442,Class under tests Driver Generation tools Object oriented Object-oriented program Sequence diagrams Stub Testing process
2-s2.0-85041960467,---
2-s2.0-85044456392,"Amino Acid Sequence Animals Disintegrins Female High-Throughput Nucleotide Sequencing Male Metalloproteases Myanmar Protein Isoforms RNA, Messenger Russell's Viper Transcriptome Viper Venoms"
2-s2.0-85066475133,Active Learning Business organisation Business plans Creativity management Entrepreneurial university Entrepreneurship education Knowledge creations Undergraduate students
2-s2.0-85074965846,---
2-s2.0-85050155670,Digital technologies Empirical case studies Governmental authorities Information management systems Public and private sector Safety and securities Social management Thailand
2-s2.0-85041861788,First-order kinetic reaction Hydroxypropyl methylcellulose Nucleation and growth Physicochemical property Product shelf life Starch crystallinity Starch retrogradation Virgin coconut oil
2-s2.0-85060154185,---
2-s2.0-85022071002,"Animals Bone Diseases, Metabolic Calcium Diabetes Mellitus, Type 2 Female Rats Rats, Wistar"
2-s2.0-85038014269,"Adaptation, Physiological Animals Aquaculture Artemia Astacoidea Biological Evolution Complement System Proteins Host-Pathogen Interactions Humans Immunity, Innate Immunologic Memory Ostreidae Shellfish Vertebrates"
2-s2.0-85058433758,Defamation Dependency structures Grammatical dependencies Political news Social communities Social media Social media users Text classification
2-s2.0-85026847132,---
2-s2.0-85051416784,---
2-s2.0-85041720090,Effect of heat treatments Electrochemical surface area Heat treatment temperature In-plane conductivity Orr activities Oxygen reduction reaction PEM fuel cell Sodium borohydrides
2-s2.0-85042707817,Anthraquinone Anthraquinones Antibodies Biosensing Techniques C-Reactive Protein C-reactive proteins Differential pulse voltammetry ELectrochemical detection Electrochemical Techniques Electrochemical immunosensors Electrochemical signals Electrodes Graphite Humans Printing Sandwich format Screen-printed graphene electrodes
2-s2.0-85055491350,"Biomarkers, Tumor Breast Neoplasms Female Gene Amplification Humans Image Processing, Computer-Assisted Immunohistochemistry Receptor, ErbB-2"
2-s2.0-85084966821,Algorithm study Mixed integer Petrochemical industry
2-s2.0-85054410604,"Bacillus licheniformis Bacterial Proteins Binding Sites Catalytic Domain Fructans Hexosyltransferases Hydrogen Bonding Models, Molecular Molecular Dynamics Simulation Mutation Oligosaccharides Protein Binding"
2-s2.0-85048311210,Agaricales Flavonoids Melanins Melanocytes Monophenol Monooxygenase
2-s2.0-85050805351,Hepatitis A virus Incidence Israel Vaccination
2-s2.0-85046413510,"Genetic Variation Humans Malaria, Vivax Membrane Proteins Plasmodium vivax Polymorphism, Genetic Protein Structure, Secondary Protozoan Proteins Selection, Genetic Sequence Analysis, DNA Thailand"
2-s2.0-85041727486,Biosensing Techniques Electrochemical Techniques Electrochemical immunosensors Electrodes Gold Human chorionic gonadotropins Humans Immunoassay Metal Nanoparticles Open circuit potential Platinum Platinum nano-particles Reproducibility of Results Screen-printed carbon electrodes
2-s2.0-85053335454,Magnetic tunneling Magnetomechanical effects Recording head Tunneling magneto resistive Tunneling magnetoresistance
2-s2.0-85059965712,Computational capability Convolutional Neural Networks (CNN) Convolutional neural network Event Embedding Numerical information Performance metrics Prediction performance Stock market prediction
2-s2.0-85030673725,Color transition Crystalline fractions Interlamellar spacing Molecular organization Polydiacetylenes Solvent effects Thermochromic behavior Thermochromism
2-s2.0-85030689461,---
2-s2.0-85028694310,"Bacterial consortium Biodegradation, Environmental Cooperative interactions Geologic Sediments Mangrove sediments Meta-cleavage pathway Microbial consortia Mycobacterium Novosphingobium Ortho-cleavage pathway Pyrenes"
2-s2.0-85045043144,"Adolescent Adult Disease-Free Survival Female Follow-Up Studies Humans Male Middle Aged Platelet Count Prednisolone Purpura, Thrombocytopenic, Idiopathic Recurrence Survival Rate"
2-s2.0-85057757276,Continuous reactors Heat regeneration Operating parameters Optimum conditions Potassium dawsonite Response parameters Sorption temperature Superficial gas velocities
2-s2.0-85058100356,---
2-s2.0-85050131468,Cognitive Strategy Effectiveness and efficiencies Solving performance Spatial abilities Spatial problems Spatial strategies Training material Training process
2-s2.0-85045939365,---
2-s2.0-85020815543,---
2-s2.0-85052754077,Casting solutions Cellulose aerogels Cellulose sheets Cellulose solutions Composite sheets Dissolution systems Refractive index matching Solvent exchanges
2-s2.0-85049830878,Average normal stress Dental pulp Dental pulp vitalities Loading condition Mechanical force Static structural analysis Tooth Ultimate strength
2-s2.0-85040167175,Animals Antibodies Bacterial pathogens Chlorophenols Colorimetric assays Colorimetry Escherichia coli Feces Galactosides Highly sensitive detections Immunoassay Immunomagnetic Separation Immunomagnetic separation Limit of Detection Milk Paper-based analytical devices Pathogenic bacterium Salmonella typhimurium Sandwich immunoassay Starlings
2-s2.0-85047198537,---
2-s2.0-85129416364,---
2-s2.0-85047222753,Adsorption capacities Arecaceae Cellulase Enhancement efficiency Fruit Fungal Proteins Hydrolysis Hydrophilic-hydrophobic Lignocellulosic material Nonionic surfactant adsorption Palm fruit bunch Sodium hydroxide solutions Surface-Active Agents Surfactant adsorption Trichoderma
2-s2.0-85041811056,"Cultural Characteristics Education, Dental Learning"
2-s2.0-85055188449,---
2-s2.0-85047883101,---
2-s2.0-85050130167,"Adolescent Adult Aged Aged, 80 and over Caliciviridae Infections Child Child, Preschool Disease Outbreaks Gastroenteritis Genotype Humans Infant Middle Aged Molecular Epidemiology Norovirus Phylogeny RNA, Viral Thailand Young Adult"
2-s2.0-85008354493,"Adolescent Adult Computer Terminals Ergonomics Female Humans Imaging, Three-Dimensional Movement Musculoskeletal Diseases Neck Occupational Diseases Posture Rest Shoulder Thailand"
2-s2.0-85049253738,Bronchoscopes Bronchoscopy Lung
2-s2.0-85044737812,"Agglutination Animal Diseases Animals Anti-Bacterial Agents Arthropod Proteins Bacterial Toxins Hemocyanins Hemolymph Hepatopancreas Immunity, Innate Necrosis Penaeidae Shellfish Vibrio Infections Vibrio parahaemolyticus"
2-s2.0-85056065681,Healthy Volunteers Humans Movement Posture Thoracic Wall
2-s2.0-85053161886,"Animals Anti-Bacterial Agents Drug Resistance, Bacterial Escherichia coli Escherichia coli Infections Farms Microbial Sensitivity Tests Plasmids Red Meat Replicon Swine beta-Lactamases"
2-s2.0-85042682561,"Adult Aged Cell Nucleus Enzyme-Linked Immunosorbent Assay Female Humans Interleukin-33 Keratinocytes Male Methotrexate Middle Aged Psoriasis RNA, Messenger Skin Ultraviolet Therapy Up-Regulation Young Adult"
2-s2.0-85050377983,Clustering results Data stream clustering Elliptic functions Micro-clusters Normalized mutual information One-pass Space and time complexity Synthetic and real data
2-s2.0-85058712631,---
2-s2.0-85039159576,"Administration, Inhalation Adult Behavior, Addictive Craving Cross-Over Studies Cues Double-Blind Method Humans Inhalant Abuse Lavandula Male Oils, Volatile Young Adult"
2-s2.0-85048709924,Binding free energy Enzyme active sites Generalized Born surface areas (GBSA) Hydrophobic interactions Intrinsic resistance Molecular dynamics simulations Proteomics Yersinia enterocolitica
2-s2.0-85021300848,"Aged Combined Modality Therapy Double-Blind Method Female Gait Disorders, Neurologic Humans Male Parkinson Disease Physical Therapy Modalities Transcranial Direct Current Stimulation Walking Speed"
2-s2.0-85062859793,---
2-s2.0-85056798729,---
2-s2.0-85049155044,---
2-s2.0-85035331598,"Cephalometry Child Cleft Palate Cone-Beam Computed Tomography Female Humans Male Neoplasms, Radiation-Induced Orthodontics, Corrective Radiation Exposure Radiography, Dental Radiography, Panoramic Retrospective Studies Risk Tomography, X-Ray Computed"
2-s2.0-85045011508,---
2-s2.0-85047668404,---
2-s2.0-85031812835,Low temperature preparation Molecular oxygen adsorption Non-stoichiometric Photo catalytic degradation Photocatalytic activities Photocatalytic performance Photoluminescence measurements SnO2
2-s2.0-85054036077,Charged leptons Higgs Boson decay Measured signals Production process Proton proton collisions Signal strengths Standard deviation The standard model
2-s2.0-85068981951,---
2-s2.0-85049863844,---
2-s2.0-85044845660,"Acinetobacter Infections Acinetobacter baumannii Animals Community-Acquired Infections Dog Diseases Dogs Drug Resistance, Multiple, Bacterial Female Genotype Multilocus Sequence Typing Thailand Urinary Tract Infections"
2-s2.0-85040090503,Cohort Studies Colposcopy Early Diagnosis Female Humans Papillomaviridae Papillomavirus Infections Patient Acceptance of Health Care Specimen Handling Thailand Uterine Cervical Neoplasms
2-s2.0-85101583101,---
2-s2.0-85053619106,"Artifacts Cone-Beam Computed Tomography Humans Imaging, Three-Dimensional Phantoms, Imaging Radiation Dosage"
2-s2.0-85058903604,---
2-s2.0-85049251897,---
2-s2.0-85052814087,Clinical evaluation Computed tomography colonography Electronic cleansing Electronic colon cleansing Evaluation measures Objective evaluation Partial volume effect Thresholding methods
2-s2.0-85034585467,Conservation of Natural Resources Environmental Monitoring Environmental Pollutants Gold Industrial Waste Mining Thailand Waste Disposal Facilities
2-s2.0-85052472790,---
2-s2.0-85052103724,Calcined catalysts Hydrogen pretreatment Lewis acid site Metathesis reactions N2 physisorption NH3-TPD techniques Pretreatment temperature Propylene selectivity
2-s2.0-85045506137,---
2-s2.0-85051063546,"Asian Continental Ancestry Group Bone and Bones Child Craniosynostoses Eye Abnormalities Face Female Fractures, Bone Heterozygote Humans Hydrocephalus Mutation, Missense Osteogenesis Imperfecta Procollagen-Proline Dioxygenase Protein Disulfide-Isomerases Scoliosis"
2-s2.0-85045208701,"Adult Attitude of Health Personnel Attitude to Health Circumcision, Male Female HIV Infections Health Personnel Hospitals Humans Infant, Newborn Male Nurses, Neonatal Parents Physicians Pilot Projects Qualitative Research Thailand"
2-s2.0-85047073581,Calcium Cations Chlorophyta Hydrogen Phylogeny Plant Proteins Sodium Sodium-Hydrogen Exchangers
2-s2.0-85057108057,Aging Animals Dogs Fibrosis Germ Cells Male Seminiferous Tubules Sertoli Cells Spermatogenesis Testis
2-s2.0-85040841375,---
2-s2.0-85044744207,---
2-s2.0-85052628288,---
2-s2.0-85051180271,"Adult Attitude of Health Personnel Female Humans Kidney Failure, Chronic Male Middle Aged Nephrology Nursing Nurse-Patient Relations Nurses Perception Sexual Health Thailand"
2-s2.0-85054454626,Adult Aged Breast Diseases Breast Neoplasms Female Humans Image-Guided Biopsy Magnetic Resonance Imaging Mammography Middle Aged Retrospective Studies Risk Factors
2-s2.0-85048976221,---
2-s2.0-85059094534,---
2-s2.0-85089568477,---
2-s2.0-85052199402,---
2-s2.0-85076352482,Assignment problems Boolean satis?ability problems Boolean satisfiability problems Permutation group Polynomial-time Symmetry groups Symmetry-breaking Unit propagation
2-s2.0-85047724403,"Adolescent Antigens, CD Antigens, Differentiation, Myelomonocytic Child Child, Preschool Female HIV Infections HIV Long-Term Survivors Healthy Volunteers Humans Infant Lipopolysaccharide Receptors Longitudinal Studies Lymphocyte Count Macrophage Activation Macrophages Male Mental Disorders Mental Health Monocytes Prospective Studies RNA, Viral Receptors, Cell Surface T-Lymphocytes Viral Load"
2-s2.0-85147695124,---
2-s2.0-85019615771,Aged Drug Therapy Female Humans Male Medication Therapy Management Middle Aged Patient-Centered Care Pharmacists Professional Role Quality of Life Surveys and Questionnaires Tertiary Care Centers
2-s2.0-85048749584,"Activities of Daily Living Aged Carcinoma, Non-Small-Cell Lung Humans Incidence Kaplan-Meier Estimate Kaplan-Meier analysis Lung Neoplasms Non small cell lung cancer Non-small cell lung carcinomata Pneumonectomy Postoperative Care Postoperative radiation therapy Postoperative radiotherapy ROC Curve Radiation Pneumonitis Radiation pneumonitis Radiotherapy Dosage Receiver operating characteristic curve analysis Regression Analysis Retrospective Studies Steroids"
2-s2.0-85108484985,---
2-s2.0-85047383489,Background prediction Bottom quarks Branching fractions Data sample Dijet mass Integrated luminosity Narrow resonances Proton proton collisions
2-s2.0-85053818719,---
2-s2.0-85023170224,Anti-bacterial activity Bacterial cellulose Biological properties Concentration-dependent manners Gram-negative bacteria Polyhexamethylene biguanide Silk sericin Wound dressings
2-s2.0-85055862909,Business growth Helpdesk Microservices Process Improvement Service requests
2-s2.0-85031821306,Adolescent Adult Aged Cross-Sectional Studies Diagnostic Self Evaluation Humans Lower Urinary Tract Symptoms Male Middle Aged Patient Satisfaction Prevalence Young Adult
2-s2.0-85052968790,Continental break-up Continental rifting Danakil Ethiopia Evaporites Magmatic intrusions Seismic reflections rifting
2-s2.0-85042906672,Community Networks Deep Brain Stimulation Female Follow-Up Studies Humans Male Movement Disorders Ontario Retrospective Studies Telemedicine
2-s2.0-85040322317,Biological applications Carbon black nanoparticles Cell viability Fine particles Human lung fibroblasts Liquid benzene Morphological observations Solution plasmas
2-s2.0-85054868885,---
2-s2.0-85056625659,---
2-s2.0-85045759869,---
2-s2.0-85039417015,Centrosymmetric Complex number Eigenvalues Non-negative matrix Nonnegative inverse eigenvalue problem
2-s2.0-85051677305,"Dental Bonding Dental Caries Dental Restoration Failure Dental Stress Analysis Dentin Dentin-Bonding Agents Fluorides, Topical Glass Ionomer Cements Humans Materials Testing Molar Quaternary Ammonium Compounds Resin Cements Saliva, Artificial Silver Compounds Stress, Mechanical Surface Properties Tensile Strength Tooth, Deciduous"
2-s2.0-85048034863,Eye tracking devices Intention to buies Local community OTOP Perceived ease of use Purchasing behaviors SMEs Social influence
2-s2.0-85052729319,"Adolescent Female Hepatitis A Hepatitis A Antibodies Hepatitis A virus Humans Male Seroepidemiologic Studies Students, Medical Thailand Young Adult"
2-s2.0-85042677604,"Animals DNA Diagnosis, Differential Fungi Humans Polymerase Chain Reaction Polymorphism, Restriction Fragment Length Pythiosis Pythium Sensitivity and Specificity"
2-s2.0-85054500037,---
2-s2.0-85050662074,Alginates Anticancer activities Antineoplastic Agents Caco-2 Cells Cancer Chitosan Colorectal adenocarcinoma Curcumin Hep G2 Cells Hepatocellular carcinoma Humans Nanoparticle preparations Nanoparticles Nanoparticulate system Neoplasms Prodrugs Response surface methodology
2-s2.0-85044411323,"Adult Continuous Positive Airway Pressure Diabetes, Gestational Female Glucose Tolerance Test Humans Pregnancy Pregnancy Outcome Sleep Apnea, Obstructive"
2-s2.0-85028502506,---
2-s2.0-85063423845,---
2-s2.0-85037972365,---
2-s2.0-85057321973,Average shear stress Culture dishes Numerical data Rotating rods Rotational speed Shear stress distribution Stationary rings Uniformity index Weighted averages
2-s2.0-85010015810,Animals Centella Plant Extracts Rats Reference Standards Triterpenes
2-s2.0-85046530585,"Adult Advanced Oxidation Protein Products Analysis of Variance Anxiety Disorders Aryldialkylphosphatase Body Mass Index Depressive Disorder, Major Female Humans Lipid Peroxidation Lipoproteins, HDL Male Malondialdehyde Middle Aged Nitric Oxide Oxidative Stress Uric Acid Young Adult"
2-s2.0-85047352543,Aqua-regia digestion Correlation analysis Crustal materials Enrichment factors Geo-accumulation index Inductively coupled plasma optical emission spectrometer Metal concentrations Sediment quality guidelines
2-s2.0-85067075989,---
2-s2.0-85056255685,---
2-s2.0-85037527871,Controllable parameters Controlled deposition Copper sulfides Heterogeneous nucleation and growth Mass transfer characteristics Micro channel reactors Micro-scale structures Solution-based deposition
2-s2.0-85053682004,---
2-s2.0-85054042373,---
2-s2.0-84976902133,Dose-dependent Elongation at break Flexural modulus Heat deflection temperature Loading level Poly(butylene succinate) Strength and elongations Vicat softening point
2-s2.0-85033223295,Both Fourier Transform Infrared Environmentally benign Hydrothermal Hydrothermal carbonization Porous carbons Porous structures Textural properties Xylose dehydrations
2-s2.0-85045183447,Alkylphenol ethoxylates Cloud point extractions Coacervate Economic viability Equilibrium measurements HVOCs Octanol-water partition coefficient Surfactant solution
2-s2.0-85047652244,Cardioplegic Solutions Chemical pre-treatment Colorimetric probes Concentration ranges Control Laboratory Dietary Supplements Environmental friendliness Enzyme Assays Hazardous reagents Ketoglutaric Acids Kinetics Limits of detection and quantitation Phenylglycines Transaminases
2-s2.0-85041619225,"Antimicrobial Cationic Peptides Disease Resistance Gene Expression Regulation, Plant Oryza Plant Diseases Plant Proteins Xanthomonas"
2-s2.0-85058316853,---
