Eid,Funding Count,Cite-By Count,Has Funding,Has Cite-By
2-s2.0-85050402448,0,6,0,1
2-s2.0-85078338096,0,1,0,1
2-s2.0-85058680496,0,0,0,0
2-s2.0-85057616442,0,2,0,1
2-s2.0-85041960467,6,9,1,1
2-s2.0-85044456392,2,11,1,1
2-s2.0-85066475133,5,1,1,1
2-s2.0-85074965846,0,5,0,1
2-s2.0-85050155670,0,0,0,0
2-s2.0-85041861788,0,2,0,1
2-s2.0-85060154185,2,1,1,1
2-s2.0-85022071002,8,8,1,1
2-s2.0-85038014269,0,0,0,0
2-s2.0-85058433758,0,12,0,1
2-s2.0-85026847132,4,2,1,1
2-s2.0-85051416784,0,6,0,1
2-s2.0-85041720090,3,28,1,1
2-s2.0-85042707817,3,61,1,1
2-s2.0-85055491350,3,20,1,1
2-s2.0-85084966821,0,0,0,0
2-s2.0-85054410604,0,20,0,1
2-s2.0-85048311210,7,41,1,1
2-s2.0-85050805351,5,3,1,1
2-s2.0-85046413510,5,7,1,1
2-s2.0-85041727486,4,19,1,1
2-s2.0-85053335454,5,2,1,1
2-s2.0-85059965712,0,45,0,1
2-s2.0-85030673725,3,21,1,1
2-s2.0-85030689461,5,11,1,1
2-s2.0-85028694310,6,110,1,1
2-s2.0-85045043144,1,7,1,1
2-s2.0-85057757276,3,3,1,1
2-s2.0-85058100356,99,37,1,1
2-s2.0-85050131468,0,0,0,0
2-s2.0-85045939365,3,14,1,1
2-s2.0-85020815543,0,14,0,1
2-s2.0-85052754077,1,1,1,1
2-s2.0-85049830878,0,3,0,1
2-s2.0-85040167175,2,156,1,1
2-s2.0-85047198537,0,2,0,1
2-s2.0-85129416364,5,0,1,0
2-s2.0-85047222753,5,13,1,1
2-s2.0-85041811056,0,9,0,1
2-s2.0-85055188449,2,3,1,1
2-s2.0-85047883101,101,42,1,1
2-s2.0-85050130167,4,14,1,1
2-s2.0-85008354493,5,8,1,1
2-s2.0-85049253738,0,0,0,0
2-s2.0-85044737812,8,22,1,1
2-s2.0-85056065681,0,7,0,1
2-s2.0-85053161886,2,26,1,1
2-s2.0-85042682561,6,7,1,1
2-s2.0-85050377983,3,5,1,1
2-s2.0-85058712631,6,3,1,1
2-s2.0-85039159576,4,3,1,1
2-s2.0-85048709924,2,10,1,1
2-s2.0-85021300848,4,27,1,1
2-s2.0-85062859793,0,6,0,1
2-s2.0-85056798729,2,5,1,1
2-s2.0-85049155044,2,2,1,1
2-s2.0-85035331598,0,17,0,1
2-s2.0-85045011508,5,14,1,1
2-s2.0-85047668404,2,33,1,1
2-s2.0-85031812835,7,55,1,1
2-s2.0-85054036077,81,229,1,1
2-s2.0-85068981951,6,8,1,1
2-s2.0-85049863844,100,38,1,1
2-s2.0-85044845660,3,4,1,1
2-s2.0-85040090503,0,9,0,1
2-s2.0-85101583101,0,0,0,0
2-s2.0-85053619106,5,16,1,1
2-s2.0-85058903604,5,6,1,1
2-s2.0-85049251897,5,1,1,1
2-s2.0-85052814087,0,0,0,0
2-s2.0-85034585467,0,13,0,1
2-s2.0-85052472790,2,20,1,1
2-s2.0-85052103724,3,13,1,1
2-s2.0-85045506137,0,1,0,1
2-s2.0-85051063546,4,11,1,1
2-s2.0-85045208701,7,0,1,0
2-s2.0-85047073581,4,2,1,1
2-s2.0-85057108057,5,17,1,1
2-s2.0-85040841375,99,81,1,1
2-s2.0-85044744207,5,1,1,1
2-s2.0-85052628288,100,16,1,1
2-s2.0-85051180271,4,8,1,1
2-s2.0-85054454626,0,20,0,1
2-s2.0-85048976221,2,5,1,1
2-s2.0-85059094534,2,0,1,0
2-s2.0-85089568477,0,0,0,0
2-s2.0-85052199402,11,1,1,1
2-s2.0-85076352482,0,2,0,1
2-s2.0-85047724403,3,8,1,1
2-s2.0-85147695124,0,1,0,1
2-s2.0-85019615771,4,11,1,1
2-s2.0-85048749584,3,29,1,1
2-s2.0-85108484985,0,0,0,0
2-s2.0-85047383489,96,38,1,1
2-s2.0-85053818719,0,18,0,1
2-s2.0-85023170224,0,25,0,1
2-s2.0-85055862909,0,6,0,1
2-s2.0-85031821306,2,11,1,1
2-s2.0-85052968790,6,22,1,1
2-s2.0-85042906672,0,22,0,1
2-s2.0-85040322317,2,9,1,1
2-s2.0-85054868885,2,3,1,1
2-s2.0-85056625659,0,0,0,0
2-s2.0-85045759869,6,13,1,1
2-s2.0-85039417015,0,2,0,1
2-s2.0-85051677305,2,21,1,1
2-s2.0-85048034863,1,2,1,1
2-s2.0-85052729319,6,3,1,1
2-s2.0-85042677604,3,10,1,1
2-s2.0-85054500037,0,0,0,0
2-s2.0-85050662074,2,106,1,1
2-s2.0-85044411323,3,35,1,1
2-s2.0-85028502506,9,20,1,1
2-s2.0-85063423845,0,1,0,1
2-s2.0-85037972365,5,44,1,1
2-s2.0-85057321973,4,5,1,1
2-s2.0-85010015810,0,21,0,1
2-s2.0-85046530585,6,36,1,1
2-s2.0-85047352543,3,7,1,1
2-s2.0-85067075989,11,2,1,1
2-s2.0-85056255685,2,2,1,1
2-s2.0-85037527871,2,5,1,1
2-s2.0-85053682004,0,1,0,1
2-s2.0-85054042373,0,1,0,1
2-s2.0-84976902133,0,12,0,1
2-s2.0-85033223295,5,5,1,1
2-s2.0-85045183447,7,3,1,1
2-s2.0-85047652244,3,3,1,1
2-s2.0-85041619225,2,17,1,1
2-s2.0-85058316853,0,1,0,1
2-s2.0-85020480998,0,15,0,1
2-s2.0-85041534447,4,8,1,1
2-s2.0-85054843179,0,7,0,1
2-s2.0-85042584759,10,32,1,1
2-s2.0-85046688382,4,31,1,1
2-s2.0-85055312528,0,0,0,0
2-s2.0-85049401287,0,15,0,1
2-s2.0-85055706392,6,22,1,1
2-s2.0-85092590734,0,0,0,0
2-s2.0-85045732767,2,45,1,1
2-s2.0-85051840032,100,46,1,1
2-s2.0-85045091334,99,16,1,1
2-s2.0-85045737563,3,33,1,1
2-s2.0-85052494724,4,28,1,1
2-s2.0-85053439955,0,50,0,1
2-s2.0-85029507390,7,68,1,1
2-s2.0-85064394619,2,29,1,1
2-s2.0-85050810403,2,54,1,1
2-s2.0-85042358246,9,1,1,1
2-s2.0-85049139765,6,0,1,0
2-s2.0-85041519189,2,27,1,1
2-s2.0-85048852055,6,24,1,1
2-s2.0-85040372659,2,13,1,1
2-s2.0-85056142332,3,19,1,1
2-s2.0-85053448876,4,1,1,1
2-s2.0-85055145038,1,3,1,1
2-s2.0-85037859579,2,9,1,1
2-s2.0-85037812126,2,10,1,1
2-s2.0-85050864383,2,11,1,1
2-s2.0-85055752021,0,6,0,1
2-s2.0-85051326383,4,3,1,1
2-s2.0-85042708303,0,14,0,1
2-s2.0-85050195928,4,21,1,1
2-s2.0-85062801280,0,8,0,1
2-s2.0-85045964602,0,17,0,1
2-s2.0-85040964325,0,0,0,0
2-s2.0-85051248599,0,0,0,0
2-s2.0-85046819493,2,5,1,1
2-s2.0-85059248986,0,1,0,1
2-s2.0-85147652564,2,0,1,0
2-s2.0-85048230209,0,0,0,0
2-s2.0-85053198491,0,0,0,0
2-s2.0-85035000126,4,67,1,1
2-s2.0-85047417336,3,27,1,1
2-s2.0-85045118984,5,3,1,1
2-s2.0-85041953513,5,44,1,1
2-s2.0-85060045371,2,9,1,1
2-s2.0-85054007220,5,1,1,1
2-s2.0-85028968808,2,4,1,1
2-s2.0-85051952905,2,29,1,1
2-s2.0-85030855901,4,12,1,1
2-s2.0-85057279478,0,25,0,1
2-s2.0-85042885879,3,29,1,1
2-s2.0-85078621193,0,0,0,0
2-s2.0-85065677264,5,6,1,1
2-s2.0-85056123799,5,0,1,0
2-s2.0-85049674972,0,29,0,1
2-s2.0-85045128638,7,5,1,1
2-s2.0-85048711828,0,22,0,1
2-s2.0-85046136591,6,25,1,1
2-s2.0-85043242314,2,18,1,1
2-s2.0-85044339553,0,0,0,0
2-s2.0-85057083547,4,25,1,1
2-s2.0-85050640287,4,4,1,1
2-s2.0-85054184829,0,3,0,1
2-s2.0-85041738585,3,11,1,1
2-s2.0-85054040839,0,5,0,1
2-s2.0-85061958318,0,8,0,1
2-s2.0-85045025830,0,24,0,1
2-s2.0-85042621688,0,80,0,1
2-s2.0-85055174378,4,33,1,1
2-s2.0-85049063852,7,2,1,1
2-s2.0-85043984026,0,26,0,1
2-s2.0-85057607480,6,1,1,1
2-s2.0-85057982236,2,0,1,0
2-s2.0-85040707959,4,8,1,1
2-s2.0-85029151002,1,26,1,1
2-s2.0-85057461681,0,2,0,1
2-s2.0-85048339597,4,12,1,1
2-s2.0-85046767864,5,0,1,0
2-s2.0-85048454397,5,26,1,1
2-s2.0-85049811148,3,13,1,1
2-s2.0-85068087218,0,2,0,1
2-s2.0-85060970184,0,4,0,1
2-s2.0-85047990353,4,14,1,1
2-s2.0-85054780572,3,19,1,1
2-s2.0-85050047736,0,0,0,0
2-s2.0-85081145208,0,0,0,0
2-s2.0-85055877820,7,6,1,1
2-s2.0-85043522994,7,24,1,1
2-s2.0-85045678212,0,3,0,1
2-s2.0-85055149780,6,7,1,1
2-s2.0-85047186632,102,10,1,1
2-s2.0-85041471953,6,22,1,1
2-s2.0-85042415428,3,6,1,1
2-s2.0-85053448002,0,9,0,1
2-s2.0-85063387692,0,3,0,1
2-s2.0-85039741431,1,9,1,1
2-s2.0-85039721209,2,34,1,1
2-s2.0-85053662303,101,29,1,1
2-s2.0-85055671330,5,18,1,1
2-s2.0-85049408729,1,3,1,1
2-s2.0-85046681387,0,13,0,1
2-s2.0-85060496074,0,0,0,0
2-s2.0-85043451547,0,0,0,0
2-s2.0-85041663017,3,17,1,1
2-s2.0-85027198855,0,0,0,0
2-s2.0-85064718907,101,121,1,1
2-s2.0-85050336797,0,5,0,1
2-s2.0-85053542738,0,11,0,1
2-s2.0-85032805319,0,11,0,1
2-s2.0-85059675381,3,10,1,1
2-s2.0-85050344082,2,4,1,1
2-s2.0-85049872904,6,4,1,1
2-s2.0-85046760841,10,2,1,1
2-s2.0-85058647216,4,12,1,1
2-s2.0-85043240477,0,17,0,1
2-s2.0-85041697042,6,19,1,1
2-s2.0-85031940782,0,8,0,1
2-s2.0-85067932266,0,1,0,1
2-s2.0-85045222719,2,14,1,1
2-s2.0-85053536200,0,1,0,1
2-s2.0-85030854232,5,9,1,1
2-s2.0-85060162536,0,0,0,0
2-s2.0-85050374171,2,2,1,1
2-s2.0-85044059764,0,2,0,1
2-s2.0-85049126613,0,0,0,0
2-s2.0-85041410863,0,12,0,1
2-s2.0-85042462678,3,11,1,1
2-s2.0-85053213055,0,1,0,1
2-s2.0-85063393358,4,2,1,1
2-s2.0-85039707027,0,12,0,1
2-s2.0-85039722861,4,15,1,1
2-s2.0-85053754566,5,8,1,1
2-s2.0-85055619937,1,1,1,1
2-s2.0-85049401886,2,2,1,1
2-s2.0-85048322358,5,4,1,1
2-s2.0-85046754470,1,0,1,0
2-s2.0-85048292237,4,38,1,1
2-s2.0-85050089963,4,31,1,1
2-s2.0-85067998660,0,2,0,1
2-s2.0-85053749794,8,17,1,1
2-s2.0-85054598542,5,1,1,1
2-s2.0-85048025879,4,6,1,1
2-s2.0-85050084517,3,1,1,1
2-s2.0-85055710234,6,7,1,1
2-s2.0-85082366390,2,3,1,1
2-s2.0-85043683102,5,16,1,1
2-s2.0-85045193269,6,25,1,1
2-s2.0-85055596089,0,3,0,1
2-s2.0-85042584526,4,15,1,1
2-s2.0-85121788603,2,0,1,0
2-s2.0-85061914917,0,1,0,1
2-s2.0-85044988496,5,0,1,0
2-s2.0-85076712598,0,0,0,0
2-s2.0-85043476619,5,8,1,1
2-s2.0-85050080433,0,1,0,1
2-s2.0-85044037605,5,3,1,1
2-s2.0-85057982903,6,6,1,1
2-s2.0-85057583776,0,0,0,0
2-s2.0-85029159795,5,23,1,1
2-s2.0-85040249641,5,10,1,1
2-s2.0-85048018727,0,23,0,1
2-s2.0-85053455291,2,13,1,1
2-s2.0-85065559003,2,2,1,1
2-s2.0-85056134427,0,0,0,0
2-s2.0-85049635232,5,8,1,1
2-s2.0-85044938791,5,18,1,1
2-s2.0-85048576552,10,32,1,1
2-s2.0-85049303569,2,17,1,1
2-s2.0-85043353921,0,5,0,1
2-s2.0-85044448248,0,5,0,1
2-s2.0-85056844710,7,5,1,1
2-s2.0-85050642056,4,7,1,1
2-s2.0-85053921163,6,10,1,1
2-s2.0-85044849806,3,29,1,1
2-s2.0-85045062424,0,1,0,1
2-s2.0-85046269561,0,5,0,1
2-s2.0-85059961567,0,3,0,1
2-s2.0-85054008064,0,2,0,1
2-s2.0-85028984118,7,37,1,1
2-s2.0-85057781904,6,5,1,1
2-s2.0-85031400722,4,7,1,1
2-s2.0-85057350844,5,0,1,0
2-s2.0-85042909652,2,14,1,1
2-s2.0-85055966450,5,14,1,1
2-s2.0-85051334326,3,2,1,1
2-s2.0-85042873312,0,21,0,1
2-s2.0-85050191643,3,41,1,1
2-s2.0-85062797130,0,10,0,1
2-s2.0-85046032980,0,2,0,1
2-s2.0-85029818459,0,7,0,1
2-s2.0-85046780756,3,4,1,1
2-s2.0-85051278176,3,5,1,1
2-s2.0-85147647870,5,0,1,0
2-s2.0-85059255766,0,11,0,1
2-s2.0-85047731035,77,149,1,1
2-s2.0-85053185103,2,13,1,1
2-s2.0-85045142896,6,13,1,1
2-s2.0-85064670745,98,32,1,1
2-s2.0-85050794463,4,10,1,1
2-s2.0-85042359515,0,0,0,0
2-s2.0-85049875455,0,0,0,0
2-s2.0-85039942501,2,40,1,1
2-s2.0-85048476985,3,56,1,1
2-s2.0-85036498020,2,23,1,1
2-s2.0-85053477724,3,51,1,1
2-s2.0-85056140645,13,111,1,1
2-s2.0-85055148645,2,1,1,1
2-s2.0-85038120430,2,25,1,1
2-s2.0-85050993973,2,24,1,1
2-s2.0-85037681290,2,17,1,1
2-s2.0-85049451194,0,13,0,1
2-s2.0-85055674190,3,11,1,1
2-s2.0-85093897088,0,0,0,0
2-s2.0-85045834409,7,5,1,1
2-s2.0-85051829925,2,15,1,1
2-s2.0-85045087730,102,103,1,1
2-s2.0-85045626371,3,28,1,1
2-s2.0-85052227173,0,2,0,1
2-s2.0-85053492921,4,10,1,1
2-s2.0-85028912249,5,23,1,1
2-s2.0-85015303108,0,5,0,1
2-s2.0-85033689474,3,3,1,1
2-s2.0-85040983639,2,8,1,1
2-s2.0-85047622204,2,20,1,1
2-s2.0-85041594251,5,6,1,1
2-s2.0-85058345871,5,2,1,1
2-s2.0-85020422062,2,1,1,1
2-s2.0-85041696827,2,20,1,1
2-s2.0-85054858889,2,0,1,0
2-s2.0-85042499737,4,10,1,1
2-s2.0-85046666265,5,4,1,1
2-s2.0-85049602739,3,1,1,1
2-s2.0-85044383305,4,18,1,1
2-s2.0-85049198533,0,27,0,1
2-s2.0-85050741219,6,4,1,1
2-s2.0-85037671164,3,2,1,1
2-s2.0-85151761949,0,0,0,0
2-s2.0-85057420667,5,9,1,1
2-s2.0-85047343090,0,3,0,1
2-s2.0-85047113263,2,33,1,1
2-s2.0-85069328095,0,11,0,1
2-s2.0-85062587239,0,10,0,1
2-s2.0-85042633507,0,2,0,1
2-s2.0-85053707643,0,2,0,1
2-s2.0-85040746519,5,17,1,1
2-s2.0-85052998272,0,0,0,0
2-s2.0-85031738297,0,54,0,1
2-s2.0-85042944700,2,8,1,1
2-s2.0-85040318014,4,13,1,1
2-s2.0-85056647097,105,15,1,1
2-s2.0-85054866570,3,0,1,0
2-s2.0-85045737757,2,430,1,1
2-s2.0-85034048270,3,63,1,1
2-s2.0-85051794662,0,57,0,1
2-s2.0-85048038821,0,2,0,1
2-s2.0-85015168691,6,2,1,1
2-s2.0-85042672238,0,16,0,1
2-s2.0-85054556162,0,0,0,0
2-s2.0-85050656313,3,68,1,1
2-s2.0-85082684208,5,2,1,1
2-s2.0-85047639640,4,14,1,1
2-s2.0-85147693035,0,0,0,0
2-s2.0-85018249148,10,36,1,1
2-s2.0-85048317453,3,13,1,1
2-s2.0-85108485844,0,1,0,1
2-s2.0-85047780112,0,5,0,1
2-s2.0-85053830441,0,10,0,1
2-s2.0-85040938583,2,2,1,1
2-s2.0-85055862684,0,3,0,1
2-s2.0-85055893617,4,40,1,1
2-s2.0-85046786100,2,28,1,1
2-s2.0-85057130234,104,38,1,1
2-s2.0-85040826788,9,2,1,1
2-s2.0-85044754478,3,0,1,0
2-s2.0-85052633547,6,3,1,1
2-s2.0-85051023165,0,14,0,1
2-s2.0-85054459068,6,6,1,1
2-s2.0-85046583455,0,4,0,1
2-s2.0-85058717573,6,9,1,1
2-s2.0-85090522950,5,8,1,1
2-s2.0-85052691487,2,1,1,1
2-s2.0-85051110614,5,0,1,0
2-s2.0-85044852725,0,6,0,1
2-s2.0-85041238520,2,5,1,1
2-s2.0-85053495818,0,5,0,1
2-s2.0-85101989726,0,0,0,0
2-s2.0-85058155060,4,25,1,1
2-s2.0-85052697060,7,13,1,1
2-s2.0-85049326397,0,4,0,1
2-s2.0-85034582603,2,11,1,1
2-s2.0-85052488654,2,4,1,1
2-s2.0-85052023711,0,6,0,1
2-s2.0-85045460519,6,17,1,1
2-s2.0-85050973741,0,3,0,1
2-s2.0-85058788684,4,7,1,1
2-s2.0-85039057326,5,28,1,1
2-s2.0-85021752388,0,1,0,1
2-s2.0-85048491406,2,10,1,1
2-s2.0-85056893860,5,5,1,1
2-s2.0-85062828079,6,2,1,1
2-s2.0-85049189916,2,7,1,1
2-s2.0-85040082145,2,28,1,1
2-s2.0-85042920159,4,3,1,1
2-s2.0-85047658971,101,51,1,1
2-s2.0-85034991318,3,31,1,1
2-s2.0-85054987287,6,0,1,0
2-s2.0-84946771902,0,0,0,0
2-s2.0-85047221923,5,13,1,1
2-s2.0-85041575056,2,2,1,1
2-s2.0-85055171153,2,1,1,1
2-s2.0-85047949926,0,14,0,1
2-s2.0-85050272808,6,0,1,0
2-s2.0-84984691749,0,10,0,1
2-s2.0-85049143020,0,38,0,1
2-s2.0-85044527605,2,2,1,1
2-s2.0-85056078948,98,33,1,1
2-s2.0-85053262561,104,29,1,1
2-s2.0-85042710807,9,34,1,1
2-s2.0-85050458798,5,28,1,1
2-s2.0-85021826138,5,21,1,1
2-s2.0-85052754543,0,1,0,1
2-s2.0-85049844762,0,0,0,0
2-s2.0-85040099983,3,12,1,1
2-s2.0-85047189795,0,344,0,1
2-s2.0-85129037864,0,0,0,0
2-s2.0-85159755401,0,0,0,0
2-s2.0-85046121935,0,3,0,1
2-s2.0-85041514937,2,5,1,1
2-s2.0-85054534174,3,24,1,1
2-s2.0-85056148744,2,19,1,1
2-s2.0-85035109804,4,32,1,1
2-s2.0-85030629491,1,14,1,1
2-s2.0-85043774638,0,7,0,1
2-s2.0-85028775225,2,7,1,1
2-s2.0-85058085831,104,47,1,1
2-s2.0-85057826296,0,71,0,1
2-s2.0-85050386361,97,69,1,1
2-s2.0-85046649716,95,68,1,1
2-s2.0-85025453160,0,16,0,1
2-s2.0-85051356813,5,1,1,1
2-s2.0-85043605260,4,222,1,1
2-s2.0-85042845717,0,3,0,1
2-s2.0-85084990204,0,0,0,0
2-s2.0-85055205421,4,5,1,1
2-s2.0-85048368790,6,7,1,1
2-s2.0-85054316242,0,6,0,1
2-s2.0-85059897171,3,1,1,1
2-s2.0-85057714249,0,3,0,1
2-s2.0-85045278169,0,0,0,0
2-s2.0-85044442704,2,61,1,1
2-s2.0-85065915318,0,1,0,1
2-s2.0-85045575384,0,80,0,1
2-s2.0-85048708977,6,117,1,1
2-s2.0-85042313923,5,7,1,1
2-s2.0-85060153998,4,0,1,0
2-s2.0-85053416459,7,19,1,1
2-s2.0-85038010058,6,11,1,1
2-s2.0-85056159676,5,4,1,1
2-s2.0-85048834140,0,31,0,1
2-s2.0-85051439401,2,2,1,1
2-s2.0-85042655754,2,13,1,1
2-s2.0-85048787335,2,2,1,1
2-s2.0-85050440394,0,0,0,0
2-s2.0-85079737697,5,0,1,0
2-s2.0-85050029848,5,8,1,1
2-s2.0-85061594328,4,17,1,1
2-s2.0-85056591683,0,4,0,1
2-s2.0-85041216434,4,139,1,1
2-s2.0-85046658445,4,20,1,1
2-s2.0-85036551446,4,8,1,1
2-s2.0-85051263294,15,9,1,1
2-s2.0-85041801741,0,12,0,1
2-s2.0-85055921005,1,1,1,1
2-s2.0-85054071137,5,55,1,1
2-s2.0-85041898151,2,10,1,1
2-s2.0-85044988165,78,89,1,1
2-s2.0-85041282106,0,148,0,1
2-s2.0-85052748935,5,2,1,1
2-s2.0-85054015533,0,1,0,1
2-s2.0-85047562504,2,37,1,1
2-s2.0-85059087917,104,19,1,1
2-s2.0-85147668329,5,0,1,0
2-s2.0-85051003161,2,36,1,1
2-s2.0-85046896760,2,19,1,1
2-s2.0-85058218296,5,15,1,1
2-s2.0-85027988105,2,14,1,1
2-s2.0-85056637691,0,13,0,1
2-s2.0-85043448244,5,66,1,1
2-s2.0-85036512224,0,10,0,1
2-s2.0-85058912177,5,17,1,1
2-s2.0-85053014490,99,68,1,1
2-s2.0-85049741433,100,110,1,1
2-s2.0-85045584091,5,0,1,0
2-s2.0-85042557361,3,9,1,1
2-s2.0-85055028853,0,13,0,1
2-s2.0-85055417424,105,20,1,1
2-s2.0-85052541960,9,25,1,1
2-s2.0-85059463569,5,1,1,1
2-s2.0-85069445260,0,9,0,1
2-s2.0-85046674536,5,6,1,1
2-s2.0-85043234661,2,48,1,1
2-s2.0-85047183216,3,28,1,1
2-s2.0-85035124114,5,4,1,1
2-s2.0-85045448329,2,2,1,1
2-s2.0-85054893739,9,13,1,1
2-s2.0-85056327098,7,5,1,1
2-s2.0-85032432882,2,1,1,1
2-s2.0-85052741118,101,49,1,1
2-s2.0-85063353260,0,8,0,1
2-s2.0-85041561955,99,72,1,1
2-s2.0-85048252864,5,23,1,1
2-s2.0-85047308041,3,2,1,1
2-s2.0-85057868138,0,2,0,1
2-s2.0-85147708640,2,0,1,0
2-s2.0-85046750181,14,13,1,1
2-s2.0-85052305675,0,0,0,0
2-s2.0-85044050142,5,5,1,1
2-s2.0-85049344025,38,4,1,1
2-s2.0-85065984238,0,7,0,1
2-s2.0-85041547799,3,10,1,1
2-s2.0-85030702080,2,11,1,1
2-s2.0-85057578970,3,39,1,1
2-s2.0-85034956094,5,5,1,1
2-s2.0-85040528867,1,50,1,1
2-s2.0-85054802154,2,2,1,1
2-s2.0-85043390543,4,22,1,1
2-s2.0-85041796478,5,15,1,1
2-s2.0-85062189386,0,0,0,0
2-s2.0-85038820988,7,33,1,1
2-s2.0-85053139810,5,0,1,0
2-s2.0-85048442872,5,2,1,1
2-s2.0-85049206588,0,2,0,1
2-s2.0-85058915984,0,17,0,1
2-s2.0-85046007648,2,23,1,1
2-s2.0-85071461260,12,17,1,1
2-s2.0-85058329914,1,1,1,1
2-s2.0-85056203919,6,7,1,1
2-s2.0-85038877717,4,2,1,1
2-s2.0-85055441834,0,2,0,1
2-s2.0-85050121910,0,1,0,1
2-s2.0-85020741434,3,289,1,1
2-s2.0-85054830632,0,0,0,0
2-s2.0-85060182074,2,0,1,0
2-s2.0-85056935923,4,10,1,1
2-s2.0-85048317219,4,1,1,1
2-s2.0-85022221310,0,1,0,1
2-s2.0-85059943605,3,7,1,1
2-s2.0-85042943989,8,4,1,1
2-s2.0-85049119064,1,0,1,0
2-s2.0-85053107586,2,19,1,1
2-s2.0-85097515398,0,0,0,0
2-s2.0-85053893979,2,7,1,1
2-s2.0-85041554101,2,2,1,1
2-s2.0-85054843196,0,7,0,1
2-s2.0-85052201956,0,1,0,1
2-s2.0-85046773061,0,32,0,1
2-s2.0-85050757763,4,28,1,1
2-s2.0-85044644069,2,0,1,0
2-s2.0-85044946419,2,10,1,1
