Agency_Name,Country
"AMERI-ASIA MED Co., Ltd.",Thailand
AMI,France
AMICULUM Asia,Singapore
AMON,United States
ANAS,Azerbaijan
ANAS,United States
ANID,Chile
ANID-Chile,Chile
ANP,Brazil
ANPCyT,Argentina
ANR,France
ANR Labex IAST,France
ANR-09-BLAN-0238-02,France
ANR-16-CE92-0018,France
ANRT,France
AOARD,Japan
AP-HP Sorbonne University,France
APASL,Japan
APC,South Africa
APCC,Thailand
APHP,France
ARC,United States
ARC,Australia
ARC,France
ARC Centre of Excellence for Core to Crust Fluid Systems,Australia
ARCS Foundation Oregon,United States
ARDA,Thailand
ARRS,Slovenia
ASAHI GLASS FOUNDATION,Japan
ASAHI Glass Foundation,Japan
ASEAN,Indonesia
ASEAN European Academic University Network,Austria
ASEAN European Academic University Network,Thailand
ASEAN Science Technology and Innovation Fund,China
ASEAN University Network,Thailand
ASEAN University Network/Southeast,Thailand
ASEAN University Network/Southeast Asia Engineering Education Development Network,Thailand
ASEAN-European Academic University Network,Austria
ASGC (Taiwan),Taiwan
ASIA,United States
ASIAA,Taiwan
ASIAA (Taiwan),Taiwan
ASME,United States
ASU,United States
ATCC Manassas Virginia,United States
AUI,United States
AUI/NRAO,United States
AUN,Thailand
AWAK technology,Singapore
Aalto-Yliopisto,Finland
Aarhus University,Denmark
Aarhus University Research Foundation,Denmark
AbbVe,United States
AbbVie,United States
AbbVie,The United States
AbbVie,Canada
"AbbVie, Acadia, Acorda, Adamas, Addex, Amneal, Aptinyx, Axial",United States
Abbott,United States
Abbott Laboratories,United States
Abbott Laboratories Ltd,United States
Abbott Nutrition,United States
Abbott and MSD,United States
"Abbott, Fresenius, Nutricia, Nestle, Takeda",Switzerland
Abbvie,United States
Abbvie Inc,United States
Abdus Salam International Centre for Theoretical Physics,Italy
Absolute Well Being Group Co.,Thailand
Abu Dhabi Education Council,The United Arab Emirates
Academia Sinica,Taiwan
Academia de Ştiinţe a Moldovei,Moldova
Academic Frontier Youth Team,Japan
Academic Research Fund,Singapore
Academy for Healthcare Learning,United States
Academy of Finland,Finland
Academy of Sciences of Ukraine,Ukraine
Acadia,United States
Acadia Pharmaceuticals,United States
Accelerating Higher Education Expansion and Development and Development Oriented Research programs of the World Bank,United States
Acorda Therapeutics,United States
Actinium Pharmaceuticals,United States
Actinobacterial Research Unit,Thailand
Adfontes Biotechnology Ltd.,United Kingdom
Aditya Birla Chemical (Thailand),Thailand
Aditya Birla Chemicals,India
Aditya Birla Chemicals (Thailand) Ltd.,Thailand
Administration and Capital Management Unit for Enhancing the Competitiveness of The Country,Thailand
Adolphe Merkle Foundation,Switzerland
Adrienne Helis Malvin Medical Research Foundation,United States
Advanced Computing Initiative,United States
Advanced Diagnostic Imaging Center,Thailand
Advanced Functional Materials,China
Advanced Institute of Manufacturing with High-Tech Innovations,Taiwan
Advanced Institute of Manufacturing with High-tech Innovations,Taiwan
Advanced Materials Analysis Research Unit,Thailand
Advisory Board member for Abbvie,United States
Aeon Biopharma,United States
Aerie Pharmaceuticals,United States
Aeronautical Development Agency,India
African University of Science and Technology,Nigeria
Aga Khan University,Pakistan
Agence Nationale de Recherches sur le SIDA et les Hipatites Virales,France
Agence Nationale de Recherches sur le SIDA et les Hépatites Virales,France
Agence Nationale de Recherches sur le Sida et les Hépatites Virales,France
Agence Nationale de la Recherche,France
Agencia Nacional de Investigacion y Desarrollo in Chile,Chile
Agencia Nacional de Investigación y Desarrollo,Chile
Agencia Nacional de Investigación y Desarrollo in Chile,Chile
Agency for Healthcare Research and Quality,United States
Agency for Management of University and Research Grants,Spain
Agency for Science Technology and Research,Singapore
"Agency for Science, Technology and Research",Singapore
"Agency for Science, Technology and Research, Singapore, Singapore",Singapore
Agentschap voor Innovatie door,Belgium
Agentschap voor Innovatie door Wetenschap en Tech-nologie,Belgium
Agentschap voor Innovatie door Wetenschap en Technologie,Belgium
Agentschap voor Innovatie doorWetenschapenTechnologie,Belgium
Agentúra na Podporu Výskumu a Vývoja,Slovakia
Aging Society Cluster,Thailand
Agouron Institute,United States
Agricultural Research Development Agency,Thailand
Agricultural Research Development Agency of Thailand,Thailand
"Agricultural Research Development Agency, Thailand",Thailand
Agricultural Research Development and Agency,Thailand
Agricultural Research Service-USDA,United States
Agricultural research development agency,Thailand
Agriculture Research Service,United States
Agriculture and Agri-Food Canada,Canada
Agro-Defense Facility Transition Fund,United States
Agro-Industrial Scholarship for International Students,Thailand
Agència de Gestió d’Ajuts Universitaris i de Recerca,Spain
Agència de Gestiód’Ajuts Universitaris i de Recerca,Spain
Ahmadu Bello University,Nigeria
Aicuris,Germany
Aimmune Therapeutics,United States
Air Force Research Laboratory,The United States
Air Pollution and Health Effect Research Center,Iran
Airlangga University,Indonesia
Akebia Therapeutics,United States
Akershus University Hospital,Norway
"Akkhraratchakumari Veterinary College, One Health Research Center",Thailand
Al069432-17 Instituto de Pesquisa Clinica Evandro Chagas,Brazil
Alabama Agricultural Experiment Station,United States
Alagappa University Bioinformatics Infrastructure Facility,India
Alan Turing Institute,United Kingdom
Alberta Children's Hospital Research Institute,Canada
Alberta Health,Canada
Alberta Innovates,Canada
Alberta Livestock and Meat Agency,Canada
Alcon,United States
"Alcon , Fort Worth",United States
Alcon Japan Ltd,Japan
Alexander Von Humboldt Foundation,Germany
Alexander von Humboldt Foun,Germany
Alexander von Humboldt Founda,Germany
Alexander von Humboldt Foundation,Germany
Alexander von Humboldt Foundation of Germany,Germany
Alexander von Humboldt foundation,Germany
Alexander von Humboldt-Stiftung,Germany
Alexion,United States
Alfa Sigma Italy,Italy
Alfred P. Sloan Foundation,The United States
Alfred P. Sloan Foundation,United States
Alfred Wegener Institut-Helmholtz Zentrum für Polar- und Meeresforschung,Germany
Algal Culture Laboratory,Thailand
Algebra and Applications Research Unit,Thailand
Algerian Ministry of Higher Education and Scientific Research,Algeria
All India Institute of Medical Sciences,India
All India Ophthalmological Society,India
All Vista Healthcare National Health Insurance Administration,Taiwan
Allana Potash Corporation,Canada
AllerGen,Canada
Allergan,United States
Allergan,Ireland
Allergan and Merz,United States
Allergan and Merz Pharma,United States
Allergopharma,Germany
Allergopharma GmbH,Germany
Allergopharma KG,Germany
Allergy Therapeutics plc,United Kingdom
Allergy of Phramongkutklao hospital foundation for immunology research,Thailand
Alliant International University,United States
Alongkorn Amonsin TRF,Thailand
Alongkot Fanka,Thailand
Alvin J. Siteman Cancer Center,United States
Alzheimer Forschung Initiative,Germany
Alzheimer's Association,United States
Alzheimer's Disease Cooperative Study,United States
Alzheimer's Research UK,United Kingdom
Alzheimer's Society,United Kingdom
Alzheimer's UK,United Kingdom
Alzheimer’s Research UK,United Kingdom
Alzheimer’s Society,United Kingdom
Amada Foundation,Japan
Aman Family Fund for Colorectal Cancer Research and Education,United States
Amani Corporation Limited,Thailand
Amano Enzyme Inc,Japan
Amano Enzyme Inc.,Japan
Amazon Web Services,United States
Amazon Web Services Imagine,United States
Ambrx Inc.,United States
American Academy of Neurology,United States
American Academy of Neurology Clinical Research Training,United States
American Association for Cancer Research,United States
American Automatic Control Council,United States
American Board of Allergy and Immunology,United States
American Cancer Society,United States
American Cancer Society,The United States
American Cancer Society Clinical Research Professorship,United States
American Chemical Society,United States
American College of Gastroenterology,United States
American College of Radiology Imaging Network,United States
American Diabetes Association,United States
American Economic Association,United States
American Equilibration Society,United States
American Foundation for AIDS Research,United States
American Foundation for Suicide Prevention,United States
American Glaucoma Society,United States
American Heart Association,United States
American Italian Cancer Foundation,United States
American Journal Experts,United States
American Journal of Transplantation,United States
American Kidney Fund,United States
American Lung Association,United States
American Neurological Association,United States
American Nurse Association,United States
American Nurses Association,United States
American Nurses Association celebrates National Nurses Week,United States
American Ophthalmology Society,United States
American Political Science Association,United States
American Psychiatric Association,United States
American Psychological Association,United States
American Psychological Society,United States
American Society for Transplantation and Cellular Therapy,United States
American Society of Cata-ract and Refractive Surgery,United States
American Society of Clinical Oncology,United States
"American Society of Clinical Oncology, Society for Immunotherapy of Cancer",United States
American Society of Hematology,United States
American Society of Nephrology,United States
American Thoracic Society,United States
American University of Beirut,Lebanon
American University of Sharjah,United Arab Emirates
American and Swiss National Science Foundations,United States
American-Italian Cancer Foundation,United States
Ames Laboratory,United States
Amgen,United States
Amity University Uttar Pradesh,India
Amnatcharoen Hospital,Thailand
AnGes Inc.,Japan
Anadamahidol Scholarship Foundation,Thailand
Ananda Mahidol Foundation,Thailand
Anandamahidol Foundation,Thailand
Anandamahidol foundation,Thailand
Anantara Siam Bangkok Hotel,Thailand
Anantara Siam Bangkok Hotel Care,Thailand
Anantara Siam Bangkok Hotel and Four Seasons Bangkok Hotel Care for Cancer Fun Run,Thailand
Anderson Cancer Center,United States
Andong National University,South Korea
Andrew David Heitman Neurovascular Foundation,United States
"Andrew Kambugu, Infectious Diseases Institute",Uganda
Andrew Nickson and Win Kulvichit,Thailand
Andrew W. Mellon Foundation,United States
Andrews Family Fund,United States
Andrews Family Fund for Colorectal Cancer Research,United States
Ang Thong Chief Medical Officers,Thailand
"Angelini Pharmaceuticals, Horizon 2020",Italy
"Angiocrine Bioscience, Inc.",United States
Angsuwarin Wongpiang,Thailand
Anhui Medical University,China
Anhui Provincial Key Scientific and Technological Project,China
Anhui University,China
Animal Behaviour Society,United Kingdom
Animal Pathogen Research Unit,United States
Animal Systematics Research Unit,Thailand
Animal Virome and Diagnostic Development Research Group,Thailand
Animals for Scientific Purposes Act,Australia
Annamalai University,India
Anniversary Chulalongkorn University,Thailand
Anniversary Chulalongkorn University Fund for Doctoral Scholarship,Thailand
Anniversary Chulalongkorn University Fund for the Doctoral Scholarship,Thailand
Anocha Pullboon,Thailand
Ansun Biopharma,Thailand
"Antibody Engineering Laboratory, Faculty of Medicine Siriraj Hospital",Thailand
Anwill (Thailand) Co. Ltd,Thailand
Ao Luek Nuea subdistrict municipality,Thailand
Aomori City Government,Japan
Aoyama Gakuin University,Japan
Apache Cement Company,Myanmar
Aperfei?oamento de Pessoal de N?vel Superior,Brazil
Apex Nanotek Co. Ltd.,Thailand
Apinya Wechpradit,Thailand
Appalachian Regional Commission,United States
Aqua and Soil Environmental Laboratory,Thailand
Aquatic Animal Disease Research Center,Thailand
Aquatic Molecular Genetics and Biotechnology Laboratory,Thailand
Aquatic Resources Research Institute,Thailand
Aranya Fuangswasdi,Thailand
Arauc?ria Foundation,Brazil
Araucária Foundation,Brazil
"Arbutus Biopharma, Inc.",Canada
Area-based Health Security Fund,Thailand
Areewan Cheawchanwattana,Thailand
Argonne National Laboratory,United States
Ariad Pharmaceuticals,The United States
Arizona Biomedical Research Commission,United States
Arizona State University,United States
Armed Forces Health Surveillance Center,United States
Armed Forces Research Institute of Medical Sciences,United States
Armed Forces Research Institute of Medical Sciences,The United States
Army Research Office,United States
Array,United States
Art-Ong Pradatsundarasar,Thailand
Arthritis National Research Foundation,United States
Arthritis Research UK,United Kingdom
Asahi Glass Foundation,Japan
"Asahi Glass Foundation , Chulalongkorn",Japan
Asahi Glass Royal Golden Jubilee Ph.D,Thailand
Asahi Glass foundation fund,Japan
Asean University Network/Southeast,Thailand
Ashfield Company,United States
Ashikaga Institute of Technology,Japan
Asia Cornea Foundation,India
Asia Foundation,United States
Asia Pacific International University,Thailand
Asia Pacific Network,Thailand
Asia Pacific Network for Global Change,Japan
"Asia Pacific Parawood Co., Ltd.",Thailand
Asia Pacific Potash Corporation Limited,Thailand
Asia Research Center Fund,Thailand
Asia-Pacific Myopia Society,Singapore
Asia-Pacific Network,Japan
Asia-Pacific Network for Global Change Research,Japan
Asia-Pacific Ocular Imaging Society,Thailand
Asia-Pacific Vitreo-retina Society,Thailand
Asia?Pacific Network for Global Change Research,Japan
Asian Cooperation Fund Project-Study on Typical Bay Ecological Protection and Management Demonstration,China
Asian Development Bank,Philippines
Asian Development Bank Institute,Philippines
Asian Institute of Technology,Thailand
"Asian Institute of Technology, Thailand",Thailand
Asian Office of Aerospace Research and Development,United States
Asian Office of Aerospace Research and Development,The United States
Asia‐Pacific Network for Global Change Research,Japan
Associated Universities,The United States
Associates of Cape Cod,United States
Association Nationale Recherche Technologie,France
Association for Psychological Science,United States
AssociationofThailand,Thailand
Associazione Italiana contro le Leucemie-linfomi e mieloma Milano e Provincia Organizzazione Non Lucrativa di Utilità Sociale,Italy
Associazione Italiana per la Ricerca sul Cancro,Italy
Associazione italiana contro le leucemie-linfomi e mieloma Milano e Provincia ONLUS,Italy
Astellas,Japan
Astellas,United States
Astellas India,India
Astellas Pahrma,Japan
Astellas Pharmaceutical,Japan
Astex,United Kingdom
Asthma UK,United Kingdom
Aston University,United Kingdom
Astra Zeneca,United Kingdom
Astra Zeneca Inc,United States
AstraZeneca,United Kingdom
Astrazeneca,United Kingdom
Astrazeneca,Australia
"Astute Medical, Inc.",United States
Atapol Sughondhabirom,Thailand
Ateneo de Manila University,The Philippines
Athens University of Economics and Business,Greece
Atlanta Botanical Garden,United States
"Atomic Energy Commission, Pakistan",Pakistan
Atomic Energy Council,Taiwan
Attraction and Insertion of Advanced Human Capital Program of the National Commission for Scientific and Technological Research of Chile,Chile
AuScope Pty Ltd.,Australia
Auburn University,United States
Auburn University Museum of Natural History,United States
Augusta University,United States
Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindhorn’s 5th Cycle,Thailand
Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindorn,Thailand
Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindorn's 5th Cycle,Thailand
Australasian Society for Bipolar Depressive Disorders,Australia
Australasian Society for Bipolar and Depressive Disorders,Australia
Australasian Society for Bipolar and Depressive Disorders,United States
Australasian Society for Bipolar and Depressive Disorders and Servier,Australia
Australasian Society for Bipolar and Depressive Disorders/Servier,Australia
Australian Academy of Science,Australia
Australian Agency for International Development,Australia
Australian Biological Resources Study,Australia
Australian Centre for Health Services Innovation,Australia
Australian Cervical Cancer Foundation,Australia
Australian Department of Defence,Australia
Australian Embassy Bangkok,Thailand
Australian Government,Australia
Australian Government Department of Families,Australia
Australian Government Department of Health and Ageing,Australia
Australian Government NHMRC,Australia
Australian Government National Health and Medical Research Council,Australia
Australian Government UPRS,Australia
"Australian Government’s Department of Education, Employment and Workplace Relations",Australia
Australian National Health and Medical Research Council,Australia
Australian National University,Australia
Australian Red Cross Lifeblood,Australia
Australian Renewable Energy Agency,Australia
Australian Research Council,Australia
Australian Rotary Health,Australia
"Australian Rotary Health, Ian Parker Bipolar Research Fund",Australia
Australian University Librarians,Australia
Austrian Academy of Sciences,Austria
"Austrian Agency for International Mobility and Cooperation in Education, Science, and Research",Austria
"Austrian Federal Ministry of Education, Science",Austria
"Austrian Federal Ministry of Education, Science and Research",Austria
"Austrian Federal Ministry of Education, Science, and Research",Austria
Austrian Federal Ministry of Science,Austria
Austrian Foundation for Advancement of Science,Austria
Austrian Research Promotion Agency,Austria
Austrian Science Foundation,Austria
Austrian Science Fund,Austria
AvH Foundation,Germany
Avion Pharmaceuticals,United States
Ayutthaya Municipality,Thailand
A∗STAR,Singapore
B.BES-CMU,Thailand
B.N.C. Patcharapun Chaipun,Thailand
B.P. Koirala Institute of Health Sciences,Nepal
BAP,United Kingdom
BARC,India
BARDA,United States
BASF,United States
BASF,Germany
BBGI Bio Diesel Company Limited,Thailand
BBSRC,United Kingdom
BBVA Foundation,Spain
BCKDF,Canada
BCRU,Thailand
BECC,Thailand
BEDO-NRCT,Thailand
BEI Resources,United States
BEIS,United Kingdom
BELGIUM,Belgium
BELSPO,Belgium
BES,United States
BIAL Biotech,Portugal
BIDMC,United States
"BIOFEED (Thailand) Co., Ltd.",Thailand
BIOPHICS,Thailand
BIOTEC,Thailand
BJC Big C Foundation,Thailand
BK21 PLUS Program for Creative Veterinary Science Research Center,South Korea
BKF,Thailand
BMA,United Kingdom
BMBF,Germany
BMBF,Austria
BMBWF,Germany
BMBWF,Austria
BMGF,United States
BMI,Germany
BMKG,Indonesia
BMNH,United Kingdom
BMS,United Kingdom
BMS,United States
BMWFW,Austria
BMZ,Germany
BNL,United States
BNSF,Bulgaria
BOKU Core Facility Mass Spectrometry,Austria
BOKU Core Facility Mass Spectroscopy,Austria
BP Exploration Operating Company Ltd,United Kingdom
BRAND’S Health Research Foundation for Thai Society,Thailand
BRCES,Brazil
BRF,United States
BRIN,Indonesia
BSF,Israel
BSF-NSF,United States
BSN,United Kingdom
BSR,United Kingdom
BSTFT-GoB,Bangladesh
BUAP,Mexico
"Baan-Buakkhang School in Sankamphaeng District, Chiang Mai Province",Thailand
Bach Mai Hospital,Vietnam
Baiya Phytopharm Co. Ltd,Thailand
"Baiya Phytopharm Co., Ltd.",China
"Baiya Phytopharm Co., Ltd.",Japan
"Balliol College, University of Oxford",United Kingdom
Balnaves Foundation,Australia
Balvi Filantropic Fund,Latvia
Bamrasnaradura Infectious Disease Institute,Thailand
Bamrasnaradura Infectious Diseases Institute,Thailand
Bamrasnaradura Institute,Thailand
Ban Khai District Public Health Office,Thailand
Ban Sop Li School in Lampang Province,Thailand
Ban Ton Rieng Sub-District Hospital,Thailand
Bangchak Bioethanol (Chachoengsao) Co. Ltd,Thailand
Bangchak Corporation Public Company Limited,Thailand
Bangchak Initiative Innovation Center at Bangchak Corporation Public Company Limited,Thailand
Bangchak Petroleum PLC.,Thailand
Bangka Belitung,Indonesia
Bangkok Biomaterial Center,Thailand
"Bangkok Biomaterial Center, Siriraj hospital",Thailand
Bangkok Metropolitan Administration,Thailand
Bangkok Metropolitan Administration General Hospital,Thailand
Bangkok Synthetics Co.,Thailand
"Bangkok Synthetics Co., Ltd.",Thailand
Bangkok Thailand,Thailand
Bangladesh Agricultural Research Council,Bangladesh
Bangpu Nature Education Center,Thailand
Banphaeo General Hospital,Thailand
Banphaeo Hospital,Thailand
Banpong Hospital,Thailand
Banrie Coffee Company,Thailand
Bansomdejchaopraya Rajabhat University,Thailand
Bara Scientific Co. Ltd.,Thailand
Barrow Neurological Foundation,United States
Barrow Neurological Institute,United States
"Bartlett Faculty of the Built Environment, University College London",United Kingdom
Basic Energy Sciences,The United States
Basic Research Fund,Israel
Bauman Moscow State Technical University,Russia
Bausch & Lomb,United States
Bausch and Lomb,United States
Bavaria State Ministry,Germany
Baxter,United States
Baxter Corp,United States
Baxter Corporation Canada,Canada
Baxter Deutschland,Germany
Baxter Health Care Canada,Canada
Baxter Healthcare,United States
Baxter Healthcare Corporation,United States
Baxter Healthcare Inc.,United States
Baxter International Inc,United States
Baxter International Inc.,United States
Bay Area Water Quality,United States
Bayer,Germany
Bayer,United States
Bayer Health Pharma,Germany
Bayer Pharma,Germany
Bayer Vital,Germany
Bayer Yakuhin Ltd,Japan
Baylor College of Medicine,United States
Baylor College of Medicine Dan L. Duncan Comprehensive Cancer Center,United States
Baylor-UT Houston Center for AIDS Research,United States
Beasiswa Pendidikan Pascasarjana Luar Negeri,Indonesia
Beasiswa Unggulan,Indonesia
Beatriu de Pinós,Spain
Behavior Research and Informatics in Social Science,United States
"Beiersdorf (Thailand) Co., Ltd.",Thailand
Beiersdorf and Menarini,Germany
Beijing Ditan Hospital,China
Beijing Lisheng Cardiovascular Health Foundation,China
Beijing Municipal High Level Innovative Team Building Program,China
Beijing Municipal Science & Technology Commission,China
Beijing Municipal Science and Technology Commission,China
Beijing Municipal Science and Technology Project,China
Beijing Natural Science Foundation,China
Beijing Natural Science Foundation of China,China
Beijing Outstanding Young Scientist Program,China
Beijing Xisike Clinical Oncology Research Foundation,China
Belgian Federal Science Policy Office,Belgium
Belgian Federal government,Belgium
Belgian Fonds de la Recherche Scientifique,Belgium
Belgian National Fund for Scientific Research,Belgium
Belgorod National Research University,Russia
Benaroya Research Institute at Virginia Mason,United States
Bencard Allergie GmbH,Germany
Benemérita Universidad Autónoma de Puebla,Mexico
Benja Rewthongchum,Thailand
Benjamas Garden,Thailand
Benoziyo Center,Israel
"Benoziyo Center, Israel",Israel
Berli Jucker Company Big C foundation,Thailand
Berlin Institute of Health,Germany
"Betagro Public Co., Ltd.",Thailand
Betty Moore Foundation,United States
Beuth University of Applied Sciences,Germany
Beuth University of Applied Sciences and Brawijaya University,Germany
Bharath University,India
Bhumibol Adulyadej Hospital,Thailand
Bijzonder Onderzoeksfonds,Belgium
Bildung und Forschung,Austria
Bill & Melinda Gates Foundation,United States
Bill Melinda Gates Foundation,United States
Bill and Melinda Gates,United States
Bill and Melinda Gates Foundation,United States
Bill and Melinda Gates Foundation,The United States
Binatang Research Centre,Papua New Guinea
Bio-oriented Technology Research Advancement Institution,Japan
BioGaia AB,Sweden
BioGen Inc.,United States
BioMedica Nutraceuticals,Australia
BioMerieux,France
BioMérieux,France
BioNTech,Germany
BioSentinel Laboratory,United States
Biocenter Finland,Finland
Biochemistry University of California-Los Angeles Los Angeles,United States
Biochemistry University of Sindh,Pakistan
Biocon India,India
Biocon Limited,India
Biodiversity-Based Economy Development Office,Thailand
Biodiversity-Based Economy Development Office,Philippines
Biodiversity-based Economy Development Office,Thailand
Bioenergy and Catalysis Research Unit,Thailand
Biofilms - Research Center for Biointerfaces at Malmö University,Sweden
Biofuel and Biochemical Industry Project,Thailand
Biogas and Biorefinery Laboratory,Thailand
Biogen,United States
Biogen and Kyowa,United States
Biogen-Idec,United States
Biohaven Pharmaceuticals Inc.,United States
Biological Threat Reduction Program,United States
Biological and Environmental Research,United States
"Biomaterial Testing Center, Faculty of Dentistry",Thailand
Biomedical Research Centre,United Kingdom
Biomedical Research Centre at South London and Maudsley NHS Foundation Trust,United Kingdom
Biomerieux,France
Biophil Technology Company Limited,Thailand
"Bioporto, Inc.",United States
Bioprocess Engineering Laboratory,United States
Bioprocessing Technology Institute,Singapore
Biorefinery Cluster,Thailand
"Biorefinery Cluster, Chulalongkorn University",Thailand
Bioresources and Technology,Thailand
Biosense Webster,United States
Biosense Webster Inc,United States
"Biostatistics Department, Research Affairs, Faculty of Medicine, Chulalongkorn University",Thailand
"Biostatistics Excellence Center, Research Affairs, Faculty of Medicine, Chulalongkorn University",Thailand
"Biostatistics Excellence Centre, Faculty of Medicine, Chulalongkorn University",Thailand
Biostatistics Excellent Center,Thailand
Biostatistics Shared Resource,United States
Biotechnology & Biological Sciences Research Council of the United Kingdom,United Kingdom
Biotechnology and Biological Sciences Research Council,United Kingdom
Biotechnology and Biological Sciences Research Council,The United Kingdom
Biotronik Thailand,Germany
Bioverativ,United States
Birthday of His Majesty King Bhumibol Adulyadej,Thailand
Blackmores Limited,Australia
Blood Cancer UK,United Kingdom
Blue Pacific Minerals Ltd.,New Zealand
Blueqat Inc.,Japan
Board of Investment,Pakistan
Board of the Swiss Federal Institutes of Technology,Switzerland
Boehringer Ingelheim,Germany
Boehringer Ingelheim,United States
Boehringer Ingelheim,France
Boehringer-Ingelheim,United States
Boehringer-Ingelheim,Germany
Boehringer-Ingelheim-Foundation,Germany
Borchard Foundation,United States
Borrego Foundation,United States
Boston College,United States
Boston Scientific,United States
Boston Scientific Asia-Pacific,United States
Boston Scientific Corporation,United States
Boston Scientific Corporation consultant for Auris Robotics,United States
Boston Scientific Corporation paid speaker for Karl Storz Company,United States
Boston Scientific Foundation,United States
Boston University Henry Goldman School of Dental Medicine,United States
Bournemouth University,United Kingdom
Bracco Diagnostics Inc.,United States
Brain & Behavior Research Foundation,United States
Brain Canada,Canada
Brain and Behavior Foundation,United States
Brain and Behavior Research Foundation,United States
Brain and Behavior Research Institute,Australia
"Brand Suntory (Thailand) Co., Ltd.",Thailand
Brawijaya University,Indonesia
Brazilian Ministry of Education,Brazil
Brazilian Ministry of Health,Brazil
Bristol Myers Squibb,United States
Bristol Myers Squibb,Canada
Bristol-Myers Squibb,United States
Bristol-Myers Squibb,The United States
Bristol-Myers-Squibb,United States
Bristol‐Myers Squibb,United States
Britannia Pharmaceuticals,United Kingdom
Britannia Pharmaceuticals Limited,United Kingdom
Britannia Pharmaceuticals Ltd.,United Kingdom
Britannia Pharmaceuticals and Stada,United Kingdom
British Academy,United Kingdom
British Association of Critical Care Nurses,United Kingdom
British Council,United Kingdom
British Dietetic Association,United Kingdom
British Ecological Society,United Kingdom
British Heart Foundation,United Kingdom
British Heart Foundation clinical research training fellowship,United Kingdom
British Herpetological Society,United Kingdom
British Medical Association,United Kingdom
British Microcirculation Society,The United Kingdom
British and Eire Association of Vitreoretinal Surgeons,United Kingdom
Broad Foundation,United States
Brookhaven National Laboratory,United States
Brunel University,United Kingdom
Buddhasothorn Hospital,Thailand
Building of Consortia for the Development of Human Resources in Science and Technology,Thailand
Bulgarian Ministry of Education and Science,Bulgaria
Bulgarian National Science Fund,Bulgaria
Bumrungrad Hospital,Thailand
Bumrungrad Hospital Bangkok,Thailand
Bumrungrad International Hospital,Thailand
Bundes ministerium für Bildung und Forschung,Germany
Bundesmi-nisterium für Bildung und Forschung,Germany
Bundesministerium fiir Forschung und Technologie,Germany
Bundesministerium für,Germany
Bundesministerium für Bildung und Forschung,Germany
Bundesministerium für Bildung und Frauen,Austria
Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,Germany
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft",Austria
Bundesministerium für wirt-schaftliche Zusammenarbeit und Entwicklung,Germany
Burapha University,Thailand
"Burapha University and Center of Excellence in Catalysis and Catalytic Reaction Engineering, Chulalongkorn University",Thailand
Bureau of Biotechnology in Livestock Production,Thailand
Bureau of Conservation and Research,United States
Bureau of Energy,Taiwan
Bureau of Epidemiology,United States
Bureau of International Cooperation of Chinese Academy of Sciences,China
Bureau of Policy and Strategy,Thailand
