,funding_agency_name,Country
85,Texas A&M Pesca,United States
86,Programa Severo Ochoa del Princi-pado de Asturias,Spain
87,Institute of Veterinary Bacteriology of the University of Bern,Switzerland
88,Baylor-UT Houston Center for AIDS Research,United States
89,National Institutes of Health-funded,United States
90,Research Institute of Meijo University,Japan
91,Chulalongkorn University and the Thailand Research Fund,Thailand
92,CNRS/IN2P3,France
93,Allana Potash Corporation,Canada
94,Landmark Graphics Corporation,United States
95,Landmark University,Nigeria
96,Environment and Meteorological Department,India
97,"Pollution Control Department, Ministry of Natural Resources",Thailand
98,Chulalongkorn University,Thailand
99,IIAC Chulalongkorn University,Thailand
100,Dental Association of Thailand,Thailand
101,Hanoi University of Science,Vietnam
102,Johannes Gutenberg University,Germany
103,Karl-Franzens-University of Graz,Austria
104,Vietnam Institute of Geosciences and Mineral Resources,Vietnam
105,Vietnam National Foundation for Science and Technology Development,Vietnam
106,Center of Excellence on Petrochemicals and Materials Technology Chulalongkorn University,Thailand
107,"Department of Chemical Engineering, Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University",Thailand
108,Institute for Applied Surfactant Research,United States
109,"Procter & Gamble, Sasol (USA) Corporation",United States
110,CBRC,China
111,National Research Council of Thailand and Health System Research Institute,Thailand
112,"Ratchadaphiseksomphot Fund of Faculty of Medicine, Chulalongkorn University",Thailand
113,Thai Red Cross Society,Thailand
114,AEI/FEDER,Portugal
115,Science Achievement Scholarship of Thailand,Thailand
116,NIH NIDDK,United States
117,Pakistan-United States Science and Technology Cooperation Program,United States
118,Faculty of Veterinary Science and Chulalongkorn University,Thailand
119,Social Development Project of Jiangsu Province,China
120,Ratchadapiseksompotch Fund,Thailand
121,"Petroleum and Petrochemical College, Chulalongkorn University",Thailand
122,Ratchadapiseksomophot Endowment,Thailand
123,Chulalongkorn academic advancement,Thailand
124,Keirin Race of the Japan Keirin Association,Japan
125,JSPS-NRCT,Japan
126,Tokyo University of Marine Science and Technology,Japan
127,Université de Poitiers,France
128,Chulalongkorn Univer-sity,Thailand
129,"Faculty of Technology and Environment, Prince of Songkla University",Thailand
130,"Research Fund of Research Division, Faculty of Medicine, Siriraj Hospital, Mahidol University",Thailand
131,Programa Severo Ochoa del Prin-cipado de Asturias,Spain
132,Chulalongorn University,Thailand
133,James Mitchell at Monash University,Australia
134,Hiroshima Univeresity,Japan
135,Institute for the Promotion of Teaching Science and Technology,Thailand
136,Health Insurance System Research Office of the Health System Research Institute,Thailand
137,Chulabhorn Research Institute,Thailand
138,Queen Sirikit Sericulture Center,Thailand
139,Office of the Royal Development Projects Board,Thailand
140,TRF Strategic Basic Research,Thailand
141,PTTEP,Thailand
142,Chu-lalongkorn University,Thailand
143,Naresuan University Research Fund,Thailand
144,Royal Government of Thailand,Thailand
145,AuScope Pty Ltd.,Australia
146,Endeavour Australia Cheung Kong Fellowship,Australia
147,"Graduate School of Medical Sciences, Kyushu University",Japan
148,Chu-lalongkorn university,Thailand
149,Chulalongkorn Graduate,Thailand
150,Chulalongkorn University and Science Achievement Scholarship of Thailand,Thailand
151,ALMA-CONICYT,Chile
152,CNRS/INSU,France
153,"Commission on Higher Education, Ministry of Education of Thailand",Thailand
154,"Center for Alcohol Studies, Thailand",Thailand
155,Princess Mother National Institute on Drug Abuse Treatment,Thailand
156,Chinese Scholarship Council,China
157,Nanotec-CU Center of Excellence on Food and Agriculture,Thailand
158,"TRF, Chulalongkorn University",Thailand
159,Rajamangala University of Technology Suvarnabhumi,Thailand
160,CAPES fellowships,Brazil
161,CNPq PVE,Brazil
162,Sao Paulo Research Foundation,Brazil
163,University Medical Center Rotterdam,Netherlands
164,Bundesministerium für,Germany
165,Russian Competitiveness Program of NRNU,Russia
166,"Secretariat for Higher Education, Science, Technology and Innovation",Ecuador
167,KA Wallenberg foundation,Sweden
168,Ratchadaphiseksom-phot Endowment Fund,Thailand
169,Thailand Research Fund,Thailand
170,100th Anniversary Chulalongkorn University Fund for Doctoral Scholarship,Thailand
171,Deutsche For-schungsgemeinschaft,Germany
172,Kidney Foundation of Thailand,Thailand
173,Office of Biological and Environmental Research,United States
174,US Department of Energy,United States
175,"Center of Excellence in Materials Science and Technology, Chiang Mai University",Thailand
176,Huevepharma (Thailand) Ltd,Thailand
177,Chinese Academy of Sciences and Local Innovative and Research Teams Project of Guangdong Pearl River Talents Program,China
178,Thang Long Construction Corporation,Vietnam
179,Chulalongkorn University-Veterinary Science Research Fund,Thailand
180,Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Spain
181,European Union Horizon 2020 Marie Skłodowska-Curie,Belgium
182,National Institutes of Health,United States
183,Willis Research Network,United Kingdom
184,"Center of Excellence for Thai Music and Culture Research, Faculty of Fine and Applied Arts",Thailand
185,"National Center for Genetic Engineering and Biotechnology, Ministry of Science and Technology, Thailand",Thailand
186,BK21 PLUS Program for Creative Veterinary Science Research Center,South Korea
187,Research Institute for Veterinary Science,South Korea
188,AOARD,Japan
189,Asian Office of Aerospace Research and Development,United States
190,American Cancer Society Clinical Research Professorship,United States
191,Khun Poom Foundation,Thailand
192,Thai Ministry of Science and Technology,Thailand
193,Thailand Center of Excellence for Life Sciences,Thailand
194,NIEHS/NIH,United States
195,Chulalongkorn Hospital,Thailand
196,Maharaj Nakorn Chiangmai Hospital and Medical Research Network,Thailand
197,NHSO,Thailand
198,Phramongkutklao Hospital,Thailand
199,Ramathibodi Hospital,Thailand
200,Srinagarind Hospital,Thailand
201,Balnaves Foundation,Australia
202,International Agency for Research on Cancer6,France
203,United States Environmental,United States
204,Coordenac¸ão de Aper-feic¸oamento de Pessoal de Nível Superior,Brazil
205,Instituto Cérebro e Mente and Universidade do Extremo Sul Catarinense,Brazil
206,JST-JICA,Japan
207,Transportation Institute Chulalongkorn University,Thailand
208,excellent young and middle-aged scientists of Shandong Province,China
209,National Institute of Allergy and Infectious Diseases Division of AIDS,United States
210,South Carolina Chemist Award,United States
211,South Carolina Governor,United States
212,Founda- tion for Polish Science,Poland
213,National Research Council of Thailand and Agricultural research development agency,Thailand
214,NINDS/NIMH,United States
215,National Health Service,United Kingdom
216,National Research Foundation,South Africa
217,Cluster Ratchadapisek Sompotch Endowment Fund,Thailand
218,HIV-NAT Clinic,Thailand
219,Adiyaman University,Turkey
220,Bingol University,Turkey
221,Cag University,Turkey
222,Erzincan University,Turkey
223,Istanbul Aydin University,Turkey
224,Istanbul Bilgi University,Turkey
225,Izmir Institute of Technology,Turkey
226,Kafkas University,Turkey
227,Malaysian Nuclear Agency,Malaysia
228,Marmara University,Turkey
229,Mersin University,Turkey
230,Riga Technical University,Latvia
231,USABeykent University,Turkey
232,"University of Belgrade, Faculty of Physics and Vinca Institute of Nuclear Sciences, Belgrade, Serbia Also at Scuola Normale e Sezione",Serbia
233,Utah Valley University,United States
234,Zurich,Switzerland
235,International Research Network,United Kingdom
236,Ratchadphiseksomphot Endowment Fund,Thailand
237,ASIAA (Taiwan),Taiwan
238,"Faculty of Science and Technological Industry, Prince of Songkla University",Thailand
239,Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico,Brazil
240,Siriraj Graduate Scholarship,Thailand
241,Chulalongkorn University and Chu-lalongkorn Hospital,Thailand
242,Pericardia Program of The Royal College of Physicians of Thailand,Thailand
243,Ratchada-phiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology,Thailand
244,Thai Association,Thailand
245,Chulalongkorn Academic Advancement Fund,Thailand
246,"Cooperation Research Program of the Wildlife Research Center, Kyoto University",Japan
247,Kyoto University Foundation,Japan
248,Chulalongkorn University for Doctoral Scholarship,Thailand
249,Henry M. Jackson Foundation,United States
250,National Cancer Institute,United States
251,National Institute of Allergy and Infectious Diseases,United States
252,Thai Government Pharmaceutical Organization,Thailand
253,Thai Red Cross AIDS Research Center,Thailand
254,US Department of the Army,United States
255,NIH/NCI,United States
256,Doctoral Degree Chulalongkorn University,Thailand
257,Ratchadapisek Sompot Fund,Thailand
258,United States Biomedical Advanced Research and Development Authority,United States
259,Coordinating Center for Thai Government Science and Technology,Thailand
260,"Faculty of Medicine, Ramathibodi Hospital, Mahidol University",Thailand
261,AFOSR/AOARD,United States
262,NSTDA Research Chair,Thailand
263,"Office of Industrial Economics, Ministry of Industry",Thailand
264,Irish Centre for Research in Applied Geosciences,Ireland
265,UK Natural Environmental Research Council,United Kingdom
266,Siriraj Clinical Research Center,Thailand
267,Thai Society of Hematology,Thailand
268,Chulalongkorn University Dutsadi Phiphat Scholarship,Thailand
269,Penn State Institute of Energy and the Environment,United States
270,Borrego Foundation,United States
271,Gordon and Betty Moore,United States
272,Victor and William Fung Foundation,Hong Kong
273,Dutch Brain Foundation,Netherlands
274,Netherlands Organization for Health Research and Development,Netherlands
275,Radboud University Medical Centre,Netherlands
276,patient association Association des Personnes concernées par le Tremblement Essentiel,France
277,Physics Department of the University of Buenos Aires,Argentina
278,Pontificia Universidad Católica de Valparáıso and Universidad Adolfo Ibáñez,Chile
279,Spanish FPI,Spain
280,New Frontier Leader Program for Rare-metal and Resources of Akita University,Japan
281,Pan-American Ophthalmological Foundation,United States
282,Founding Sponsor ViiV Healthcare and Janssen,United Kingdom
283,Chula-longkorn University,Thailand
284,Ratchadaphiseksomphot Fund,Thailand
285,NSTDA,Thailand
286,National Science and Technology Development Agency,Thailand
287,Her Royal Highness Maha Chakri Sirindhorn and Center of Excellence on Biodiversity,Thailand
288,Institute of Pharmacology Polish Academy of Sciences,Poland
289,Polish National Science Center,Poland
290,Chulalongkorn University in Thailand,Thailand
291,Mahidol University in Thailand,Thailand
292,National Medical Research Council in Singapore,Singapore
293,Thailand Government Fund,Thailand
294,Fulbright foundation,United States
295,International Research Network Thailand Research Fund,Thailand
296,Thai government,Thailand
297,Japanese Government Scholarship,Japan
298,Fonds voor Weten-schappelijk Onderzoek,Belgium
299,Ministry of Science of Montenegro,Montenegro
300,"Ministry of Science, Technology and Research, Sri Lanka",Sri Lanka
301,Pro-grama Severo Ochoa del Principado de Asturias,Spain
302,CU second Century Project,United States
303,Geran Putra-Inisiatif Putra Siswazah,Malaysia
304,Research Institute of Rangsit University,Thailand
305,Faculty of Veterinary Science at Chulalongkorn University,Thailand
306,Petroleum and Petrochemical College,Thailand
307,Rachadapisek Sompot Fund,Thailand
308,FONDECYT Government of Chile,Chile
309,Chulalongkorn University Centenary Academic Development Project,Thailand
310,"Faculty of Biotechnology, Ramkhamhaeng University",Thailand
311,Galois Inc.,United States
312,US-Israel BSF,United States
313,"Panjab University, Chandigarh",India
314,Dutch Arthritis Foundation,Netherlands
315,Horse Trust,United Kingdom
316,Institute of Research and Development Walailak University,Thailand
317,Ratchadaphiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology,Thailand
318,Ubon Ratchathani University,Thailand
319,"China-Africa Center for Research and Education, Chinese Academy of Sciences",China
320,Chul-alongkorn University,Thailand
321,Ratchadapiseksomphot Endowment,Thailand
322,"National Research Council of Thailand, Mahidol University",Thailand
323,NIH/NIAID,United States
324,UCLA Center for AIDS Research,United States
325,Austrian Science Foundation,Austria
326,Chulalongkorn University for Plant Biomass Utilization Research Unit,Thailand
327,SHELL Centennial Education Fund,United Kingdom
328,Massachusetts Life Science Center,United States
329,"National Health Security Office, Thailand",Thailand
330,Chulalongkorn University Faculty of Veterinary Science Research Fund,Thailand
331,"Center of Excellence for Petrochemical and Materials Technology, Chulalongkorn University",Thailand
332,"Department of Obstetrics, Gynaecology and Reproduction, Faculty of Veterinary Science, Chulalongkorn University",Thailand
333,Ratchadapiseksompot Fund,Thailand
334,Genetics the University of Tokyo,Japan
335,Wildlife and Plant Conservation of Thailand,Thailand
336,Australian Government Department of Health and Ageing,Australia
337,CAPES/Alexander von Humboldt,Brazil
338,Neurocare group GmbH,Germany
339,Fonds voor Wetenschappelijk Onder-zoek,Belgium
340,Plan Estatal de Investigación Científica y Téc-nica y de Innovación,Spain
341,Sec-retaría de Estado de Investigación,Spain
342,Pharmacy Council of Thailand,Thailand
343,Egyptian Ministry of Higher Education to Islam Ateia,Egypt
344,Chulabhorn International College of Medicine Research Fund,Thailand
345,Chulalogkorn University,Thailand
346,Abbott and MSD,United States
347,CIHR/GSK,Canada
348,MRC CTU,United Kingdom
349,"Medical Research Council, UK",United Kingdom
350,Merck Research Laboratories,United States
351,Merck Sharpe & Dohme,United States
352,Pfizer Ltd.,United States
353,Quest Diagnostics,United States
354,Selah Genomics Inc.,United States
355,Siemens and Roche,Germany
356,St Vincent's Hospital,Australia
357,"University of New South Wales, Australia",Australia
358,University of Hohenheim Experiment Station,Germany
359,National Science Foundation EPSCoR,United States
360,Department of Science Service,Thailand
361,Royal Thai Government Scholarship,Thailand
362,Ratch adaphiseksomphot Endowment Fund,Thailand
363,"National Center of Excellence for Environmental and Hazardous Waste Management, Chulalongkorn University",Thailand
364,"Pig Business, Chareon Pokaphand Foods Public Company Limited Group",Thailand
365,Ministry of Education and Research and Development Institute Ramkhamhaeng University,Thailand
366,Rachadapisek Sompoch Endowment Fund,Thailand
367,EPSRC Centre for Doctoral Training in Condensed Matter Physics,United Kingdom
368,NIH/NCRR,United States
369,Tianjin Science and Technology Fund,China
370,"Department of Medicine, Chulalongkorn University",Thailand
371,Swedish Science Foundation,Sweden
372,MINECO Centro de Excelencia Severo Ochoa Programs,Spain
373,Ministry of Education of Spain,Spain
374,ForestGEO,United States
375,Grantova Agentura Cesk≤ e Republiky,Czech Republic
376,Smithsonian Institution Barcoding Opportunity,United States
377,Chulalongkron University,Thailand
378,MEXT/JST,Japan
379,Faculty of Health and Life Sciences,United Kingdom
380,Aomori City Government,Japan
381,Chulalongkorn University Ratchadaphiseksomphot Fund,Thailand
382,Division of AIDS,United States
383,"Military Medicine, Inc.",United States
384,Thai Red Cross AIDS Research Centre,Thailand
385,University of Wisconsin,United States
386,JST-ACT-C,Japan
387,"Key Research Program of Frontier Sciences, CAS",China
388,Astra Zeneca,United Kingdom
389,Stanley Medical Research Foundation,United States
390,National Research Foundation of South Africa and DST-NRF Centre of Excellence in Mathematical and Statistical Sciences,South Africa
391,Royal Thai government,Thailand
392,Maharat Nakhon Rat-chasima Hospital,Thailand
393,Graduate School Chulalongkorn University and Malaysian Agricultural Research Development Institute,Thailand
395,NIH-NCI,United States
396,Texas Children’s Hospital Flow Cytometry Core Laboratory,United States
397,Texas Children’s Hospital Small Animal Imaging Facility,United States
398,J-GRID,Japan
399,Japan Initiative for Global Research Network on Infectious Diseases,Japan
400,Biochemistry University of California-Los Angeles Los Angeles,United States
401,Chulalongkorn University Bangkok 10330,Thailand
402,Department of Biomedical Sciences Neuroscience Research Institute Seoul National University College of Medicine Seoul 03080,South Korea
403,Department of Chemistry Korea University Seoul 02841,South Korea
404,KISTI,South Korea
405,Korea University Future Research,South Korea
406,MSIP,South Korea
407,NRF of Korea,South Korea
408,Thai DPST Talents Project,Thailand
409,UCLA Molecular Biology Institute,United States
410,UCLA/DOE,United States
411,US DOE,United States
412,US NIH,United States
413,University of California-Los Angeles Los Angeles,United States
414,Wongkongkathep Systems Biology Center,Thailand
415,National Research Council of Thailand for Urban Water Reuse Project,Thailand
416,Department of Disease Control,Thailand
417,Chulalongkorn University Fund,Thailand
418,Ratchapiseksompotch Fund,Thailand
419,"Northern Resources , Chiang Mai University",Thailand
420,Hong Kong Health and Medical Research Fund,Hong Kong
421,Research Grants Council of the Hong Kong Government,Hong Kong
422,University of Cincinnati Metabolic Diseases Institute,United States
423,NRF-2017R1A2B4003781,South Korea
424,"Polish Academy of Sciences and Jagiellonian University Medical College, Kraków, Poland",Poland
425,Thamma-sat University,Thailand
426,Nursing Chulalongkorn University,Thailand
427,"Petroleum and Petrochemical College , Center of Excellence on Petrochemical and Materials Technology, Chulalongkorn University",Thailand
428,"Silpakorn University, Thailand and Center of Excellence for Petroleum Petrochemicals and Advanced Materials",Thailand
429,DSREC,United Arab Emirates
430,Mahidol University and Nanomaterial for Energy and Catalyst Laboratory,Thailand
431,NANOTEC,Thailand
432,National Nanotechnology Center,Thailand
433,Ratchadaphiseksomphot Endownment Fund,Thailand
434,"Alcon , Fort Worth",United States
435,Alcon Japan Ltd,Japan
436,Asia Cornea Foundation,India
437,Bayer Yakuhin Ltd,Japan
438,Ministry of Science and Technology of Taiwan Government,Taiwan
439,Senju Pharmaceutical,Japan
440,Senju Pharmaceutical Company and M's Science Corporation,Japan
441,Canton Zurich,Switzerland
442,ETH Board,Switzerland
443,Fundacão para a Ciência e a Tecnologia,Portugal
444,National Science and Technology Development Agency of Thailand,Thailand
445,Oskar Öflund Foundation,Finland
446,Turku University Foundation,Finland
447,European Union’s Seventh Framework Program,Belgium
448,Office of Advanced Science and Technology,United States
449,SUT-NANOTEC-SLRI,Thailand
450,Jichi Medical University School of Medicine,Japan
451,Ramkhamhaeng University and Nanotechnology Center,Thailand
452,Niedersachsen?Research Network on Neuroinfectiology,Germany
453,University of Veterinary Medicine Hannover,Germany
454,Chulalongkorn University Thailand,Thailand
455,Ratchadaphiseksomphot Endowment Fund Chulalongkorn University,Thailand
456,Canadian Foundation for Innovation and Western University,Canada
457,Helmholtz-Gemeinschaft Deutscher,Germany
458,Ratchadaphiseksomphot Endowment,Thailand
459,Chulalongkorn Unidersity,Thailand
460,"Center of Excellence on Petrochemical and Materials Technology, Chulalongkorn University",Thailand
461,National Research University Project of CHE,China
462,Science Achievement Scholarship Thailand,Thailand
463,NIH-NEI EY002162-Core,United States
464,National Medical Research Council of Singapore,Singapore
465,JST/CREST,Japan
466,Nanyang Technological University College of Humanities and Social Sciences,Singapore
467,100thAnniversary Chulalongkorn University,Thailand
468,NUIST Reading Academy at Nanjing University of Information Science & Technology,China
469,Plant Biomass Utilization Research Unit,United States
470,Alexander von Humboldt Foun,Germany
471,Ratchadaph- iseksomphot Endowment Fund,Thailand
472,Science Chulalongkorn University,Thailand
473,Chulalong-korn University Fund,Thailand
474,Rachadapisek Sompote Fund,Thailand
475,CERCA Program/Generalitat de Catalunya,Spain
476,"Faculty of Veterinary Science, Chulalongkorn University",Thailand
477,"Chulalongkorn Academic Advancement into Its second Century Project Grant for International Research Integration, Chulalongkorn Research Scholar",Thailand
478,Rachadapisek Sompote Endowment Fund,Thailand
479,Chulalongkorn University Ratchadaphiseksomphot Endowment,Thailand
480,LPDP,Indonesia
481,Chulalongkorn University Ratchadaphiseksomphot Endowment Fund,Thailand
482,College of Industrial Technology,Philippines
483,Royal Thai Government Budget,Thailand
484,Bhumirajanagarindra Kidney Institute,Thailand
485,Royal Society of Thailand,Thailand
486,"Faculty of Science, Chulalongkorn University and Science Achievement Scholarship of Thailand",Thailand
487,Chulalongkorn University’s CUniverse,Thailand
488,DFG priority program 1573,Germany
489,Mahidol University Central Instrument Facility,Thailand
490,KRC Seoul,South Korea
491,NRL Australia,Australia
492,Thermo Fisher Scientific Australia,Australia
493,NIH Office of the Director of AIDS Research,United States
494,NIH Office of the Director of Research on Women’s Health,United States
495,NIH-NEI,United States
496,President Fund for Science and Education Fusion of UCAS,China
497,Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University,Thailand
498,CAS-CONICYT,Chile
499,National Commission for Scientific and Technological Research of Chile,Chile
500,Royal Society Leverhulme Trust,United Kingdom
501,"Center of Excellence on Petrochemicals and Materials Technology, Chu-lalongkorn University",Thailand
502,European Medical Writers Association,United Kingdom
503,"Sanofi Pasteur, Lyon",France
504,"Center for Agricultural Biotechnology, Kasetsart University",Thailand
505,Center of Excellence Network and Ratchadaphiseksomphot Endowment Fund,Thailand
506,U. S. National Science Foundation,United States
507,NH&MRC,Australia
508,National Institutes of Health-sponsored Center,United States
509,AUI/NRAO,United States
510,Chulalongkorn Universitys Ratchadapiseksompot Endowment Fund,Thailand
511,European Union's Seventh Frame-work,Belgium
512,National Research Council of Thailand and Agricultural Research Development Agency,Thailand
513,All India Institute of Medical Sciences,India
514,Institute of Disaster Mitigation for Urban Cultural Heritage of Ritsumeikan University,Japan
515,Fundação para a Ciên-cia e a Tecnologia,Portugal
516,Agricultural Research Development Agency,Thailand
517,Kasetsart University,Thailand
518,Ministry of Agricultural and Cooperatives,Thailand
519,NIHR Wellcome Trust Southampton Clinical Research Facility,United Kingdom
520,"Polish Academy of Sciences and Jagiellonian University Medical College , Kraków, Poland",Poland
521,"Nanoscience and Technology Program and Graduate School, Chulalongkorn University",Thailand
522,DST-SERB,India
523,Bamrasnaradura Institute,Thailand
524,Medical Research Network,United Kingdom
525,National Health Security Office,Thailand
526,"Faculty of Information and Communication Technology, Mahidol University",Thailand
527,University of Iceland Research Fund,Iceland
528,Chula Engineering,Thailand
529,PerkinElmer,United States
530,CDMRP DOD,United States
531,Hickey Foundation,United States
532,Rachadaphisek Sompoch Endowment 2016 Fund Chulalongkorn University,Thailand
533,Center of Excellence in Mathematics,Thailand
534,Shimizu Institute of Technology,Japan
535,Japanese government,Japan
536,90th Year Chulalongkorn Scholarship,Thailand
537,"Ministry of Science, Technology and Innovation of Malaysia",Malaysia
538,Jewelry Institute of Thailand,Thailand
539,German Science Foundation,Germany
540,Niigata University U-go,Japan
541,Graduate School of Chulalongkorn University,Thailand
542,Ratch-adapiseksomphot Endowment Fund,Thailand
543,Solare Energie Umwandlung,Germany
544,Penn State's Institute of Energy,United States
545,ASEAN University Network,Thailand
546,Chulalongkorn University Fund and Grant for International Research Integration,Thailand
547,Sirindhorn College of Public Health,Thailand
548,Heart Association of Thailand,Thailand
549,Ministry of Sci- ence and Higher Education,Poland
550,VA National Center for PTSD Research,United States
551,Ratchadapiseksomphot Endowment Fund,Thailand
552,Ratchadaphisek Somphot Endowment Fund,Thailand
553,Kerala State Biodiversity Board,India
554,Rachadaphisek Somphot Fund,Thailand
555,"Schlinger Foundation, USA",United States
556,Swedish International Agricultural Network Initiative,Sweden
557,VU University Medical Center,Netherlands
558,Ratchadapiseksompotch Research Fund,Thailand
559,Red Cross Society of Thailand,Thailand
560,PTT Research and Technology Institute,Thailand
561,Department of Pharmacy & Radboud Institute for Health Sciences,Netherlands
562,Rad-boud University Medical Center,Netherlands
563,"Petroleum and Petrochemical College and Centre of Excellence on Petrochemical and Materials Technology, Thailand",Thailand
564,National Institute of Health Research University College London Hospitals Biomedical Research Centre,United Kingdom
565,National Natural Science Foundation,China
566,"Shanghai Committee of Science and Technology, China",China
567,"Faculty of Engineering, Kasetsart University",Thailand
568,EDS Chulalongkorn University,Thailand
569,FSPU UiTM,Malaysia
570,KAED IIUM,Malaysia
571,"Lanzhou (China), Orono",China
572,"Chemical Approaches for Food Applications Research Group, Faculty of Science, Chulalongkorn University",Thailand
573,School of Veterinary Studies & Roslin Institute,United Kingdom
574,JSPS Core-to,Japan
575,"King Chulalongkorn University, Thailand",Thailand
576,National Research University Project of Thailand,Thailand
577,Rajamangala University of Technology Tawan-ok,Thailand
578,Fondazione Ing,Italy
579,Fundac¸ão para a Ciência e a Tecnologia,Portugal
580,Thailand Research Fund and Oﬃce of the Higher Education Commission,Thailand
581,Government Pharmaceutical Organization of Thailand,Thailand
582,Thai National Health Security Office,Thailand
583,National Institute of Environmental Health Sciences,United States
584,Ratcha- dapisek Sompoch Endowment Fund,Thailand
585,Chulalongkorn University Centenary,Thailand
586,Guangdong Province,China
587,MSD animal health Ltd.,United Kingdom
588,FWO-Vlaanderen,Belgium
589,"Graduate School and Faculty of Science, Chulalongkorn University",Thailand
590,"Wako Life Sciences, Inc.",United States
591,Thai Meteorological Department,Thailand
592,National Health Security Office program,Thailand
593,90-year Chulalongkorn University,Thailand
594,U.S. Department of Energy Office of Science,United States
595,Chulalongkorn Research,Thailand
596,Chulalongkorn University Omics Sciences and Bioinformatics Center,Thailand
597,Jongkolnee Nidhi Foundation,Thailand
598,Thailand research fund Career Development,Thailand
599,Luxembourg Institute of Health,Luxembourg
600,Ratchadaphiseksomphot Endowment Fund of Chu-lalongkorn University,Thailand
601,Beuth University of Applied Sciences,Germany
602,Brawijaya University,Indonesia
603,National University of Laos,Laos
604,Colorado State University and BP Exploration Operating Company Ltd,United States
605,"Office of the Higher Education Commission , Ministry of Education",Thailand
606,Office of Narcotic Control Board,Thailand
607,National Research Council of Thailand,Thailand
