,Eid,Funding_Count,Has_Funding,Has_Cite-By,Subtype,Publish_year,Publish_month,Cite-By_Count
154,2-s2.0-85053335454,5,1,1,Article,2018.0,9.0,2.0
156,2-s2.0-85030673725,3,1,1,Article,2018.0,2.0,23.0
158,2-s2.0-85030689461,5,1,1,Article,2018.0,3.0,15.0
160,2-s2.0-85045043144,1,1,1,Article,2018.0,9.0,7.0
162,2-s2.0-85058100356,99,1,1,Article,2018.0,11.0,40.0
164,2-s2.0-85045939365,3,1,1,Article,2018.0,4.0,21.0
166,2-s2.0-85020815543,0,0,1,Article,2018.0,8.0,19.0
168,2-s2.0-85040167175,2,1,1,Article,2018.0,1.0,185.0
170,2-s2.0-85047222753,5,1,1,Article,2018.0,12.0,16.0
172,2-s2.0-85041811056,0,0,1,Article,2018.0,2.0,13.0
174,2-s2.0-85055188449,2,1,1,Article,2018.0,9.0,5.0
176,2-s2.0-85047883101,101,1,1,Article,2018.0,5.0,51.0
178,2-s2.0-85050130167,4,1,1,Article,2018.0,7.0,15.0
180,2-s2.0-85008354493,5,1,1,Article,2018.0,4.0,9.0
182,2-s2.0-85044737812,8,1,1,Article,2018.0,7.0,29.0
184,2-s2.0-85056065681,0,0,1,Article,2018.0,11.0,10.0
186,2-s2.0-85053161886,2,1,1,Article,2018.0,9.0,32.0
188,2-s2.0-85042682561,6,1,1,Article,2018.0,3.0,9.0
190,2-s2.0-85050377983,3,1,1,Article,2018.0,9.0,7.0
192,2-s2.0-85039159576,4,1,1,Article,2018.0,3.0,4.0
194,2-s2.0-85048709924,2,1,1,Article,2018.0,9.0,11.0
196,2-s2.0-85021300848,4,1,1,Article,2018.0,1.0,37.0
198,2-s2.0-85062859793,0,0,1,Article,2018.0,11.0,7.0
200,2-s2.0-85049155044,2,1,1,Article,2018.0,6.0,2.0
202,2-s2.0-85035331598,0,0,1,Article,2018.0,5.0,24.0
204,2-s2.0-85045011508,5,1,1,Article,2018.0,7.0,14.0
206,2-s2.0-85047668404,2,1,1,Article,2018.0,5.0,36.0
208,2-s2.0-85031812835,7,1,1,Article,2018.0,2.0,69.0
210,2-s2.0-85054036077,81,1,1,Article,2018.0,9.0,276.0
212,2-s2.0-85068981951,6,1,1,Article,2018.0,11.0,11.0
214,2-s2.0-85049863844,100,1,1,Article,2018.0,3.0,42.0
216,2-s2.0-85040090503,0,0,1,Article,2018.0,6.0,14.0
218,2-s2.0-85053619106,5,1,1,Article,2018.0,12.0,19.0
220,2-s2.0-85058903604,5,1,1,Article,2018.0,10.0,9.0
222,2-s2.0-85052814087,0,0,0,Article,2018.0,10.0,0.0
224,2-s2.0-85034585467,0,0,1,Article,2018.0,2.0,14.0
226,2-s2.0-85052472790,2,1,1,Article,2018.0,12.0,30.0
228,2-s2.0-85045506137,0,0,1,Article,2018.0,3.0,2.0
230,2-s2.0-85051063546,4,1,1,Article,2018.0,8.0,12.0
232,2-s2.0-85045208701,7,1,0,Article,2018.0,4.0,0.0
234,2-s2.0-85047073581,4,1,1,Article,2018.0,7.0,3.0
236,2-s2.0-85057108057,5,1,1,Article,2018.0,11.0,20.0
238,2-s2.0-85040841375,99,1,1,Article,2018.0,1.0,87.0
240,2-s2.0-85044744207,5,1,1,Article,2018.0,3.0,1.0
242,2-s2.0-85052628288,100,1,1,Article,2018.0,9.0,18.0
244,2-s2.0-85051180271,4,1,1,Article,2018.0,12.0,11.0
246,2-s2.0-85048976221,2,1,1,Article,2018.0,2.0,5.0
248,2-s2.0-85059094534,2,1,0,Article,2018.0,9.0,0.0
250,2-s2.0-85089568477,0,0,0,Article,2018.0,5.0,0.0
252,2-s2.0-85052199402,11,1,1,Article,2018.0,7.0,1.0
254,2-s2.0-85019615771,4,1,1,Article,2018.0,4.0,20.0
256,2-s2.0-85048749584,3,1,1,Article,2018.0,7.0,35.0
258,2-s2.0-85047383489,96,1,1,Article,2018.0,5.0,44.0
260,2-s2.0-85023170224,0,0,1,Article,2018.0,1.0,26.0
262,2-s2.0-85031821306,2,1,1,Article,2018.0,1.0,12.0
264,2-s2.0-85052968790,6,1,1,Article,2018.0,9.0,32.0
266,2-s2.0-85045759869,6,1,1,Article,2018.0,7.0,16.0
268,2-s2.0-85039417015,0,0,1,Article,2018.0,4.0,2.0
270,2-s2.0-85051677305,2,1,1,Article,2018.0,7.0,27.0
272,2-s2.0-85052729319,6,1,1,Article,2018.0,9.0,4.0
274,2-s2.0-85042677604,3,1,1,Article,2018.0,2.0,10.0
276,2-s2.0-85050662074,2,1,1,Article,2018.0,12.0,140.0
278,2-s2.0-85044411323,3,1,1,Article,2018.0,3.0,43.0
280,2-s2.0-85028502506,9,1,1,Article,2018.0,5.0,28.0
282,2-s2.0-85037972365,5,1,1,Article,2018.0,4.0,54.0
284,2-s2.0-85010015810,0,0,1,Article,2018.0,1.0,29.0
286,2-s2.0-85046530585,6,1,1,Article,2018.0,10.0,46.0
288,2-s2.0-85067075989,11,1,1,Article,2018.0,12.0,2.0
290,2-s2.0-85056255685,2,1,1,Article,2018.0,9.0,2.0
292,2-s2.0-85037527871,2,1,1,Article,2018.0,1.0,6.0
294,2-s2.0-84976902133,0,0,1,Article,2018.0,5.0,14.0
296,2-s2.0-85033223295,5,1,1,Article,2018.0,7.0,7.0
298,2-s2.0-85045183447,7,1,1,Article,2018.0,11.0,4.0
300,2-s2.0-85047652244,3,1,1,Article,2018.0,9.0,3.0
302,2-s2.0-85041619225,2,1,1,Article,2018.0,3.0,19.0
304,2-s2.0-85020480998,0,0,1,Article,2018.0,1.0,16.0
306,2-s2.0-85041534447,4,1,1,Article,2018.0,12.0,9.0
308,2-s2.0-85042584759,10,1,1,Article,2018.0,2.0,43.0
310,2-s2.0-85046688382,4,1,1,Article,2018.0,5.0,35.0
312,2-s2.0-85055312528,0,0,0,Article,2018.0,7.0,2.0
314,2-s2.0-85045732767,2,1,1,Article,2018.0,6.0,54.0
316,2-s2.0-85051840032,100,1,1,Article,2018.0,8.0,59.0
318,2-s2.0-85045091334,99,1,1,Article,2018.0,3.0,16.0
320,2-s2.0-85045737563,3,1,1,Article,2018.0,8.0,40.0
322,2-s2.0-85053439955,0,0,1,Article,2018.0,12.0,56.0
324,2-s2.0-85029507390,7,1,1,Article,2018.0,2.0,82.0
326,2-s2.0-85050810403,2,1,1,Article,2018.0,11.0,62.0
328,2-s2.0-85042358246,9,1,1,Article,2018.0,1.0,1.0
330,2-s2.0-85049139765,6,1,0,Article,2018.0,4.0,0.0
332,2-s2.0-85041519189,2,1,1,Article,2018.0,4.0,40.0
334,2-s2.0-85048852055,6,1,1,Article,2018.0,7.0,28.0
336,2-s2.0-85040372659,2,1,1,Article,2018.0,7.0,16.0
338,2-s2.0-85053448876,4,1,1,Article,2018.0,11.0,1.0
340,2-s2.0-85055145038,1,1,1,Article,2018.0,9.0,3.0
342,2-s2.0-85037859579,2,1,1,Article,2018.0,2.0,12.0
344,2-s2.0-85037812126,2,1,1,Article,2018.0,1.0,10.0
346,2-s2.0-85050864383,2,1,1,Article,2018.0,9.0,11.0
348,2-s2.0-85055752021,0,0,1,Article,2018.0,6.0,8.0
350,2-s2.0-85051326383,4,1,1,Article,2018.0,7.0,3.0
352,2-s2.0-85042708303,0,0,1,Article,2018.0,4.0,16.0
354,2-s2.0-85050195928,4,1,1,Article,2018.0,11.0,24.0
356,2-s2.0-85059248986,0,0,1,Article,2018.0,12.0,1.0
358,2-s2.0-85035000126,4,1,1,Article,2018.0,3.0,79.0
360,2-s2.0-85047417336,3,1,1,Article,2018.0,6.0,34.0
362,2-s2.0-85041953513,5,1,1,Article,2018.0,2.0,53.0
364,2-s2.0-85028968808,2,1,1,Article,2018.0,3.0,5.0
366,2-s2.0-85051952905,2,1,1,Article,2018.0,11.0,37.0
368,2-s2.0-85042885879,3,1,1,Article,2018.0,5.0,32.0
370,2-s2.0-85049674972,0,0,1,Article,2018.0,8.0,43.0
372,2-s2.0-85045128638,7,1,1,Article,2018.0,4.0,5.0
374,2-s2.0-85048711828,0,0,1,Article,2018.0,6.0,27.0
376,2-s2.0-85046136591,6,1,1,Article,2018.0,8.0,32.0
378,2-s2.0-85043242314,2,1,1,Article,2018.0,3.0,19.0
380,2-s2.0-85044339553,0,0,0,Article,2018.0,6.0,0.0
382,2-s2.0-85057083547,4,1,1,Article,2018.0,12.0,29.0
384,2-s2.0-85054184829,0,0,1,Article,2018.0,10.0,4.0
386,2-s2.0-85041738585,3,1,1,Article,2018.0,2.0,14.0
388,2-s2.0-85042621688,0,0,1,Article,2018.0,6.0,89.0
390,2-s2.0-85055174378,4,1,1,Article,2018.0,4.0,44.0
392,2-s2.0-85049063852,7,1,1,Article,2018.0,6.0,3.0
394,2-s2.0-85043984026,0,0,1,Article,2018.0,5.0,34.0
397,2-s2.0-85040707959,4,1,1,Article,2018.0,9.0,10.0
399,2-s2.0-85029151002,1,1,1,Article,2018.0,1.0,33.0
401,2-s2.0-85048339597,4,1,1,Article,2018.0,6.0,19.0
403,2-s2.0-85046767864,5,1,0,Article,2018.0,4.0,0.0
405,2-s2.0-85048454397,5,1,1,Article,2018.0,8.0,29.0
407,2-s2.0-85049811148,3,1,1,Article,2018.0,10.0,19.0
409,2-s2.0-85054780572,3,1,1,Article,2018.0,10.0,26.0
411,2-s2.0-85055877820,7,1,1,Article,2018.0,12.0,8.0
413,2-s2.0-85043522994,7,1,1,Article,2018.0,6.0,28.0
415,2-s2.0-85055149780,6,1,1,Article,2018.0,8.0,8.0
417,2-s2.0-85047186632,102,1,1,Article,2018.0,4.0,13.0
419,2-s2.0-85053448002,0,0,1,Article,2018.0,11.0,14.0
421,2-s2.0-85039721209,2,1,1,Article,2018.0,2.0,40.0
423,2-s2.0-85053662303,101,1,1,Article,2018.0,9.0,32.0
425,2-s2.0-85049408729,1,1,1,Article,2018.0,7.0,4.0
427,2-s2.0-85027198855,0,0,0,Article,2018.0,8.0,0.0
429,2-s2.0-85064718907,101,1,1,Article,2018.0,6.0,130.0
431,2-s2.0-85032805319,0,0,1,Article,2018.0,6.0,14.0
433,2-s2.0-85059675381,3,1,1,Article,2018.0,12.0,13.0
435,2-s2.0-85050344082,2,1,1,Article,2018.0,10.0,5.0
437,2-s2.0-85049872904,6,1,1,Article,2018.0,1.0,4.0
439,2-s2.0-85043240477,0,0,1,Article,2018.0,11.0,27.0
441,2-s2.0-85041697042,6,1,1,Article,2018.0,4.0,26.0
443,2-s2.0-85031940782,0,0,1,Article,2018.0,8.0,9.0
445,2-s2.0-85045222719,2,1,1,Article,2018.0,3.0,17.0
447,2-s2.0-85030854232,5,1,1,Article,2018.0,6.0,10.0
449,2-s2.0-85060162536,0,0,0,Article,2018.0,12.0,2.0
451,2-s2.0-85050374171,2,1,1,Article,2018.0,10.0,2.0
453,2-s2.0-85044059764,0,0,1,Article,2018.0,1.0,2.0
455,2-s2.0-85049126613,0,0,0,Article,2018.0,4.0,0.0
457,2-s2.0-85041410863,0,0,1,Article,2018.0,2.0,14.0
459,2-s2.0-85053213055,0,0,1,Article,2018.0,11.0,1.0
461,2-s2.0-85039707027,0,0,1,Article,2018.0,1.0,14.0
463,2-s2.0-85039722861,4,1,1,Article,2018.0,2.0,26.0
465,2-s2.0-85053754566,5,1,1,Article,2018.0,9.0,10.0
467,2-s2.0-85049401886,2,1,1,Article,2018.0,7.0,3.0
469,2-s2.0-85048322358,5,1,1,Article,2018.0,6.0,5.0
471,2-s2.0-85046754470,1,1,0,Article,2018.0,4.0,0.0
473,2-s2.0-85048292237,4,1,1,Article,2018.0,8.0,45.0
475,2-s2.0-85050089963,4,1,1,Article,2018.0,10.0,42.0
477,2-s2.0-85053749794,8,1,1,Article,2018.0,12.0,21.0
479,2-s2.0-85054598542,5,1,1,Article,2018.0,10.0,3.0
481,2-s2.0-85055710234,6,1,1,Article,2018.0,12.0,9.0
483,2-s2.0-85043683102,5,1,1,Article,2018.0,6.0,22.0
485,2-s2.0-85045193269,6,1,1,Article,2018.0,3.0,32.0
487,2-s2.0-85042584526,4,1,1,Article,2018.0,2.0,18.0
489,2-s2.0-85043476619,5,1,1,Article,2018.0,4.0,10.0
491,2-s2.0-85044037605,5,1,1,Article,2018.0,5.0,3.0
493,2-s2.0-85029159795,5,1,1,Article,2018.0,1.0,26.0
495,2-s2.0-85040249641,5,1,1,Article,2018.0,9.0,13.0
497,2-s2.0-85048018727,0,0,1,Article,2018.0,11.0,30.0
499,2-s2.0-85053455291,2,1,1,Article,2018.0,12.0,15.0
501,2-s2.0-85049635232,5,1,1,Article,2018.0,8.0,8.0
503,2-s2.0-85044938791,5,1,1,Article,2018.0,4.0,20.0
505,2-s2.0-85048576552,10,1,1,Article,2018.0,6.0,41.0
507,2-s2.0-85049303569,2,1,1,Article,2018.0,8.0,20.0
509,2-s2.0-85043353921,0,0,1,Article,2018.0,3.0,5.0
511,2-s2.0-85044448248,0,0,1,Article,2018.0,6.0,5.0
513,2-s2.0-85053921163,6,1,1,Article,2018.0,10.0,10.0
515,2-s2.0-85044849806,3,1,1,Article,2018.0,6.0,33.0
517,2-s2.0-85028984118,7,1,1,Article,2018.0,3.0,42.0
519,2-s2.0-85057781904,6,1,1,Article,2018.0,11.0,5.0
521,2-s2.0-85031400722,4,1,1,Article,2018.0,1.0,8.0
523,2-s2.0-85042909652,2,1,1,Article,2018.0,5.0,20.0
525,2-s2.0-85051334326,3,1,1,Article,2018.0,7.0,3.0
527,2-s2.0-85042873312,0,0,1,Article,2018.0,4.0,24.0
529,2-s2.0-85050191643,3,1,1,Article,2018.0,11.0,51.0
531,2-s2.0-85046032980,0,0,1,Article,2018.0,1.0,2.0
533,2-s2.0-85029818459,0,0,1,Article,2018.0,1.0,12.0
535,2-s2.0-85051278176,3,1,1,Article,2018.0,10.0,11.0
537,2-s2.0-85059255766,0,0,1,Article,2018.0,12.0,13.0
539,2-s2.0-85047731035,77,1,1,Article,2018.0,5.0,189.0
541,2-s2.0-85045142896,6,1,1,Article,2018.0,3.0,15.0
543,2-s2.0-85050794463,4,1,1,Article,2018.0,11.0,11.0
545,2-s2.0-85042359515,0,0,0,Article,2018.0,1.0,0.0
547,2-s2.0-85049875455,0,0,0,Article,2018.0,4.0,0.0
549,2-s2.0-85039942501,2,1,1,Article,2018.0,4.0,43.0
551,2-s2.0-85048476985,3,1,1,Article,2018.0,7.0,69.0
553,2-s2.0-85036498020,2,1,1,Article,2018.0,7.0,31.0
555,2-s2.0-85053477724,3,1,1,Article,2018.0,11.0,60.0
557,2-s2.0-85055148645,2,1,1,Article,2018.0,9.0,1.0
559,2-s2.0-85038120430,2,1,1,Article,2018.0,2.0,37.0
561,2-s2.0-85050993973,2,1,1,Article,2018.0,9.0,27.0
563,2-s2.0-85037681290,2,1,1,Article,2018.0,1.0,17.0
565,2-s2.0-85093897088,0,0,0,Article,2018.0,1.0,0.0
567,2-s2.0-85045834409,7,1,1,Article,2018.0,6.0,5.0
569,2-s2.0-85051829925,2,1,1,Article,2018.0,8.0,15.0
571,2-s2.0-85045087730,102,1,1,Article,2018.0,3.0,118.0
573,2-s2.0-85045626371,3,1,1,Article,2018.0,8.0,33.0
575,2-s2.0-85053492921,4,1,1,Article,2018.0,12.0,11.0
577,2-s2.0-85028912249,5,1,1,Article,2018.0,2.0,26.0
579,2-s2.0-85015303108,0,0,1,Article,2018.0,5.0,5.0
581,2-s2.0-85033689474,3,1,1,Article,2018.0,7.0,5.0
583,2-s2.0-85040983639,2,1,1,Article,2018.0,11.0,9.0
585,2-s2.0-85047622204,2,1,1,Article,2018.0,9.0,23.0
587,2-s2.0-85041594251,5,1,1,Article,2018.0,3.0,8.0
589,2-s2.0-85041696827,2,1,1,Article,2018.0,12.0,26.0
591,2-s2.0-85042499737,4,1,1,Article,2018.0,2.0,13.0
593,2-s2.0-85046666265,5,1,1,Article,2018.0,5.0,4.0
595,2-s2.0-85049602739,3,1,1,Article,2018.0,7.0,1.0
597,2-s2.0-85044383305,4,1,1,Article,2018.0,3.0,24.0
599,2-s2.0-85049198533,0,0,1,Article,2018.0,5.0,37.0
601,2-s2.0-85037671164,3,1,1,Article,2018.0,4.0,2.0
603,2-s2.0-85057420667,5,1,1,Article,2018.0,12.0,11.0
605,2-s2.0-85047113263,2,1,1,Article,2018.0,10.0,36.0
607,2-s2.0-85062587239,0,0,1,Article,2018.0,9.0,12.0
609,2-s2.0-85042633507,0,0,1,Article,2018.0,1.0,2.0
611,2-s2.0-85040746519,5,1,1,Article,2018.0,5.0,22.0
613,2-s2.0-85031738297,0,0,1,Article,2018.0,1.0,62.0
615,2-s2.0-85042944700,2,1,1,Article,2018.0,3.0,10.0
617,2-s2.0-85040318014,4,1,1,Article,2018.0,1.0,17.0
619,2-s2.0-85056647097,105,1,1,Article,2018.0,11.0,19.0
621,2-s2.0-85045737757,2,1,1,Article,2018.0,7.0,571.0
623,2-s2.0-85034048270,3,1,1,Article,2018.0,4.0,79.0
625,2-s2.0-85051794662,0,0,1,Article,2018.0,7.0,74.0
627,2-s2.0-85015168691,6,1,1,Article,2018.0,9.0,2.0
629,2-s2.0-85042672238,0,0,1,Article,2018.0,2.0,19.0
631,2-s2.0-85050656313,3,1,1,Article,2018.0,12.0,80.0
633,2-s2.0-85082684208,5,1,1,Article,2018.0,12.0,2.0
635,2-s2.0-85018249148,10,1,1,Article,2018.0,4.0,51.0
637,2-s2.0-85048317453,3,1,1,Article,2018.0,7.0,13.0
639,2-s2.0-85047780112,0,0,1,Article,2018.0,5.0,7.0
641,2-s2.0-85040938583,2,1,1,Article,2018.0,1.0,4.0
643,2-s2.0-85055893617,4,1,1,Article,2018.0,4.0,45.0
645,2-s2.0-85046786100,2,1,1,Article,2018.0,7.0,36.0
647,2-s2.0-85057130234,104,1,1,Article,2018.0,11.0,42.0
649,2-s2.0-85040826788,9,1,1,Article,2018.0,1.0,2.0
651,2-s2.0-85044754478,3,1,0,Article,2018.0,3.0,0.0
653,2-s2.0-85052633547,6,1,1,Article,2018.0,9.0,3.0
655,2-s2.0-85046583455,0,0,1,Article,2018.0,2.0,6.0
657,2-s2.0-85058717573,6,1,1,Article,2018.0,9.0,10.0
659,2-s2.0-85090522950,5,1,1,Article,2018.0,5.0,9.0
661,2-s2.0-85052691487,2,1,1,Article,2018.0,7.0,1.0
663,2-s2.0-85051110614,5,1,0,Article,2018.0,3.0,0.0
665,2-s2.0-85041238520,2,1,1,Article,2018.0,6.0,5.0
667,2-s2.0-85053495818,0,0,1,Article,2018.0,12.0,6.0
669,2-s2.0-85052697060,7,1,1,Article,2018.0,10.0,18.0
671,2-s2.0-85034582603,2,1,1,Article,2018.0,2.0,17.0
673,2-s2.0-85052488654,2,1,1,Article,2018.0,12.0,6.0
675,2-s2.0-85045460519,6,1,1,Article,2018.0,3.0,19.0
677,2-s2.0-85039057326,5,1,1,Article,2018.0,3.0,36.0
679,2-s2.0-85048491406,2,1,1,Article,2018.0,9.0,11.0
681,2-s2.0-85049189916,2,1,1,Article,2018.0,6.0,9.0
683,2-s2.0-85040082145,2,1,1,Article,2018.0,5.0,32.0
685,2-s2.0-85047658971,101,1,1,Article,2018.0,5.0,58.0
687,2-s2.0-85034991318,3,1,1,Article,2018.0,2.0,40.0
689,2-s2.0-84946771902,0,0,0,Article,2018.0,12.0,2.0
691,2-s2.0-85047221923,5,1,1,Article,2018.0,12.0,14.0
693,2-s2.0-85041575056,2,1,1,Article,2018.0,2.0,3.0
695,2-s2.0-85055171153,2,1,1,Article,2018.0,9.0,4.0
697,2-s2.0-85047949926,0,0,1,Article,2018.0,5.0,17.0
699,2-s2.0-85050272808,6,1,0,Article,2018.0,7.0,0.0
701,2-s2.0-84984691749,0,0,1,Article,2018.0,4.0,10.0
703,2-s2.0-85049143020,0,0,1,Article,2018.0,7.0,53.0
705,2-s2.0-85044527605,2,1,1,Article,2018.0,7.0,2.0
707,2-s2.0-85056078948,98,1,1,Article,2018.0,11.0,46.0
709,2-s2.0-85053262561,104,1,1,Article,2018.0,9.0,33.0
711,2-s2.0-85042710807,9,1,1,Article,2018.0,3.0,42.0
713,2-s2.0-85050458798,5,1,1,Article,2018.0,9.0,34.0
715,2-s2.0-85021826138,5,1,1,Article,2018.0,8.0,23.0
717,2-s2.0-85040099983,3,1,1,Article,2018.0,1.0,14.0
719,2-s2.0-85159755401,0,0,0,Article,2018.0,7.0,1.0
721,2-s2.0-85046121935,0,0,1,Article,2018.0,5.0,5.0
723,2-s2.0-85041514937,2,1,1,Article,2018.0,2.0,9.0
725,2-s2.0-85054534174,3,1,1,Article,2018.0,9.0,38.0
727,2-s2.0-85056148744,2,1,1,Article,2018.0,11.0,28.0
729,2-s2.0-85035109804,4,1,1,Article,2018.0,2.0,32.0
731,2-s2.0-85030629491,1,1,1,Article,2018.0,3.0,19.0
733,2-s2.0-85043774638,0,0,1,Article,2018.0,9.0,7.0
735,2-s2.0-85028775225,2,1,1,Article,2018.0,1.0,8.0
737,2-s2.0-85058085831,104,1,1,Article,2018.0,11.0,54.0
739,2-s2.0-85050386361,97,1,1,Article,2018.0,6.0,74.0
741,2-s2.0-85046649716,95,1,1,Article,2018.0,4.0,83.0
743,2-s2.0-85025453160,0,0,1,Article,2018.0,2.0,18.0
745,2-s2.0-85043605260,4,1,1,Article,2018.0,3.0,256.0
747,2-s2.0-85042845717,0,0,1,Article,2018.0,6.0,3.0
749,2-s2.0-85055205421,4,1,1,Article,2018.0,12.0,7.0
751,2-s2.0-85054316242,0,0,1,Article,2018.0,10.0,7.0
753,2-s2.0-85044442704,2,1,1,Article,2018.0,5.0,76.0
755,2-s2.0-85045575384,0,0,1,Article,2018.0,4.0,100.0
757,2-s2.0-85048708977,6,1,1,Article,2018.0,6.0,148.0
759,2-s2.0-85042313923,5,1,1,Article,2018.0,5.0,10.0
761,2-s2.0-85060153998,4,1,0,Article,2018.0,11.0,0.0
763,2-s2.0-85038010058,6,1,1,Article,2018.0,3.0,13.0
765,2-s2.0-85056159676,5,1,1,Article,2018.0,11.0,5.0
767,2-s2.0-85048834140,0,0,1,Article,2018.0,8.0,40.0
769,2-s2.0-85042655754,2,1,1,Article,2018.0,1.0,17.0
